,names,country_of_origin,age,colour,sex,import_type,total_stakes,no_of_1_starts,no_of_2_starts,no_of_3_starts,total_starts,sire,dam,dam_sire
0,BURST AWAY (A001) (Retired),AUS,,Bay , Gelding,PP,493000,0,2,1,15,Bel Esprit,Filly Of Choice,End Sweep
1,PRAWN BABA (A002) (Retired),AUS,,Brown , Gelding,PP,7839875,4,6,1,31,Duke Of Marmalade,Countess Of Tiba,Second Empire
2,WHO DAT SINGA (A003) (Retired),NZ,,Bay , Gelding,PP,308350,0,0,1,12,Iffraaj,Singadablues,Danasinga
3,THE JAZZ (A004) (Retired),NZ,,Bay , Gelding,PP,367425,0,1,1,12,O'Reilly,Frockstar,Pins
4,RED ELYSEES (A005),GB,7,Chestnut , Gelding,PPG,4362325,3,7,6,42,Champs Elysees,Red Boots,Verglas
5,ALL YOU NEED (A006) (Retired),AUS,,Bay , Gelding,PPG,1811500,2,1,4,26,Danerich,Metung Belle,Viscount
6,BOND ELEGANCE (A007) (Retired),AUS,,Bay , Gelding,PPG,3238875,3,4,4,45,Hard Spun,La Italia,Stravinsky
7,MONEY BOY (A008) (Retired),AUS,,Bay , Gelding,PPG,5686025,3,9,7,40,Hinchinbrook,Kianben,Jan Murray
8,POWERMAX (A009) (Retired),AUS,,Bay , Gelding,PPG,5015655,5,5,3,33,Magnus,Gypsy Marauder,Marauding
9,GRADE ONE (A010),AUS,6,Brown , Gelding,PPG,4430240,5,3,5,31,Manhattan Rain,Zipanese,Bellotto
10,HAPPY HAPPY STAR (A011) (Retired),AUS,,Brown , Gelding,PPG,1722015,2,1,2,28,O'Reilly,Classy Fashion,Fusaichi Pegasus
11,KWAICHUNG BROTHERS (A012),AUS,7,Bay , Gelding,PPG,1574950,2,1,5,38,Racer's Edge,Shezgonewest,Mugharreb
12,OCEAN ELITE (A013) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,6,Snippetson,Exselva,Exceed And Excel
13,FAIR COMMENT (A014) (Retired),AUS,,Bay , Gelding,PPG,237300,0,1,0,18,So You Think,Dariana,Redoute's Choice
14,GOLDINGTON HORN (A015) (Retired),AUS,,Chestnut , Gelding,PPG,145200,0,1,0,8,Turffontein,Allapattah,Umatilla
15,GREAT MO (A016) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Uncle Mo,Madison Park,Perugino
16,DON'T MISS (A017) (Retired),AUS,,Bay , Gelding,PPG,3129050,4,2,1,14,Wanted,Paralegal,O'Reilly
17,TELECOM TITAN (A018) (Retired),AUS,,Chestnut , Gelding,PPG,122100,0,0,1,13,Written Tycoon,Sun 'N' Soda,Desert Sun
18,STAR OF HONG KONG (A019) (Retired),JPN,,Dark Bay , Gelding,PPG,0,0,0,0,5,Heart's Cry,Crime,Gulch
19,ELEGANCE PROMISE (A020) (Retired),JPN,,Dark Bay , Gelding,PPG,59500,0,0,0,9,Kane Hekili,Eureka Chan,Gold Allure
20,LUCKY DOLLAR (A021) (Retired),AUS,,Bay , Gelding,PP,1571950,1,2,1,17,All American,Lodore Falls,Redoute's Choice
21,MOST BEAUTIFUL (A022),AUS,7,Brown , Gelding,PP,5321025,3,6,6,50,Blackfriars,Line Of Flight,Bletchley Park
22,APPLAUSE (A023) (Retired),AUS,,Chestnut , Gelding,PP,2307400,3,2,2,32,Lope de Vega,Isola Di Capri,Galileo
23,KEEN VENTURE (A024) (Retired),AUS,,Chestnut , Gelding,PP,3643650,1,4,0,23,Sebring,Morning Dews,Peintre Celebre
24,WINNER'S WAY (A025) (Retired),AUS,,Chestnut , Gelding,PP,14518350,6,5,3,38,Starcraft,Sunday Service,Sunday Silence
25,CATCHMEIFYOUCAN (A026) (Retired),AUS,,Bay , Gelding,PPG,455400,1,0,0,19,Bel Esprit,Swinging Feeling,Danasinga
26,AUTOPAY (A027) (Retired),NZ,,Bay , Gelding,PPG,549400,0,1,1,18,Darci Brahma,Boogie Nights,Galileo
27,THUNDER ROCKER (A028) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Dr Green,Lady Sophia,With Class
28,SUPER DUKE (A029) (Retired),AUS,,Chestnut , Gelding,PPG,29400,0,0,0,7,Duke Of Marmalade,Super Assassin,Galileo
29,INFINITY ENDEAVOUR (A030) (Retired),AUS,,Bay , Gelding,PPG,4548875,4,4,2,33,Fastnet Rock,Black Mamba,Black Minnaloushe
30,EXPONENTS (A031),AUS,6,Chestnut , Gelding,PPG,2012550,2,5,3,35,Foxwedge,Sunday Service,Sunday Silence
31,RICH REGIMENT (A032) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,0,Star Witness,Dasoudi,Elusive City
32,G'DAY MATE (A033) (Retired),AUS,,Bay , Gelding,PPG,0,0,0,0,1,Strategic,Countess Creed,Viscount
