,horse_name,horse_id,jockey,trainer,actual_weight,declared_horse_weight,draw,finish_time,race_id,race_class,race_distance,track_condition,track
0,DOUBLE DRAGON,K019,B Prebble,D Cruz,133,1032,1,1.22.33,2014-001,Class 5,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
1,PLAIN BLUE BANNER,S070,D Whyte,D E Ferraris,133,1075,13,1.22.65,2014-001,Class 5,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
2,GOLDWEAVER,P072,Y T Cheng,Y S Tsui,121,1065,3,1.22.66,2014-001,Class 5,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
3,SUPREME PROFIT,P230,J Moreira,C S Shum,132,1222,2,1.22.66,2014-001,Class 5,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
4,THE ONLY KID,H173,Z Purton,K W Lui,125,1136,9,1.23.02,2014-001,Class 5,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
5,WINNING ADVANTAGE,N359,A Suborics,A T Millard,123,1100,11,1.23.20,2014-001,Class 5,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
6,CARE FREE ELEGANCE,P340,C Y Ho,K L Man,115,1053,12,1.23.22,2014-001,Class 5,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
7,COOL PAL,S035,H W Lai,L Ho,129,1203,8,1.23.25,2014-001,Class 5,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
8,TAI PO FORTUNE,P081,K Teetan,T P Yung,127,1073,6,1.23.33,2014-001,Class 5,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
9,SUPER HORSE,L308,T H So,C W Chang,119,1137,7,1.23.41,2014-001,Class 5,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
10,AMAZING GIFT,S090,K C Leung,P O'Sullivan,125,1099,4,1.23.56,2014-001,Class 5,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
11,LITTLE WIND,N306,C Y Lui,P F Yiu,107,1062,5,1.23.96,2014-001,Class 5,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
12,EVERSPRING,P325,M L Yeung,A Lee,122,988,14,1.24.10,2014-001,Class 5,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
14,TRUMP,P106,K C Leung,K L Man,119,1137,13,1.21.54,2014-010,Class 2,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
15,MULTIVICTORY,P254,K C Ng,A S Cruz,114,1101,3,1.21.89,2014-010,Class 2,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
16,HELENE SUPER STAR,S152,M Chadwick,A S Cruz,127,1195,6,1.21.92,2014-010,Class 2,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
17,DEEP THINKER,N159,Z Purton,P F Yiu,132,1067,2,1.21.95,2014-010,Class 2,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
18,LITTLE MEN,N441,W M Lai,W Y So,121,1251,4,1.21.98,2014-010,Class 2,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
19,SMART MAN,P103,D Whyte,J Moore,128,1134,9,1.22.10,2014-010,Class 2,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
20,ROYAL PARTNER,N394,C Y Ho,C Fownes,116,1082,10,1.22.10,2014-010,Class 2,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
21,SICHUAN EXEC,N344,C Reith,J Size,120,1051,12,1.22.18,2014-010,Class 2,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
22,JOLLY VICTOR,N140,K Teetan,A T Millard,121,1035,7,1.22.25,2014-010,Class 2,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
23,SICHUAN VIGOUR,P412,J Moreira,J Size,125,1064,5,1.22.32,2014-010,Class 2,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
24,AUTUMN GOLD,P044,B Prebble,S Woods,123,1011,14,1.22.34,2014-010,Class 2,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
25,PENGLAI XIANZI,K248,M L Yeung,A S Cruz,124,1105,11,1.22.72,2014-010,Class 2,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
26,FLYING ELITE,N419,Y T Cheng,C H Yip,121,1125,1,1.22.98,2014-010,Class 2,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
27,FREE JUDGEMENT,M163,O Doleuze,S Woods,133,1172,8,1.23.26,2014-010,Class 2,1400.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
28,JUST MISTERE,P012,D Whyte,Y S Tsui,130,1147,8,1.09.97,2014-002,Class 5,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
29,MASSIVE,P331,K C Leung,L Ho,117,1073,10,1.10.17,2014-002,Class 5,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
30,SHANGHAI PIONEER,L252,C Reith,D E Ferraris,120,1072,7,1.10.24,2014-002,Class 5,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
31,POSITIVE ENERGY,P011,J Moreira,P F Yiu,115,1161,13,1.10.31,2014-002,Class 5,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
32,KING ON EARTH,L251,H W Lai,A Lee,129,1084,14,1.10.39,2014-002,Class 5,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
33,JUST GOOD,L133,W M Lai,Y S Tsui,113,1116,3,1.10.39,2014-002,Class 5,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
34,MONEY CAFE,S031,Y T Cheng,C H Yip,132,1103,2,1.10.64,2014-002,Class 5,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
35,FLYING KEEPER,M191,C K Tong,C Fownes,122,1071,11,1.10.74,2014-002,Class 5,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
36,SUPER TEAM,M036,C Y Ho,A T Millard,128,1147,6,1.10.96,2014-002,Class 5,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
37,CALIFORNIA ROCK,S233,M Chadwick,A S Cruz,132,1198,5,1.11.11,2014-002,Class 5,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
38,JOYFUL LUCK,M223,O Doleuze,C W Chang,131,1092,12,1.11.35,2014-002,Class 5,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
39,SPARKLING SWORD,P256,Z Purton,K W Lui,133,1123,4,1.11.42,2014-002,Class 5,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
40,ALLEY-OOP,P379,T H So,C W Chang,131,1167,9,1.11.43,2014-002,Class 5,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
41,AMERICAN FAME,P449,K Teetan,C S Shum,114,1045,1,1.11.96,2014-002,Class 5,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
42,GOLDEN HARVEST,N236,J Moreira,A T Millard,115,1179,11,1.08.37,2014-003,Class 1,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
43,SMART VOLATILITY,P049,Y T Cheng,K W Lui,113,1180,5,1.08.44,2014-003,Class 1,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
44,PENIAPHOBIA,S143,M Chadwick,A S Cruz,113,1110,2,1.08.55,2014-003,Class 1,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
45,LORD SINCLAIR,N447,H W Lai,S Woods,111,1170,9,1.08.99,2014-003,Class 1,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
46,CHARLES THE GREAT,N171,C Reith,J Moore,131,1090,3,1.09.05,2014-003,Class 1,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
47,BEST ELEVEN,N016,K C Leung,A S Cruz,113,1100,4,1.09.09,2014-003,Class 1,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
48,TOUR DE FORCE,N297,K Teetan,J Size,113,1106,6,1.09.28,2014-003,Class 1,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
49,HELENE SPIRIT,M310,A Suborics,C Fownes,133,1114,10,1.09.28,2014-003,Class 1,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
50,BULLISH FRIEND,N333,Z Purton,A S Cruz,120,1144,1,1.09.33,2014-003,Class 1,1200.0,GOOD TO FIRM,"TURF - ""A"" COURSE"
