,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,WHO DAT SINGA (A003),NZ,,Bay , Gelding,PP,308350,Iffraaj,Singadablues,Danasinga,19/11/2017,13,ST,"Turf""B""",2000,G,3,9,67,K L Man,C Schofield,13,120,1144,2.04.01,202
1,WHO DAT SINGA (A003),NZ,,Bay , Gelding,PP,308350,Iffraaj,Singadablues,Danasinga,18/10/2017,07,HV,"Turf""C""",1650,GF,3,6,69,K L Man,N Rawiller,7.1,125,1140,1.40.72,126
2,WHO DAT SINGA (A003),NZ,,Bay , Gelding,PP,308350,Iffraaj,Singadablues,Danasinga,01/10/2017,07,ST,"Turf""A+3""",1400,GY,3,7,71,K L Man,K Teetan,17,124,1133,1.22.57,081
3,WHO DAT SINGA (A003),NZ,,Bay , Gelding,PP,308350,Iffraaj,Singadablues,Danasinga,16/09/2017,05,ST,"Turf""C+3""",1200,GF,3,1,71,K L Man,K Teetan,14,124,1146,1.09.43,044
4,WHO DAT SINGA (A003),NZ,,Bay , Gelding,PP,308350,Iffraaj,Singadablues,Danasinga,01/07/2017,09,ST,AWT,1650,GD,3,1,75,K L Man,M L Yeung,45,126,1145,1.40.62,776
5,WHO DAT SINGA (A003),NZ,,Bay , Gelding,PP,308350,Iffraaj,Singadablues,Danasinga,11/06/2017,09,ST,"Turf""C""",1400,GF,3,4,77,K L Man,H W Lai,40,132,1133,1.23.34,723
6,WHO DAT SINGA (A003),NZ,,Bay , Gelding,PP,308350,Iffraaj,Singadablues,Danasinga,13/05/2017,14,ST,AWT,1650,WS,3,7,79,K L Man,U Rispoli,18,132,1123,1.42.61,650
7,WHO DAT SINGA (A003),NZ,,Bay , Gelding,PP,308350,Iffraaj,Singadablues,Danasinga,23/04/2017,09,ST,"Turf""C+3""",1400,G,2,9,81,K L Man,U Rispoli,20,124,1127,1.23.22,598
8,WHO DAT SINGA (A003),NZ,,Bay , Gelding,PP,308350,Iffraaj,Singadablues,Danasinga,05/03/2017,09,ST,"Turf""C""",1800,GF,2,8,82,R Gibson,C Schofield,11,115,1159,1.47.14,472
9,WHO DAT SINGA (A003),NZ,,Bay , Gelding,PP,308350,Iffraaj,Singadablues,Danasinga,19/02/2017,03,ST,"Turf""A""",1400,GF,2,11,82,R Gibson,J Moreira,3.9,120,1163,1.22.07,434
10,WHO DAT SINGA (A003),NZ,,Bay , Gelding,PP,308350,Iffraaj,Singadablues,Danasinga,30/01/2017,08,ST,"Turf""B""",1600,G,3,1,83,R Gibson,S de Sousa,4.4,131,1146,1.36.12,381
11,WHO DAT SINGA (A003),NZ,,Bay , Gelding,PP,308350,Iffraaj,Singadablues,Danasinga,27/12/2016,05,ST,"Turf""A+3""",1400,G,2,3,83,R Gibson,S de Sousa,13,120,1173,1.21.92,296
12,THE JAZZ (A004),NZ,,Bay , Gelding,PP,367425,O'Reilly,Frockstar,Pins,25/10/2017,02,HV,"Turf""C+3""",1800,GF,4,3,53,P F Yiu,N Callan,5.1,129,1088,1.51.21,139
