,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,STAFFORDSHIRE (AK003),GB,,Bay , Gelding,SG,0,Song,Beamless,,27/09/1980,11,ST,Grass,1200,F,2,6,86,T C Cheng,Y P Chan,99,117,--,1.23.00,016
1,STAFFORDSHIRE (AK003),GB,,Bay , Gelding,SG,0,Song,Beamless,,21/05/1980,09,ST,Sand,1050,NW,2,10,99,T C Cheng,Y P Chan,79,130,--,1.10.20,430
2,STAFFORDSHIRE (AK003),GB,,Bay , Gelding,SG,0,Song,Beamless,,29/12/1979,10,HV,Grass,1235,F,2,6,104,T C Cheng,Y P Chan,98,135,--,1.15.60,162
3,STAFFORDSHIRE (AK003),GB,,Bay , Gelding,SG,0,Song,Beamless,,01/12/1979,10,ST,Grass,1800,F,1,10,106,T C Cheng,Y P Chan,99,114,--,1.52.10,122
4,STAFFORDSHIRE (AK003),GB,,Bay , Gelding,SG,0,Song,Beamless,,06/10/1979,10,HV,Grass,1235,F,1,11,107,T C Cheng,K C Lo,81,119,--,1.15.50,029
5,MABUHAY (AK004),GB,,Bay , Gelding,SG,35420,Tribal Chief,Sparkling Pan,,13/10/1979,02,HV,Grass,1235,F,1,6,108,G Moore,G W Moore,3.5,120,--,1.12.80,042
6,MABUHAY (AK004),GB,,Bay , Gelding,SG,35420,Tribal Chief,Sparkling Pan,,22/09/1979,02,HV,Grass,975,Y,1,12,104,G Moore,C H Cheong,24,109,--,0.58.50,004
7,MAJESTIC (AK006),GB,,Bay , Gelding,SG,0,Astec,More Mahal,,15/12/1979,12,HV,Grass,1800,G,3,10,68,E Collingwood,C Roche,26,120,--,1.56.00,145
8,MAJESTIC (AK006),GB,,Bay , Gelding,SG,0,Astec,More Mahal,,05/12/1979,08,HV,Sand,1575,NW,3,5,68,E Collingwood,C Roche,20,120,--,1.45.80,127
9,MAJESTIC (AK006),GB,,Bay , Gelding,SG,0,Astec,More Mahal,,03/10/1979,10,HV,Sand,1575,NW,3,10,70,E Collingwood,W Hood,26,122,--,1.51.60,020
10,MAJESTIC (AK006),GB,,Bay , Gelding,SG,0,Astec,More Mahal,,22/09/1979,08,HV,Grass,1650,Y,3,5,71,E Collingwood,W Hood,6.3,123,--,1.47.00,005
11,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,30/04/1983,14,ST,"Grass""A""",1400,Y,1&2,10,84,E Collingwood,Y S Tsui,99,119,--,1.32.10,407
12,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,13/04/1983,08,HV,"Grass""B""",1235,S,1&2,3,86,E Collingwood,Y S Tsui,17,121,--,1.18.10,374
13,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,19/03/1983,09,ST,Sand,1150,NW,1&2,9,87,E Collingwood,Y S Tsui,70,114,--,1.13.40,316
14,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,05/03/1983,08,ST,Sand,1050,NW,2,9,88,E Collingwood,Y S Tsui,70,119,--,1.06.30,298
15,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,19/02/1983,02,HV,Sand,1030,NW,1&2,7,88,E Collingwood,Y S Tsui,7.6,117,--,1.05.00,270
16,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,05/02/1983,13,ST,"Grass""A""",1200,GY,1&2,10,89,E Collingwood,Y S Tsui,99,116,--,1.15.70,248
17,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,26/01/1983,05,ST,Sand,1050,NW,2,1,90,E Collingwood,P Paquet,30,126,--,1.06.10,229
18,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,29/12/1982,03,HV,"Grass""A""",975,G,1&2,3,92,E Collingwood,P Paquet,4.2,127,--,0.58.40,177
19,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,08/12/1982,05,HV,"Grass""A""",1235,G,1&2,10,92,E Collingwood,P Paquet,12,128,--,1.14.80,149
20,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,27/11/1982,12,ST,"Grass""C""",1200,H,2,10,92,E Collingwood,P Paquet,18,128,--,1.20.60,135
21,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,03/11/1982,04,HV,"Grass""B""",1235,G,1&2,4,92,E Collingwood,J K S Ho,6.9,117,--,1.13.70,092
22,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,09/10/1982,09,ST,"Grass""A""",1000,GY,1&2,8,93,E Collingwood,J K S Ho,39,116,--,0.59.10,041
23,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,22/05/1982,04,HV,"Grass""A""",1235,GF,2,4,104,E Collingwood,J K S Ho,7.3,133,--,1.14.50,443
24,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,24/04/1982,07,ST,"Grass""A""",1000,H,2,9,104,E Collingwood,J K S Ho,19,133,--,1.00.40,389
25,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,12/04/1982,01,HV,"Grass""B""",1235,G,1&2,1,99,E Collingwood,J K S Ho,3.4,124,--,1.13.20,366
26,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,06/03/1982,03,ST,"Grass""C""",1200,Y,1&2,9,99,E Collingwood,J K S Ho,27,124,--,1.11.90,294
27,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,06/02/1982,02,HV,"Grass""B""",1235,G,2,2,99,E Collingwood,J Lowe,5.8,135,--,1.14.90,233
28,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,09/01/1982,10,ST,"Grass""A""",1200,GF,1&2,10,100,E Collingwood,J Lowe,19,129,--,1.13.30,199
29,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,12/12/1981,03,HV,"Grass""A""",1235,F,1&2,6,101,E Collingwood,J Lowe,10,129,--,1.14.20,153
30,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,31/10/1981,06,ST,"Grass""C""",1000,F,2,1,101,E Collingwood,W Hood,7.8,137,--,0.58.70,075
31,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,10/10/1981,02,HV,"Grass""B""",1235,GY,2,5,98,E Collingwood,W Hood,21,134,--,1.13.50,039
32,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,19/09/1981,09,HV,"Grass""A""",1235,GF,1&2,8,98,E Collingwood,W Hood,4.4,123,--,1.14.60,003
33,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,16/05/1981,03,HV,Grass,1235,S,1,2,109,E Collingwood,W Hood,4.5,122,--,1.15.80,416
34,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,04/04/1981,01,HV,Grass,1235,G,1&2,1,104,E Collingwood,W Hood,9.7,126,--,1.13.40,342
35,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,01/01/1981,02,HV,Grass,1235,G,1&2,7,102,E Collingwood,W Hood,8.1,124,--,1.13.50,161
36,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,29/11/1980,04,ST,Grass,1000,GF,1,10,102,E Collingwood,W Hood,5,116,--,0.58.00,108
37,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,12/11/1980,04,ST,Sand,1150,NW,1,8,104,E Collingwood,W Hood,58,116,--,1.11.10,080
38,DOUBLE V (AK012),GB,,Brown , Gelding,SG,378130,Polyfoto,Belle Of Sark,,11/10/1980,10,ST,Grass,1400,F,1&2,7,104,T L Lee,K Langby,5.2,129,--,1.25.20,033
