,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,CHOP-CHOP (AL003),AUS,,br,,SG,189810,King Bogan,Highville,,16/04/1983,12,ST,"Grass""A""",2000,G,6,14,21,L Fownes,K H Hung,99,116,--,2.11.70,379
1,CHOP-CHOP (AL003),AUS,,br,,SG,189810,King Bogan,Highville,,02/04/1983,08,HV,Sand,1030,NW,6,5,24,L Fownes,Y S Tsui,70,119,--,1.09.20,345
2,CHOP-CHOP (AL003),AUS,,br,,SG,189810,King Bogan,Highville,,19/01/1983,12,ST,Sand,1650,NW,6,14,28,L Fownes,G Sexton,62,128,--,1.55.70,213
3,CHOP-CHOP (AL003),AUS,,br,,SG,189810,King Bogan,Highville,,15/12/1982,11,HV,"Grass""A""",975,G,6,2,29,L Fownes,G Sexton,52,129,--,1.01.20,163
4,CHOP-CHOP (AL003),AUS,,br,,SG,189810,King Bogan,Highville,,01/05/1982,04,ST,"Grass""C""",1800,H,6,10,35,L Fownes,Y S Tsui,7.7,130,--,2.00.10,408
5,CHOP-CHOP (AL003),AUS,,br,,SG,189810,King Bogan,Highville,,10/04/1982,02,HV,"Grass""B""",1800,GF,6,1,32,L Fownes,P Leyshan,9.4,132,--,1.54.10,358
6,CHOP-CHOP (AL003),AUS,,br,,SG,189810,King Bogan,Highville,,13/02/1982,05,HV,"Grass""A""",1800,GY,6,9,35,G Smyth,B Andrews,8.3,135,--,1.55.80,251
7,CHOP-CHOP (AL003),AUS,,br,,SG,189810,King Bogan,Highville,,27/01/1982,05,HV,"Grass""B""",1650,GF,6,9,36,G Smyth,P H Chan,13,131,--,1.45.40,216
8,CHOP-CHOP (AL003),AUS,,br,,SG,189810,King Bogan,Highville,,12/12/1981,09,HV,"Grass""A""",1800,F,5,7,34,G Smyth,B Andrews,9.2,118,--,1.54.90,152
9,CHOP-CHOP (AL003),AUS,,br,,SG,189810,King Bogan,Highville,,07/10/1981,09,HV,Sand,1575,NW,5,1,36,G Smyth,P H Chan,36,113,--,1.46.70,036
10,CHOP-CHOP (AL003),AUS,,br,,SG,189810,King Bogan,Highville,,19/09/1981,06,HV,"Grass""A""",1650,GF,5,2,36,G Smyth,B Andrews,12,120,--,1.43.70,007
11,CHOP-CHOP (AL003),AUS,,br,,SG,189810,King Bogan,Highville,,23/05/1981,05,HV,Grass,1800,Y,5,10,48,A Ward,B Andrews,44,132,--,1.54.40,437
12,CHOP-CHOP (AL003),AUS,,br,,SG,189810,King Bogan,Highville,,13/05/1981,07,HV,Sand,1400,RA,5,1,48,A Ward,G W Moore,4.8,132,--,1.32.80,409
13,CHOP-CHOP (AL003),AUS,,br,,SG,189810,King Bogan,Highville,,20/04/1981,01,HV,Grass,1650,Y,5,4,42,A Ward,B Andrews,6.2,126,--,1.46.20,377
