,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,27/03/1985,05,HV,Sand,1030,NW,6,1,34,H M Cheung,B Raymond,9.4,134,--,1.07.00,360
1,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,02/03/1985,07,ST,"Grass""B""",1200,GY,6,8,36,H M Cheung,B Raymond,7.8,136,--,1.14.20,306
2,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,02/02/1985,09,ST,"Grass""A""",1200,GF,5,10,34,H M Cheung,T P Yung,17,118,--,1.14.20,265
3,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,16/01/1985,11,ST,Sand,1150,NW,5,11,36,H M Cheung,W T Hung,21,120,--,1.16.10,232
4,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,29/12/1984,03,HV,"Grass""B""",975,F,5,3,36,H M Cheung,B Raymond,18,120,--,0.58.90,190
5,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,08/12/1984,08,ST,"Grass""A""",1200,F,5,13,36,H M Cheung,W T Hung,92,120,--,1.13.00,157
6,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,11/11/1984,09,ST,"Grass""C""",1200,F,5,9,39,H M Cheung,W T Leung,35,123,--,1.12.80,110
7,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,06/10/1984,08,HV,"Grass""B""",1235,GY,5,1,39,H M Cheung,D Brosnan,19,123,--,1.20.20,048
8,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,26/05/1984,11,HV,"Grass""A""",1235,H,5,2,44,H M Cheung,D Brosnan,7.7,128,--,1.23.70,466
9,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,02/05/1984,03,HV,Sand,1030,NW,5,2,44,H M Cheung,D Brosnan,4,128,--,1.06.60,425
10,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,18/04/1984,05,HV,Sand,1030,RA,5,8,45,H M Cheung,D Brosnan,8.9,129,--,1.06.30,391
11,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,25/02/1984,04,ST,"Grass""B""",1600,F,5,6,45,H M Cheung,D Brosnan,9.4,129,--,1.38.30,296
12,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,18/01/1984,11,ST,Sand,1650,NW,5,2,47,H M Cheung,D Brosnan,4.4,131,--,1.53.70,232
13,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,17/12/1983,06,ST,"Grass""A""",1400,GF,5,10,48,H M Cheung,D Brosnan,6.1,132,--,1.26.80,187
14,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,12/11/1983,02,ST,"Grass""A""",1000,F,5,4,46,H M Cheung,D Brosnan,9.2,130,--,0.59.90,111
15,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,17/09/1983,04,HV,"Grass""A""",1650,G,5,8,46,H M Cheung,D Brosnan,6.9,130,--,1.42.50,001
16,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,28/05/1983,01,HV,Sand,1575,RA,5,8,46,H M Cheung,D Brosnan,4.6,130,--,1.42.20,452
17,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,23/03/1983,03,ST,Sand,1150,NW,5,7,47,H M Cheung,R Staples,10,131,--,1.13.60,322
18,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,19/02/1983,01,HV,Sand,1400,NW,5,4,39,H M Cheung,R Staples,3.1,123,--,1.31.40,266
19,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,08/01/1983,06,ST,"Grass""A""",1600,H,5,14,40,H M Cheung,R Staples,6.1,124,--,1.47.10,194
20,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,11/12/1982,08,ST,"Grass""A""",1200,GF,5,4,41,H M Cheung,R Staples,8.1,125,--,1.13.90,154
21,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,17/11/1982,03,ST,Sand,1650,NW,5,12,41,H M Cheung,R Staples,3,125,--,1.48.30,111
22,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,18/09/1982,02,ST,Sand,1650,NW,5,9,40,H M Cheung,C S Shum,22,119,--,1.49.40,001
23,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,12/05/1982,04,HV,"Grass""A""",1235,GY,5,6,51,H M Cheung,P Miers,5.8,135,--,1.16.80,418
24,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,07/04/1982,01,HV,"Grass""B""",1235,Y,5,4,43,H M Cheung,P Miers,6.6,127,--,1.16.60,354
25,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,27/02/1982,11,ST,"Grass""A""",1400,G,5,1,45,H M Cheung,P Miers,5.9,129,--,1.27.60,281
26,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,13/02/1982,02,HV,"Grass""A""",1235,GY,5,10,42,H M Cheung,P Miers,13,126,--,1.16.20,254
27,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,05/12/1981,08,ST,"Grass""A""",1400,GF,5,14,44,H M Cheung,P Miers,20,128,--,1.26.20,138
28,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,31/10/1981,09,ST,"Grass""C""",1200,F,5,8,46,H M Cheung,P Miers,5.7,130,--,1.13.60,080
29,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,13/05/1981,02,HV,Sand,1400,RA,5,6,51,H M Cheung,P Miers,3.2,135,--,1.31.40,411
30,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,28/03/1981,06,ST,Grass,1400,GY,5,9,54,H M Cheung,N Smith,18,138,--,1.26.40,332
31,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,14/03/1981,09,ST,Grass,1200,GF,5,12,55,H M Cheung,P Miers,9.2,139,--,1.13.60,299
32,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,21/02/1981,06,HV,Grass,1800,G,5,11,55,H M Cheung,P Miers,5,139,--,1.53.50,267
33,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,14/01/1981,08,HV,Sand,1400,NW,4,6,56,H M Cheung,P Miers,5.8,124,--,1.34.60,191
34,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,03/01/1981,04,ST,Grass,1600,F,5,9,56,H M Cheung,P Miers,5.1,140,--,1.38.80,176
35,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,01/11/1980,02,ST,Grass,1400,F,5,1,53,H M Cheung,P Miers,2.8,137,--,1.24.60,069
36,SILVER BILOXI (AM004),AUS,,Grey , Gelding,SG,425480,Above Water,Shahgrey,,11/10/1980,02,ST,Grass,1200,F,5,3,51,H M Cheung,P Miers,4,135,--,1.13.00,036
