,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,25/02/1987,05,HV,Sand,1400,NW,6,3,38,E Collingwood,G Palmer,6.7,138,--,1.33.30,297
1,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,14/01/1987,04,HV,Sand,1030,NW,6,5,39,E Collingwood,G Palmer,3.7,139,--,1.07.00,222
2,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,26/11/1986,02,HV,Sand,1400,NW,6,3,38,E Collingwood,G Palmer,2,138,--,1.32.50,128
3,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,29/10/1986,03,HV,Sand,1575,NW,6,6,36,E Collingwood,G Palmer,13,136,--,1.44.90,076
4,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,08/10/1986,02,HV,Sand,1400,NW,6,7,34,E Collingwood,G Palmer,3,134,--,1.32.80,039
5,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,22/03/1986,10,HV,"Grass""A""",975,Y,5,2,46,E Collingwood,W Hood,99,130,--,1.01.00,355
6,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,23/02/1986,11,ST,"Grass""C""",1400,GY,5,8,46,E Collingwood,W K Lip,94,123,--,1.31.00,299
7,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,22/01/1986,09,HV,Sand,1575,NW,5,8,49,E Collingwood,A S Cruz,8.8,133,--,1.47.90,245
8,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,11/12/1985,05,HV,Sand,1400,RA,5,7,51,E Collingwood,E Hide,5.4,135,--,1.33.60,162
9,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,27/11/1985,06,ST,Sand,1650,NW,5,5,51,E Collingwood,W Hood,12,135,--,1.53.90,137
10,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,09/10/1985,WV,HV,Sand,1400,NW,5,--,51,E Collingwood,E Hide,--,135,--,--,041
11,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,21/09/1985,03,HV,"Grass""A""",1650,H,5,1,51,E Collingwood,W K Lip,89,128,--,1.52.40,008
12,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,09/01/1985,06,ST,Sand,1050,NW,4,9,61,E Collingwood,E Hide,5.7,129,--,1.07.90,220
13,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,12/12/1984,01,HV,Sand,1030,NW,5,4,53,E Collingwood,W Hood,5.3,137,--,1.05.40,162
14,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,08/12/1984,07,ST,"Grass""A""",1200,F,5,2,63,E Collingwood,W Hood,76,137,--,1.12.90,157
15,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,24/11/1984,10,ST,"Grass""A""",1800,F,5,9,53,E Collingwood,B Rouse,99,137,--,1.51.80,133
16,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,07/11/1984,02,HV,Sand,1400,NW,5,6,51,E Collingwood,E Hide,2.3,135,--,1.31.80,100
17,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,22/09/1984,08,HV,"Grass""A""",1650,G,5,3,51,E Collingwood,E Hide,99,135,--,1.48.20,017
18,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,19/05/1984,12,ST,"Grass""C""",1000,H,4,13,53,E Collingwood,W K Lip,64,114,--,1.02.10,453
19,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,05/05/1984,06,ST,"Grass""A""",1400,Y,4,7,55,E Collingwood,B Taylor,47,123,--,1.27.70,428
20,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,14/04/1984,09,HV,"Grass""B""",1650,G,4,4,56,E Collingwood,W K Lip,72,117,--,1.46.50,384
21,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,04/03/1984,12,ST,"Grass""B""",1600,F,4,3,58,E Collingwood,A S Cruz,99,126,--,1.38.90,317
22,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,18/02/1984,06,ST,"Grass""B""",1400,F,4,9,59,E Collingwood,W K Lip,54,120,--,1.26.20,281
23,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,25/01/1984,10,ST,Sand,2000,NW,4,4,60,E Collingwood,A S Cruz,32,128,--,2.18.10,247
24,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,23/11/1983,03,HV,Sand,1400,NW,4,2,60,E Collingwood,A S Cruz,6.4,128,--,1.32.90,138
25,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,02/11/1983,01,HV,Sand,1400,NW,5,7,51,E Collingwood,A S Cruz,3.5,135,--,1.33.00,092
26,MICKY (AN003),AUS,,Chestnut , Gelding,SG,637770,Tact,Authoress,,05/10/1983,01,HV,Sand,1400,NW,5,10,43,E Collingwood,A S Cruz,2.3,127,--,1.31.60,041
