,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,SNOWBALL (AP003),AUS,,Chestnut , Gelding,SG,526900,Datus,Fading Day,,31/03/1986,04,HV,"Grass""B""",2230,H,6&7,1,31,B Hutchison,G Palmer,5.8,131,--,2.33.70,369
1,SNOWBALL (AP003),AUS,,Chestnut , Gelding,SG,526900,Datus,Fading Day,,19/03/1986,01,ST,Sand,2000,NW,5&6,3,28,B Hutchison,K C Chan,4.8,110,--,2.16.30,349
2,SNOWBALL (AP003),AUS,,Chestnut , Gelding,SG,526900,Datus,Fading Day,,26/02/1986,02,HV,"Grass""A""",2230,GY,6&7,4,25,B Hutchison,W Carson,5.8,126,--,2.23.90,302
3,SNOWBALL (AP003),AUS,,Chestnut , Gelding,SG,526900,Datus,Fading Day,,04/01/1986,03,HV,"Grass""A""",2230,GF,6&7,5,23,B Hutchison,R Heffernan,8.4,119,--,2.24.60,205
4,SNOWBALL (AP003),AUS,,Chestnut , Gelding,SG,526900,Datus,Fading Day,,04/12/1985,07,HV,"Grass""A""",2230,GY,6&7,7,25,B Hutchison,G W Moore,6.5,127,--,2.24.60,149
5,SNOWBALL (AP003),AUS,,Chestnut , Gelding,SG,526900,Datus,Fading Day,,13/11/1985,05,HV,Sand,2000,NW,6&7,7,25,R Edwards,R Staples,8.8,130,--,2.17.80,107
6,SNOWBALL (AP003),AUS,,Chestnut , Gelding,SG,526900,Datus,Fading Day,,02/10/1985,08,HV,Sand,1575,NW,6,10,25,R Edwards,R Staples,10,125,--,1.47.60,027
7,SNOWBALL (AP003),AUS,,Chestnut , Gelding,SG,526900,Datus,Fading Day,,13/04/1985,03,HV,Sand,2100,RA,6&7,2,36,C Robertson,R Staples,3.6,137,--,2.21.60,400
8,SNOWBALL (AP003),AUS,,Chestnut , Gelding,SG,526900,Datus,Fading Day,,09/03/1985,01,ST,"Grass""B""",2250,GF,6&7,10,29,C Robertson,R Staples,5.5,131,--,2.22.80,320
9,SNOWBALL (AP003),AUS,,Chestnut , Gelding,SG,526900,Datus,Fading Day,,22/02/1985,03,HV,Sand,1575,RA,6,2,29,C Robertson,W Burnett,3.7,129,--,1.44.90,293
10,SNOWBALL (AP003),AUS,,Chestnut , Gelding,SG,526900,Datus,Fading Day,,29/12/1984,04,HV,"Grass""B""",2230,F,6&7,6,29,C Robertson,W Burnett,4,132,--,2.27.80,196
11,SNOWBALL (AP003),AUS,,Chestnut , Gelding,SG,526900,Datus,Fading Day,,12/12/1984,03,HV,Sand,2000,NW,6,3,28,C Robertson,W Burnett,3.9,128,--,2.16.10,165
12,SNOWBALL (AP003),AUS,,Chestnut , Gelding,SG,526900,Datus,Fading Day,,31/10/1984,04,HV,Sand,1400,NW,6,5,28,C Robertson,W Burnett,6.7,128,--,1.33.60,088
13,SNOWBALL (AP003),AUS,,Chestnut , Gelding,SG,526900,Datus,Fading Day,,29/09/1984,04,HV,"Grass""B""",1650,G,6,4,28,C Robertson,W Burnett,4.2,128,--,1.47.00,033
14,SNOWBALL (AP003),AUS,,Chestnut , Gelding,SG,526900,Datus,Fading Day,,09/05/1984,02,HV,Sand,1400,NW,6,10,30,C Robertson,W Burnett,4.8,130,--,1.32.50,435
