,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,EXCELLENT MONARCH (AS003),AUS,,Chestnut , Gelding,SG,11960,Vanishing,Titian Queen,,28/11/1981,02,ST,"Grass""A""",1200,F,GRIFFIN,2,--,T P Wong,A S Cruz,6,126,--,1.13.10,121
1,MOON PALACE (AS004),AUS,,Grey , Gelding,SG,805715,Avancer,Happy Lark,,14/10/1987,WV-A,HV,Sand,1030,NW,4,--,62,S T Wong,A Murray,--,130,--,--,050
2,MOON PALACE (AS004),AUS,,Grey , Gelding,SG,805715,Avancer,Happy Lark,,10/12/1986,06,HV,Sand,1575,NW,3,9,74,C Robertson,T Duckett,11,126,--,1.43.80,149
3,MOON PALACE (AS004),AUS,,Grey , Gelding,SG,805715,Avancer,Happy Lark,,29/11/1986,05,HV,"Grass""A""",1235,GF,3,9,74,C Robertson,T Duckett,24,126,--,1.15.10,137
4,MOON PALACE (AS004),AUS,,Grey , Gelding,SG,805715,Avancer,Happy Lark,,29/10/1986,05,HV,Sand,1400,NW,3,3,74,C Robertson,T Duckett,3.2,126,--,1.33.50,079
5,MOON PALACE (AS004),AUS,,Grey , Gelding,SG,805715,Avancer,Happy Lark,,24/09/1986,01,HV,Sand,1400,NW,4,2,66,C Robertson,T Duckett,9.7,134,--,1.31.40,015
6,MOON PALACE (AS004),AUS,,Grey , Gelding,SG,805715,Avancer,Happy Lark,,24/05/1986,07,ST,"Grass""A""",1600,S,3,3,73,C Robertson,C W Mak,28,120,--,1.44.00,462
7,MOON PALACE (AS004),AUS,,Grey , Gelding,SG,805715,Avancer,Happy Lark,,26/04/1986,08,ST,"Grass""B""",1400,GY,3,5,75,C Robertson,T P Yung,33,127,--,1.28.20,411
8,MOON PALACE (AS004),AUS,,Grey , Gelding,SG,805715,Avancer,Happy Lark,,22/03/1986,07,HV,"Grass""A""",1235,Y,3,6,77,C Robertson,T P Yung,25,129,--,1.17.30,351
9,MOON PALACE (AS004),AUS,,Grey , Gelding,SG,805715,Avancer,Happy Lark,,05/03/1986,06,HV,Sand,1030,NW,3,3,78,C Robertson,T P Yung,9.2,130,--,1.06.90,315
10,MOON PALACE (AS004),AUS,,Grey , Gelding,SG,805715,Avancer,Happy Lark,,29/01/1986,05,HV,Sand,1575,NW,3,7,80,C Robertson,T P Yung,10,132,--,1.44.50,261
11,MOON PALACE (AS004),AUS,,Grey , Gelding,SG,805715,Avancer,Happy Lark,,08/01/1986,08,HV,"Grass""B""",1235,GF,3,7,82,C Robertson,T P Yung,34,134,--,1.15.60,214
12,MOON PALACE (AS004),AUS,,Grey , Gelding,SG,805715,Avancer,Happy Lark,,04/12/1985,07,HV,"Grass""A""",1650,GY,3,8,83,C Robertson,T P Yung,81,135,--,1.43.50,151
13,MOON PALACE (AS004),AUS,,Grey , Gelding,SG,805715,Avancer,Happy Lark,,23/10/1985,07,HV,Sand,2000,NW,3,7,84,B K Ng,W K Lip,11,129,--,2.15.00,073
14,MOON PALACE (AS004),AUS,,Grey , Gelding,SG,805715,Avancer,Happy Lark,,05/10/1985,02,HV,Sand,1400,NW,3,5,82,B K Ng,T P Yung,4.4,134,--,1.31.50,037
15,MOON PALACE (AS004),AUS,,Grey , Gelding,SG,805715,Avancer,Happy Lark,,21/09/1985,03,HV,"Grass""A""",1235,H,3,3,82,B K Ng,T P Yung,32,134,--,1.20.00,007
