,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,VALIANT KNIGHT (BB003),GB,,Bay , Gelding,SG,0,Crofter,Russalka,,10/01/1988,12,ST,"Grass""C""",1200,G,7,11,6,C L Ng,P Waldron,92,122,--,1.16.50,198
1,VALIANT KNIGHT (BB003),GB,,Bay , Gelding,SG,0,Crofter,Russalka,,22/11/1987,13,ST,"Grass""A(N)""",1200,Y,7,2,11,C L Ng,C W Mak,63,124,--,1.18.10,108
2,VALIANT KNIGHT (BB003),GB,,Bay , Gelding,SG,0,Crofter,Russalka,,21/10/1987,08,HV,Sand,1030,NW,7,5,14,C L Ng,C W Mak,19,127,--,1.08.80,060
3,VALIANT KNIGHT (BB003),GB,,Bay , Gelding,SG,0,Crofter,Russalka,,18/04/1987,10,HV,"Grass""B""",1235,G,6,2,34,C L Ng,C H Yip,10,129,--,1.19.60,394
4,VALIANT KNIGHT (BB003),GB,,Bay , Gelding,SG,0,Crofter,Russalka,,25/02/1987,07,HV,Sand,1030,NW,5,6,38,C L Ng,C W Mak,41,117,--,1.09.50,295
5,VALIANT KNIGHT (BB003),GB,,Bay , Gelding,SG,0,Crofter,Russalka,,10/12/1986,09,HV,Sand,1400,NW,5,10,41,C L Ng,C W Mak,81,120,--,1.34.90,147
6,VALIANT KNIGHT (BB003),GB,,Bay , Gelding,SG,0,Crofter,Russalka,,19/11/1986,10,HV,Sand,1575,RA,5,5,44,C L Ng,C W Mak,69,123,--,1.50.00,113
7,VALIANT KNIGHT (BB003),GB,,Bay , Gelding,SG,0,Crofter,Russalka,,26/10/1986,14,ST,"Grass""A""",1400,GF,5,11,47,C L Ng,W H Tse,88,124,--,--,067
8,VALIANT KNIGHT (BB003),GB,,Bay , Gelding,SG,0,Crofter,Russalka,,20/09/1986,14,ST,"Grass""C""",1200,F,5,13,47,C L Ng,C W Mak,92,126,--,1.15.00,006
9,VALIANT KNIGHT (BB003),GB,,Bay , Gelding,SG,0,Crofter,Russalka,,04/05/1986,13,ST,"Grass""C""",1200,GF,GRIFFIN,1,--,C L Ng,C W Mak,99,111,--,1.16.10,424
10,VALIANT KNIGHT (BB003),GB,,Bay , Gelding,SG,0,Crofter,Russalka,,09/04/1986,10,HV,Sand,1400,NW,GRIFFIN,10,--,C L Ng,C W Mak,69,118,--,--,376
11,VALIANT KNIGHT (BB003),GB,,Bay , Gelding,SG,0,Crofter,Russalka,,01/03/1986,14,ST,"Grass""C""",1000,Y,GRIFFIN,9,--,C L Ng,C W Mak,99,122,--,--,308
12,ENJOY YOURSELF (BB004),GB,,Bay , Gelding,SG,219900,Dance In Time,Lady Lowndes,,19/11/1988,10,HV,"Turf""B""",1235,GF,4,9,62,H F Lam,A S Cruz,7.1,130,--,1.17.80,111
13,ENJOY YOURSELF (BB004),GB,,Bay , Gelding,SG,219900,Dance In Time,Lady Lowndes,,15/10/1988,04,ST,"Grass""C""",1600,GF,4,12,61,H F Lam,A S Cruz,14,129,--,1.36.90,047
14,ENJOY YOURSELF (BB004),GB,,Bay , Gelding,SG,219900,Dance In Time,Lady Lowndes,,16/04/1988,13,ST,"Grass""C""",1400,GY,3,6,68,H F Lam,A S Cruz,4.4,120,--,1.27.50,376
15,ENJOY YOURSELF (BB004),GB,,Bay , Gelding,SG,219900,Dance In Time,Lady Lowndes,,07/11/1987,12,ST,"Grass""C""",1600,F,3,11,68,H F Lam,P Robinson,10,120,--,1.39.50,092
16,ENJOY YOURSELF (BB004),GB,,Bay , Gelding,SG,219900,Dance In Time,Lady Lowndes,,01/01/1987,01,HV,"Grass""A""",1650,GF,4,9,65,H F Lam,A S Cruz,2.8,133,--,1.42.80,191
17,ENJOY YOURSELF (BB004),GB,,Bay , Gelding,SG,219900,Dance In Time,Lady Lowndes,,13/12/1986,01,ST,"Grass""C""",1400,GF,4,3,58,H F Lam,A S Cruz,6.2,126,--,1.24.60,156
18,ENJOY YOURSELF (BB004),GB,,Bay , Gelding,SG,219900,Dance In Time,Lady Lowndes,,24/09/1986,08,HV,Sand,1400,NW,4,8,58,H F Lam,N Williams,5.1,126,--,1.33.70,015
19,ENJOY YOURSELF (BB004),GB,,Bay , Gelding,SG,219900,Dance In Time,Lady Lowndes,,09/04/1986,03,HV,Sand,1400,NW,GRIFFIN,2,--,H F Lam,J K S Ho,2.6,126,--,1.32.60,376
20,ENJOY YOURSELF (BB004),GB,,Bay , Gelding,SG,219900,Dance In Time,Lady Lowndes,,01/03/1986,02,ST,"Grass""C""",1400,Y,GRIFFIN,7,--,H F Lam,J K S Ho,7.8,122,--,1.28.40,313
21,ENJOY YOURSELF (BB004),GB,,Bay , Gelding,SG,219900,Dance In Time,Lady Lowndes,,25/01/1986,08,ST,"Grass""C""",1200,GF,GRIFFIN,1,--,H F Lam,J K S Ho,85,122,--,1.13.40,249
22,ENJOY YOURSELF (BB004),GB,,Bay , Gelding,SG,219900,Dance In Time,Lady Lowndes,,11/01/1986,11,ST,"Grass""A""",1000,GF,GRIFFIN,11,--,H F Lam,K H Hung,34,122,--,1.01.30,219
23,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,20/03/1991,08,HV,Equitrack,1030,GF,6,4,16,P C Kan,K H Ting,12,127,--,1.04.30,328
24,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,10/03/1991,11,ST,"Turf""B(N)""",1000,G,5,10,19,P C Kan,K H Ting,32,114,--,1.01.00,311
25,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,27/02/1991,09,HV,"Turf""B""",1235,G,5,10,21,P C Kan,B Thomson,19,121,--,1.16.80,293
26,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,24/02/1991,12,ST,"Turf""A""",1200,G,6,12,21,P C Kan,B Thomson,8.1,137,--,1.14.40,285
27,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,27/01/1991,11,ST,"Turf""C""",1400,G,5,11,23,P C Kan,B Thomson,21,123,--,1.27.20,236
28,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,13/01/1991,11,ST,"Turf""B""",1200,G,5,4,25,P C Kan,B Thomson,6.5,125,--,1.13.90,212
29,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,01/01/1991,03,HV,"Turf""B""",1235,G,6,10,24,P C Kan,K H Ting,4.9,135,--,1.15.90,193
30,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,12/12/1990,02,HV,"Turf""A""",1235,GY,5,2,21,P C Kan,B Thomson,3.7,121,--,1.16.10,161
31,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,28/11/1990,03,HV,Equitrack,1400,GF,5,4,22,P C Kan,B Thomson,6.9,122,--,1.26.90,132
32,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,29/09/1990,05,ST,"Turf""A""",1200,G,5,8,22,K H Au,D Lee,8.7,122,--,1.13.00,034
33,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,22/09/1990,06,HV,"Turf""A""",975,G,5,9,22,K H Au,D Lee,5.1,122,--,0.59.30,015
34,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,23/06/1990,04,HV,"Turf""A""",1235,G,5,5,48,K H Au,D Lee,3.5,132,--,1.17.40,499
35,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,02/06/1990,02,ST,"Grass""C""",1200,H,5,8,46,K H Au,D Lee,3.9,130,--,1.16.90,472
36,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,19/05/1990,02,ST,"Grass""B""",1200,Y,5,2,44,K H Au,D Lee,4.2,128,--,1.13.00,444
37,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,14/03/1990,03,HV,"Turf""A""",1235,G,5,5,43,K H Au,D Lee,14,127,--,1.16.00,324
38,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,21/02/1990,05,HV,Equitrack,1030,G,5,1,43,K H Au,P H Chan,6.6,127,--,1.03.10,282
39,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,10/02/1990,01,ST,"Grass""C""",1200,G,5,4,35,K H Au,P H Chan,11,119,--,1.13.70,260
40,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,29/01/1990,05,HV,"Turf""A""",1235,G,5,7,36,K H Au,W H Tse,11,120,--,1.17.10,233
41,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,13/01/1990,05,ST,"Grass""B(N)""",1200,G,5,2,38,K H Au,P H Hau,34,112,--,1.13.10,214
42,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,02/12/1989,07,ST,"Grass""C""",1200,GF,5,6,40,K H Au,P H Chan,20,124,--,1.14.60,147
43,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,29/10/1989,10,ST,"Grass""C""",1000,GF,5,9,42,K H Au,P H Chan,11,126,--,1.00.40,084
44,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,07/10/1989,07,HV,"Turf""A""",1235,G,5,2,42,K H Au,W H Tse,32,126,--,1.17.20,049
45,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,06/05/1989,09,ST,"Grass""A(N)""",1000,Y,4,12,55,K H Au,P H Chan,25,123,--,1.01.30,419
46,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,01/04/1989,09,ST,"Grass""C""",1200,G,4,1,57,K H Au,P H Chan,19,125,--,1.13.60,359
47,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,15/03/1989,05,HV,Sand,1400,NW,4,2,59,K H Au,P H Chan,14,127,--,1.31.40,320
48,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,18/02/1989,09,HV,"Turf""B""",975,GF,4,7,61,K H Au,C K Tse,23,124,--,1.00.60,272
49,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,29/01/1989,07,ST,"Grass""A""",1200,GY,4,2,61,K H Au,P H Chan,12,129,--,1.14.00,233
50,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,11/12/1988,01,ST,"Grass""B""",1200,GF,5,3,54,K H Au,P H Chan,23,138,--,1.12.50,149
51,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,30/11/1988,08,HV,Sand,1030,NW,4,3,54,K H Au,P H Chan,5.5,122,--,1.08.40,127
52,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,12/10/1988,02,HV,Sand,1030,NW,5,1,52,K H Au,P H Chan,4.8,136,--,1.05.00,040
53,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,01/10/1988,01,ST,"Grass""B(N)""",1000,GF,5,6,44,K H Au,P H Chan,3,128,--,0.59.30,017
54,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,17/09/1988,02,ST,"Grass""A(N)""",1200,F,5,1,41,K H Au,P H Chan,10,125,--,1.11.30,001
55,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,28/05/1988,04,ST,"Grass""B(N)""",1200,GY,5,6,54,K H Au,A S Cruz,4.6,138,--,1.13.00,450
56,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,16/04/1988,07,ST,"Grass""C""",1200,GY,5,7,56,K H Au,P H Chan,5.5,140,--,1.13.80,377
57,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,23/03/1988,03,HV,Sand,1030,RA,5,3,56,K H Au,P H Chan,2.9,140,--,1.06.00,327
58,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,30/01/1988,02,ST,"Grass""A(N)""",1200,G,5,2,56,K H Au,P H Chan,4.5,140,--,1.13.60,241
59,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,20/01/1988,02,HV,Sand,1400,NW,5,5,56,K H Au,P H Chan,5,140,--,1.31.10,218
60,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,19/12/1987,03,ST,"Grass""C""",1200,G,5,4,55,K H Au,P H Chan,5.6,139,--,1.14.00,169
61,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,28/11/1987,03,ST,"Grass""A(N)""",1400,S,5,8,56,K H Au,P H Chan,6.8,140,--,1.31.50,122
62,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,28/10/1987,01,HV,Sand,1030,RA,5,5,47,K H Au,P H Chan,3.2,131,--,1.05.30,074
63,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,10/10/1987,04,HV,"Grass""A""",1235,GF,5,6,48,K H Au,P H Chan,15,132,--,1.14.70,044
64,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,30/09/1987,06,HV,Sand,1030,NW,5,8,48,K H Au,P H Chan,7.9,132,--,1.06.70,024
65,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,29/04/1987,08,HV,Sand,1400,NW,4,4,57,K H Au,S Aitken,7,125,--,1.34.20,417
66,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,11/04/1987,05,HV,"Grass""A""",1650,Y,4,6,58,K H Au,S Aitken,18,126,--,1.43.50,378
67,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,07/03/1987,04,ST,"Grass""C""",1200,G,4,9,60,K H Au,S Aitken,6.7,128,--,1.13.00,314
68,ACTIVE MASTER (BB005),GB,,Bay , Gelding,SG,1043120,Daring March,Golden Crane,,18/02/1987,04,HV,Sand,1030,NW,4,1,62,K H Au,S Aitken,9.5,130,--,1.06.50,281
