,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,03/06/1992,05,HV,"Turf""A""",975,G,4,2,48,H F Lam,C W Choi,19,127,--,0.58.70,488
1,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,09/05/1992,04,ST,"Turf""A""",1000,S,4,10,48,H F Lam,C W Choi,95,127,--,1.00.20,439
2,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,26/02/1992,09,HV,"Turf""B""",975,G,4,5,50,H F Lam,D Murphy,14,134,--,0.58.70,310
3,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,29/01/1992,04,HV,Equitrack,1030,GF,4,2,51,H F Lam,C K Tse,28,135,--,1.01.70,257
4,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,08/01/1992,04,HV,"Turf""B""",975,G,3,2,52,H F Lam,K M Chin,15,113,--,0.58.40,223
5,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,29/12/1991,06,ST,"Turf""A(N)""",1200,G,4,3,52,H F Lam,K M Chin,39,129,--,1.13.00,199
6,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,11/12/1991,06,HV,"Turf""A""",975,G,4,1,53,H F Lam,B Marcus,7.3,137,--,0.58.50,166
7,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,13/11/1991,05,HV,"Turf""A""",1235,G,4,10,53,H F Lam,B Marcus,41,137,--,1.15.20,113
8,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,26/10/1991,14,ST,"Turf""D""",1000,G,4,14,53,H F Lam,S M Tam,28,132,--,1.00.60,084
9,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,25/09/1991,01,HV,"Turf""B""",975,G,4,8,46,H F Lam,B Marcus,3.5,130,--,0.57.80,027
10,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,27/04/1991,02,ST,"Turf""A(N)""",1200,GF,4,3,52,H F Lam,B Marcus,8.9,136,--,1.12.60,405
11,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,03/04/1991,04,HV,"Turf""A""",1235,G,3,4,53,H F Lam,B Marcus,11,121,--,1.15.60,360
12,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,20/03/1991,04,HV,Equitrack,1030,GF,3,8,54,H F Lam,B Marcus,8.2,122,--,1.02.10,329
13,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,09/02/1991,05,ST,"Turf""D""",1000,G,4,6,54,H F Lam,B Marcus,12,138,--,0.59.80,264
14,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,09/01/1991,04,HV,"Turf""B""",975,GY,3,3,54,H F Lam,B Marcus,5.2,122,--,0.58.20,204
15,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,12/12/1990,02,HV,"Turf""A""",975,GY,4,1,52,H F Lam,B Marcus,2.9,136,--,0.58.80,159
16,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,25/11/1990,07,ST,"Turf""C""",1200,G,3,8,52,H F Lam,B Marcus,12,120,--,1.12.40,126
17,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,27/10/1990,01,HV,"Turf""B""",975,G,4,1,43,H F Lam,B Marcus,6.1,127,--,0.57.70,081
18,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,14/04/1990,09,ST,"Grass""A(N)""",1200,Y,3,9,70,K T Kam,K L Tsui,10,122,--,1.14.10,379
19,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,17/03/1990,04,ST,"Grass""B""",1400,GF,3,9,71,K T Kam,K L Tsui,19,123,--,1.24.70,332
20,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,10/02/1990,10,ST,"Grass""C""",1200,G,3,5,73,K T Kam,K L Tsui,10,125,--,1.13.30,262
21,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,13/12/1989,08,HV,"Turf""B""",1235,G,3,8,75,K T Kam,W H Tse,10,127,--,1.15.70,163
22,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,01/11/1989,08,HV,Equitrack,1030,G,3,1,75,K T Kam,W H Tse,11,127,--,1.06.20,091
23,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,20/09/1989,07,HV,"Turf""A""",975,G,3,4,75,K T Kam,W H Tse,21,127,--,0.59.00,010
24,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,17/05/1989,06,HV,"Turf""B""",1235,G,3,1,88,K T Kam,W H Tse,9.3,140,--,1.16.70,437
25,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,01/04/1989,10,ST,"Grass""C""",1200,G,3,7,88,K T Kam,C F Chan,9,133,--,1.11.90,355
26,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,22/02/1989,01,HV,Sand,1400,NW,3,8,82,K T Kam,K H Ting,11,124,--,1.30.40,280
27,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,07/01/1989,05,ST,"Grass""C""",1200,G,3,10,82,K T Kam,P W Chu,10,124,--,1.13.40,193
28,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,11/12/1988,08,ST,"Grass""B""",1200,GF,3,9,82,K T Kam,K L Tsui,5.4,134,--,1.13.20,151
29,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,30/10/1988,01,ST,"Grass""A""",1200,GY,3,1,74,K T Kam,K L Tsui,26,126,--,1.12.50,074
30,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,25/09/1988,08,ST,"Grass""A(N)""",1400,GY,3,8,74,K T Kam,K L Tsui,7.8,126,--,1.26.10,015
31,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,09/04/1988,02,HV,"Grass""B""",1650,Y,3,4,74,K T Kam,K L Tsui,2.5,126,--,1.44.50,361
32,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,06/02/1988,02,ST,"Grass""A(N)""",1200,G,3,13,71,K T Kam,K L Tsui,4.6,123,--,1.12.50,252
33,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,10/01/1988,01,ST,"Grass""C""",1200,G,4,8,62,K T Kam,K L Tsui,4.1,130,--,1.12.50,195
34,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,05/12/1987,01,ST,"Grass""D""",1400,G,4,11,54,K T Kam,K L Tsui,8,122,--,1.25.60,138
35,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,14/11/1987,08,ST,"Grass""C""",1400,G,4,5,54,K T Kam,K L Tsui,5.6,122,--,1.26.80,104
36,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,11/04/1987,02,HV,"Grass""A""",975,Y,GRIFFIN,3,--,B Hutchison,G Allendorf,2.6,129,--,0.58.40,377
37,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,15/02/1987,03,ST,"Grass""B""",1400,GF,GRIFFIN,7,--,B Hutchison,R Heffernan,2.4,122,--,1.26.40,271
38,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,04/02/1987,02,HV,"Grass""A""",1235,F,GRIFFIN,5,--,B Hutchison,R Heffernan,18,122,--,1.15.60,249
39,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,18/01/1987,09,ST,"Grass""A""",1100,GF,GRIFFIN,8,--,B Hutchison,R Heffernan,17,122,--,1.07.00,226
40,TOP SPEED (BC003),IRE,,Grey ,,SG,1085300,Junius,Coastal Rocket,Roan Rocket,14/12/1986,05,ST,"Grass""C""",1200,GF,GRIFFIN,8,--,B Hutchison,R Heffernan,14,121,--,1.12.80,161
41,MAGNETIC SHADOW (BC004),GB,,Chestnut , Gelding,SG,139400,On Your Mark,Indian Beauty,,18/02/1989,01,HV,"Turf""B""",1650,GF,6,3,26,K H Au,P H Chan,3.6,126,--,1.45.30,271
42,MAGNETIC SHADOW (BC004),GB,,Chestnut , Gelding,SG,139400,On Your Mark,Indian Beauty,,14/12/1988,05,HV,"Turf""A""",1650,GF,6,6,26,K H Au,P H Chan,6.1,126,--,1.47.20,159
43,MAGNETIC SHADOW (BC004),GB,,Chestnut , Gelding,SG,139400,On Your Mark,Indian Beauty,,03/12/1988,08,ST,"Grass""A""",1200,G,6,2,26,K H Au,P H Chan,6.1,126,--,1.14.20,137
44,MAGNETIC SHADOW (BC004),GB,,Chestnut , Gelding,SG,139400,On Your Mark,Indian Beauty,,22/10/1988,02,ST,"Grass""C""",1400,GF,6,7,22,K H Au,D Lee,72,122,--,1.25.80,059
45,MAGNETIC SHADOW (BC004),GB,,Chestnut , Gelding,SG,139400,On Your Mark,Indian Beauty,,05/10/1988,05,HV,Sand,1575,NW,6,5,22,K H Au,K H Hung,19,122,--,1.44.60,029
46,MAGNETIC SHADOW (BC004),GB,,Chestnut , Gelding,SG,139400,On Your Mark,Indian Beauty,,28/05/1988,09,ST,"Grass""B(N)""",1200,GY,5,5,43,K H Au,P H Chan,47,127,--,1.14.50,450
47,MAGNETIC SHADOW (BC004),GB,,Chestnut , Gelding,SG,139400,On Your Mark,Indian Beauty,,07/05/1988,14,ST,"Grass""A""",1600,GY,5,5,44,K H Au,C K Tse,99,121,--,1.44.80,412
48,MAGNETIC SHADOW (BC004),GB,,Chestnut , Gelding,SG,139400,On Your Mark,Indian Beauty,,16/04/1988,11,ST,"Grass""C""",1200,GY,5,6,47,K H Au,C H Yip,38,128,--,1.15.10,377
