,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,GALLANT MEDICS (BD003),GB,,Bay , Gelding,SG,221560,Creetown,Tecllyn,,17/01/1990,07,HV,Equitrack,1575,G,5,9,48,J Moore,N Barker,5.5,132,--,1.42.30,221
1,GALLANT MEDICS (BD003),GB,,Bay , Gelding,SG,221560,Creetown,Tecllyn,,01/01/1990,02,HV,"Turf""A""",1650,G,5,6,45,J Moore,C F Chan,16,124,--,1.45.40,193
2,GALLANT MEDICS (BD003),GB,,Bay , Gelding,SG,221560,Creetown,Tecllyn,,02/12/1989,05,ST,"Grass""C""",1200,GF,5,12,46,J Moore,A S Cruz,12,130,--,1.13.80,147
3,GALLANT MEDICS (BD003),GB,,Bay , Gelding,SG,221560,Creetown,Tecllyn,,22/11/1989,04,HV,Equitrack,1400,G,5,7,46,J Moore,N Tiley,3.1,130,--,1.31.50,125
4,GALLANT MEDICS (BD003),GB,,Bay , Gelding,SG,221560,Creetown,Tecllyn,,01/11/1989,01,HV,Equitrack,1400,G,6,3,36,J Moore,N Barker,6.7,136,--,1.29.10,088
5,GALLANT MEDICS (BD003),GB,,Bay , Gelding,SG,221560,Creetown,Tecllyn,,21/10/1989,07,ST,"Grass""B(N)""",1200,F,6,14,37,J Moore,N Barker,12,137,--,1.12.60,068
6,GALLANT MEDICS (BD003),GB,,Bay , Gelding,SG,221560,Creetown,Tecllyn,,01/10/1989,08,ST,"Grass""B(N)""",1400,H,6,4,38,J Moore,C F Chan,7.6,131,--,1.30.20,035
7,GALLANT MEDICS (BD003),GB,,Bay , Gelding,SG,221560,Creetown,Tecllyn,,23/09/1989,02,ST,"Grass""A(N)""",1000,Y,6,10,35,J Moore,N Tiley,7.4,135,--,1.00.20,015
8,GALLANT MEDICS (BD003),GB,,Bay , Gelding,SG,221560,Creetown,Tecllyn,,24/05/1989,04,HV,"Turf""B""",1235,G,5,7,46,J Moore,G Allendorf,15,130,--,1.16.70,441
9,GALLANT MEDICS (BD003),GB,,Bay , Gelding,SG,221560,Creetown,Tecllyn,,25/03/1989,10,ST,"Grass""A(N)""",1200,Y,5,7,49,J Moore,C F Chan,13,126,--,1.16.30,339
