,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,WHOOPEE (BE003),GB,,Grey , Gelding,SG,339150,Hard Fought,Caktis,,01/01/1991,10,HV,"Turf""B""",1650,G,4,6,46,L Fownes,W Woods,10,130,--,1.47.90,192
1,WHOOPEE (BE003),GB,,Grey , Gelding,SG,339150,Hard Fought,Caktis,,12/12/1990,04,HV,"Turf""A""",1650,GY,4,1,46,L Fownes,C K Tse,34,127,--,1.44.40,163
2,WHOOPEE (BE003),GB,,Grey , Gelding,SG,339150,Hard Fought,Caktis,,17/11/1990,08,HV,"Turf""A""",1235,Y,4,9,47,L Fownes,W Woods,3.5,131,--,1.17.30,116
3,WHOOPEE (BE003),GB,,Grey , Gelding,SG,339150,Hard Fought,Caktis,,13/10/1990,09,ST,"Turf""B""",1200,G,4,9,48,L Fownes,C K Tse,7.4,129,--,1.13.00,056
4,WHOOPEE (BE003),GB,,Grey , Gelding,SG,339150,Hard Fought,Caktis,,22/09/1990,04,HV,"Turf""A""",1235,G,4,1,48,L Fownes,W Woods,4.1,132,--,1.15.80,018
5,WHOOPEE (BE003),GB,,Grey , Gelding,SG,339150,Hard Fought,Caktis,,16/06/1990,02,HV,"Turf""B""",1235,G,3,1,69,L Fownes,C K Tse,7.9,118,--,1.16.00,490
6,WHOOPEE (BE003),GB,,Grey , Gelding,SG,339150,Hard Fought,Caktis,,07/03/1990,01,HV,"Turf""A""",1235,G,4,1,58,L Fownes,W Woods,1.9,126,--,1.15.40,309
7,WHOOPEE (BE003),GB,,Grey , Gelding,SG,339150,Hard Fought,Caktis,,07/02/1990,01,HV,"Turf""B""",1235,G,4,8,50,L Fownes,W Woods,4.2,118,--,1.15.00,249
8,WHOOPEE (BE003),GB,,Grey , Gelding,SG,339150,Hard Fought,Caktis,,20/12/1989,05,HV,"Turf""B""",1650,G,4,8,51,L Fownes,W Woods,7.8,119,--,1.44.00,175
9,WHOOPEE (BE003),GB,,Grey , Gelding,SG,339150,Hard Fought,Caktis,,10/12/1989,05,ST,"Grass""C""",1400,G,4,5,52,L Fownes,W Woods,5.6,120,--,1.26.00,153
10,WHOOPEE (BE003),GB,,Grey , Gelding,SG,339150,Hard Fought,Caktis,,25/11/1989,05,HV,"Turf""A""",1235,G,4,4,52,L Fownes,W Woods,5.6,120,--,1.16.30,131
11,WHOOPEE (BE003),GB,,Grey , Gelding,SG,339150,Hard Fought,Caktis,,29/10/1989,06,ST,"Grass""C""",1000,GF,4,10,52,L Fownes,W Woods,31,120,--,0.59.20,079
12,WHOOPEE (BE003),GB,,Grey , Gelding,SG,339150,Hard Fought,Caktis,,01/04/1989,04,ST,"Grass""C""",1000,G,GRIFFIN,2,--,L Fownes,N Barker,22,123,--,0.59.90,354
13,WHOOPEE (BE003),GB,,Grey , Gelding,SG,339150,Hard Fought,Caktis,,04/03/1989,05,ST,"Grass""A""",1000,GF,GRIFFIN,8,--,L Fownes,W Woods,6,122,--,1.00.90,295
14,CLASSA (BE004),GB,,Bay , Gelding,SG,386750,Lochnager,Melody Song,,17/04/1991,03,HV,Equitrack,1030,GF,3,5,54,D Oughton,P Robinson,4.3,122,--,1.01.80,384
15,CLASSA (BE004),GB,,Bay , Gelding,SG,386750,Lochnager,Melody Song,,03/04/1991,07,HV,"Turf""A""",1235,G,3,5,56,D Oughton,P Robinson,3.4,124,--,1.15.80,360
16,CLASSA (BE004),GB,,Bay , Gelding,SG,386750,Lochnager,Melody Song,,20/02/1991,06,HV,"Turf""B""",1235,G,3,5,56,D Oughton,L T Leung,9.7,119,--,1.15.70,279
17,CLASSA (BE004),GB,,Bay , Gelding,SG,386750,Lochnager,Melody Song,,16/06/1990,03,HV,"Turf""B""",1235,G,3,5,77,D Oughton,P Robinson,7.4,129,--,1.16.10,490
18,CLASSA (BE004),GB,,Bay , Gelding,SG,386750,Lochnager,Melody Song,,23/12/1989,10,ST,"Grass""A""",1000,Y,3,13,77,D Oughton,P Robinson,4.1,129,--,1.01.90,182
19,CLASSA (BE004),GB,,Bay , Gelding,SG,386750,Lochnager,Melody Song,,11/11/1989,02,ST,"Grass""D""",1200,GF,3,5,72,D Oughton,P Robinson,2.7,124,--,1.11.80,114
20,CLASSA (BE004),GB,,Bay , Gelding,SG,386750,Lochnager,Melody Song,,14/10/1989,01,HV,"Turf""B""",975,G,4,1,62,D Oughton,P Robinson,1.5,130,--,0.57.70,051
21,CLASSA (BE004),GB,,Bay , Gelding,SG,386750,Lochnager,Melody Song,,06/05/1989,03,ST,"Grass""A(N)""",1200,Y,GRIFFIN,6,--,D Oughton,P Robinson,2.9,121,--,1.13.40,422
22,CLASSA (BE004),GB,,Bay , Gelding,SG,386750,Lochnager,Melody Song,,01/04/1989,01,ST,"Grass""C""",1000,G,GRIFFIN,5,--,D Oughton,P Robinson,20,123,--,0.58.70,354
23,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,17/12/1994,02,ST,"Turf""A(N)""",1400,G,6,11,7,I W Allan,B Marcus,23,123,--,1.25.70,191
24,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,23/11/1994,09,HV,Equitrack,1600,G,6,9,9,I W Allan,B Marcus,6.6,120,--,1.43.70,145
25,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,30/10/1994,04,ST,"Turf""A""",1400,GF,6,14,9,I W Allan,B Marcus,22,123,--,1.25.70,101
26,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,05/10/1994,05,HV,"Turf""A""",1800,GF,6,8,10,I W Allan,B Marcus,7.2,120,--,1.53.00,049
27,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,17/09/1994,02,ST,"Turf""A""",1600,G,6,8,7,I W Allan,B Marcus,5.4,121,--,1.38.50,017
28,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,25/05/1994,02,HV,"Turf""B""",1650,G,6,9,15,I W Allan,B Marcus,6,131,--,1.43.30,494
29,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,07/05/1994,14,ST,"Turf""A""",1800,G,5,7,17,I W Allan,Y S Wong,27,106,--,1.54.30,461
30,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,20/04/1994,05,HV,"Turf""B""",2230,G,5&6,10,19,I W Allan,B Marcus,8.9,126,--,2.23.80,426
31,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,16/03/1994,03,HV,"Turf""A""",1800,G,6,5,19,I W Allan,B Marcus,6.3,135,--,1.54.90,362
32,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,23/02/1994,07,HV,"Turf""B""",1650,G,6,6,20,I W Allan,K M Chin,8.8,131,--,1.45.00,321
33,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,29/01/1994,02,ST,"Turf""D""",2000,G,5&6,14,17,I W Allan,B Marcus,52,126,--,2.07.20,280
34,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,08/01/1994,12,ST,"Turf""B(N)""",1400,G,6,7,19,I W Allan,E Legrix,15,135,--,1.29.20,235
35,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,28/11/1993,06,ST,"Turf""B""",1800,GF,6,14,20,I W Allan,B Marcus,7.7,136,--,1.52.60,146
36,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,06/11/1993,07,ST,"Turf""A(N)""",1600,S,6,7,22,I W Allan,B Marcus,5.1,137,--,1.39.80,099
37,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,09/10/1993,09,ST,"Turf""C""",1600,G,5,2,22,I W Allan,K M Chin,22,113,--,1.39.60,053
38,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,13/06/1993,03,ST,"Turf""C""",1800,S,5,12,28,I W Allan,D Gauci,17,128,--,1.56.50,501
39,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,29/05/1993,03,ST,"Turf""A""",1600,G,5,13,27,I W Allan,F Coetzee,7.3,127,--,1.38.30,471
40,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,14/04/1993,06,HV,"Turf""B""",2230,G,5&6,4,28,I W Allan,A S Cruz,4.2,129,--,2.24.80,374
41,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,21/03/1993,02,ST,"Turf""B(N)""",1600,G,5,6,25,I W Allan,B Marcus,13,125,--,1.40.10,318
42,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,27/02/1993,09,ST,"Turf""D""",1400,G,5,10,26,I W Allan,L Piggott,13,126,--,1.26.40,277
43,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,31/10/1992,12,ST,"Turf""D""",1400,G,5,11,26,I W Allan,F C Lor,14,126,--,1.27.50,114
44,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,27/09/1992,01,ST,"Turf""B(N)""",1600,G,5,4,20,I W Allan,F Coetzee,7,120,--,1.37.30,036
45,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,13/09/1992,07,ST,"Turf""A""",1400,G,5,10,20,I W Allan,B Marcus,89,120,--,1.25.10,005
46,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,31/05/1992,12,ST,"Turf""B""",2000,Y,4&5,5,29,Y O Wong,C K Tse,99,116,--,2.09.10,479
47,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,22/04/1992,07,HV,Equitrack,2000,GF,4&5,8,32,Y O Wong,C K Tse,41,124,--,2.07.80,405
48,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,01/04/1992,09,HV,"Turf""A""",2230,GY,5&6,9,34,Y O Wong,C K Tse,44,138,--,2.27.30,375
49,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,07/03/1992,14,ST,"Turf""B""",2000,Y,4&5,1,36,Y O Wong,W L Ho,99,112,--,2.12.70,329
50,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,06/02/1992,05,ST,"Turf""A""",1800,G,5,7,36,Y O Wong,M Kinane,8.9,136,--,1.53.60,264
51,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,21/12/1991,01,ST,"Turf""A""",1800,G,5,3,31,Y O Wong,E Legrix,14,131,--,1.52.60,190
52,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,20/11/1991,07,HV,Equitrack,2000,GF,5&6,5,32,Y O Wong,B Marcus,4.6,133,--,2.05.30,130
53,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,02/11/1991,WV-A,ST,"Turf""B""",2000,G,5&6,--,30,Y O Wong,C K Tse,--,136,--,--,100
54,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,30/10/1991,02,HV,"Turf""B""",1650,G,5,3,30,Y O Wong,B Marcus,1.9,130,--,1.42.40,089
55,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,25/09/1991,02,HV,"Turf""B""",1650,G,5,4,28,Y O Wong,B Marcus,5.3,128,--,1.43.50,023
56,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,01/06/1991,08,ST,"Turf""C""",2000,G,4&5,1,38,Y O Wong,B Marcus,9.5,126,--,2.08.50,470
57,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,16/03/1991,09,ST,"Turf""B""",2000,G,4&5,2,40,Y O Wong,B Marcus,6.5,133,--,2.07.80,325
58,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,17/02/1991,04,HV,"Turf""A""",1800,G,4,7,41,Y O Wong,K H Hung,11,125,--,1.53.60,268
59,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,29/12/1990,07,ST,"Turf""A(N)""",2200,G,3&4,8,43,Y O Wong,K H Hung,37,119,--,2.21.10,184
60,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,05/12/1990,05,HV,Equitrack,2000,GF,4&5,4,45,Y O Wong,K H Hung,7.3,136,--,2.07.40,146
61,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,03/11/1990,07,ST,"Turf""A""",1600,G,4,2,45,Y O Wong,J K S Ho,4.1,129,--,1.39.80,087
62,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,14/04/1990,04,ST,"Grass""A(N)""",1600,Y,3,4,68,E Collingwood,P Waldron,8.3,120,--,1.39.50,377
63,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,26/04/1989,03,HV,"Turf""A""",1800,G,GRIFFIN,1,--,E Collingwood,P Waldron,1.8,121,--,1.54.80,402
64,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,27/03/1989,01,ST,"Grass""A(N)""",1600,S,GRIFFIN,1,--,E Collingwood,P Waldron,5.5,116,--,1.38.90,350
65,JET SPEED (BE005),IRE,,Bay , Gelding,SG,1289750,Henbit,Gay Broad,Gay Fandango,11/02/1989,02,HV,"Turf""A""",1650,GF,GRIFFIN,1,--,E Collingwood,B Leisher,11,122,--,1.45.40,253
66,SOUTHERN GLORY (BE006),GB,,Chestnut , Gelding,SG,591450,Northern Tempest,Covenant,Good Bond,31/10/1993,09,ST,"Turf""D""",1400,GF,5,8,38,T P Wong,K L Tsui,6.1,134,--,1.25.10,091
67,SOUTHERN GLORY (BE006),GB,,Chestnut , Gelding,SG,591450,Northern Tempest,Covenant,Good Bond,18/09/1993,06,ST,"Turf""A(N)""",1400,GY,4,10,38,T P Wong,K L Tsui,13,118,--,1.25.50,018
68,SOUTHERN GLORY (BE006),GB,,Chestnut , Gelding,SG,591450,Northern Tempest,Covenant,Good Bond,05/06/1993,07,ST,"Turf""B(N)""",1400,Y,4,7,48,T P Wong,K L Tsui,11,132,--,1.27.20,484
69,SOUTHERN GLORY (BE006),GB,,Chestnut , Gelding,SG,591450,Northern Tempest,Covenant,Good Bond,10/03/1993,07,HV,Equitrack,1030,GF,3,3,49,T P Wong,A S Cruz,11,117,--,1.02.20,296
70,SOUTHERN GLORY (BE006),GB,,Chestnut , Gelding,SG,591450,Northern Tempest,Covenant,Good Bond,27/02/1993,06,ST,"Turf""D""",1000,G,4,10,50,T P Wong,K L Tsui,7.1,134,--,1.00.80,272
71,SOUTHERN GLORY (BE006),GB,,Chestnut , Gelding,SG,591450,Northern Tempest,Covenant,Good Bond,20/01/1993,07,HV,"Turf""B""",1650,GY,3,6,52,T P Wong,C W Choi,5.2,115,--,1.42.80,195
72,SOUTHERN GLORY (BE006),GB,,Chestnut , Gelding,SG,591450,Northern Tempest,Covenant,Good Bond,14/11/1992,03,ST,"Turf""A""",1400,G,3,14,52,T P Wong,K L Tsui,11,120,--,1.25.30,136
73,SOUTHERN GLORY (BE006),GB,,Chestnut , Gelding,SG,591450,Northern Tempest,Covenant,Good Bond,03/06/1992,08,HV,"Turf""A""",1650,G,3,5,61,T P Wong,K L Tsui,15,129,--,1.43.00,486
74,SOUTHERN GLORY (BE006),GB,,Chestnut , Gelding,SG,591450,Northern Tempest,Covenant,Good Bond,18/04/1992,09,ST,"Turf""C""",1200,G,3,1,63,T P Wong,K L Tsui,10,131,--,1.12.30,395
75,SOUTHERN GLORY (BE006),GB,,Chestnut , Gelding,SG,591450,Northern Tempest,Covenant,Good Bond,15/12/1991,10,ST,"Turf""A""",1600,G,3,2,64,T P Wong,N Barker,3.7,132,--,1.39.10,175
76,SOUTHERN GLORY (BE006),GB,,Chestnut , Gelding,SG,591450,Northern Tempest,Covenant,Good Bond,02/11/1991,02,ST,"Turf""B""",1400,G,3,2,61,T P Wong,K L Tsui,3.7,129,--,1.24.20,102
77,SOUTHERN GLORY (BE006),GB,,Chestnut , Gelding,SG,591450,Northern Tempest,Covenant,Good Bond,06/10/1991,02,ST,"Turf""B(N)""",1400,G,3,2,57,T P Wong,K L Tsui,4.6,125,--,1.24.00,050
78,SOUTHERN GLORY (BE006),GB,,Chestnut , Gelding,SG,591450,Northern Tempest,Covenant,Good Bond,26/05/1991,07,ST,"Turf""A""",1400,G,3,6,65,T P Wong,K L Tsui,11,133,--,1.27.00,450
79,SOUTHERN GLORY (BE006),GB,,Chestnut , Gelding,SG,591450,Northern Tempest,Covenant,Good Bond,13/04/1991,01,ST,"Turf""D""",1400,F,3,9,57,T P Wong,K L Tsui,16,125,--,1.23.50,380
80,SOUTHERN GLORY (BE006),GB,,Chestnut , Gelding,SG,591450,Northern Tempest,Covenant,Good Bond,13/01/1991,05,ST,"Turf""B""",1600,G,3,4,57,T P Wong,K L Tsui,30,125,--,1.37.80,217
81,SOUTHERN GLORY (BE006),GB,,Chestnut , Gelding,SG,591450,Northern Tempest,Covenant,Good Bond,03/11/1990,09,ST,"Turf""A""",1600,G,3,12,57,T P Wong,K L Tsui,10,125,--,1.39.60,094
