,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,06/12/1997,11,ST,AWT,1150,NW,3,4,48,D Oughton,A Munro,9.7,115,1096,1.10.60,202
1,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,22/10/1997,06,ST,AWT,1150,NW,3,9,50,D Oughton,A Munro,21,113,1083,1.09.70,106
2,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,08/10/1997,12,HV,"Turf""C+3""",1200,GF,4,3,52,D Oughton,E Legrix,69,126,1076,1.13.90,072
3,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,27/09/1997,05,ST,AWT,1150,NW,4,11,54,D Oughton,E Saint-Martin,6.4,130,1089,1.10.20,046
4,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,17/09/1997,11,ST,"Turf""B(N)""",1200,GF,4,3,54,D Oughton,L F Chung,84,118,1115,1.12.20,025
5,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,21/05/1997,01,ST,AWT,1150,NW,3,12,52,D Oughton,A Munro,12,115,1152,1.08.20,539
6,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,23/04/1997,06,HV,"Turf""A+2""",1000,G,4,10,54,D Oughton,E Saint-Martin,37,134,1133,0.59.90,474
7,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,05/03/1997,07,ST,AWT,1150,NW,4,6,55,D Oughton,E Legrix,7.7,136,1136,1.10.30,371
8,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,19/02/1997,08,HV,"Turf""B""",1000,G,3,5,57,D Oughton,L F Chung,41,110,1166,0.59.60,338
9,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,15/01/1997,03,ST,AWT,1150,NW,4,5,55,D Oughton,M Kinane,11,136,--,1.09.10,270
10,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,11/12/1996,11,HV,"Turf""C""",1000,G,4,9,56,D Oughton,M Kinane,9.9,135,--,1.00.20,206
11,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,13/11/1996,06,HV,"Turf""B+2""",1200,GF,4,8,56,D Oughton,M Kinane,27,134,--,1.13.10,145
12,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,23/10/1996,01,ST,AWT,1150,NW,4,14,48,D Oughton,M Kinane,12,126,--,1.09.10,104
13,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,11/09/1996,12,HV,"Turf""A""",1200,GF,4,3,48,D Oughton,L F Chung,30,114,--,1.15.10,015
14,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,05/06/1996,09,HV,"Turf""B""",1000,G,4,12,55,D Oughton,L F Chung,21,128,--,1.00.30,537
15,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,15/05/1996,12,HV,"Turf""C""",1200,G,3,1,57,D Oughton,J Marshall,11,122,--,1.15.80,499
16,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,24/04/1996,02,HV,"Turf""B""",1000,G,3,13,55,D Oughton,L F Chung,40,116,--,0.59.30,450
17,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,10/04/1996,02,HV,"Turf""A""",1000,GY,4,11,52,D Oughton,L F Chung,34,129,--,0.59.30,413
18,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,23/03/1996,11,ST,"Turf""A""",1200,GY,3,2,54,D Oughton,L F Chung,46,111,--,1.12.90,385
19,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,28/02/1996,09,HV,"Turf""B""",1200,G,3,7,56,D Oughton,L F Chung,34,113,--,1.13.90,333
20,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,21/02/1996,11,ST,"Turf""C""",1000,S,3,4,58,D Oughton,L F Chung,45,116,--,1.01.60,313
21,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,31/01/1996,03,ST,Equitrack,1150,NW,3,1,57,D Oughton,M Kinane,9.8,118,--,1.08.40,275
22,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,20/12/1995,08,ST,Equitrack,1150,NW,3,7,59,D Oughton,L F Chung,19,113,--,1.08.80,199
23,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,11/11/1995,09,ST,"Turf""A""",1000,GF,3,4,61,D Oughton,M Kinane,25,126,--,0.58.80,119
24,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,18/10/1995,03,ST,Equitrack,1050,NW,3,9,61,D Oughton,M Kinane,4.1,124,--,1.01.00,084
25,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,27/09/1995,04,ST,Equitrack,1050,NW,3,10,61,D Oughton,L F Chung,11,113,--,1.01.10,042
26,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,20/09/1995,03,ST,Equitrack,1150,NW,3,4,60,D Oughton,K Manning,28,123,--,1.08.20,028
27,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,03/06/1995,07,ST,"Turf""B""",1200,G,3,6,65,D Oughton,G Childs,33,131,--,1.12.60,499
28,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,19/04/1995,01,ST,Equitrack,1050,RA,4,4,55,D Oughton,G Childs,4.3,133,--,1.01.70,412
29,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,29/03/1995,04,ST,Equitrack,1050,NW,3,1,55,D Oughton,M Kinane,7.6,118,--,1.02.70,375
30,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,04/03/1995,05,ST,"Turf""B(N)""",1000,G,4,2,56,D Oughton,W H Tse,3.6,133,--,1.00.80,328
31,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,15/02/1995,03,HV,"Turf""A""",975,GY,4,10,55,D Oughton,M Kinane,10,134,--,0.57.80,296
32,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,04/01/1995,08,HV,"Turf""A""",975,G,3,9,57,D Oughton,M Kinane,9.2,120,--,0.59.00,220
33,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,07/12/1994,09,HV,"Turf""A""",1235,G,3,5,58,D Oughton,M Kinane,16,126,--,1.15.80,171
34,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,27/11/1994,03,ST,"Turf""C""",1000,G,3,8,57,D Oughton,M Kinane,7.5,118,--,0.59.50,149
35,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,26/10/1994,05,HV,Equitrack,1030,GF,3,4,58,D Oughton,M Kinane,4.7,123,--,1.00.70,095
36,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,08/10/1994,09,ST,"Turf""C""",1000,G,3,4,58,D Oughton,B Marcus,22,122,--,0.59.30,054
37,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,05/06/1994,10,ST,"Turf""B""",1400,GY,3,9,66,D Oughton,W H Tse,26,132,--,1.26.40,516
38,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,30/04/1994,04,ST,"Turf""A(N)""",1400,G,3,12,66,D Oughton,W H Tse,52,134,--,1.25.70,446
39,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,30/03/1994,08,HV,"Turf""B""",975,G,3,4,68,D Oughton,M Kinane,25,134,--,0.58.20,389
40,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,09/03/1994,06,HV,Equitrack,1030,GF,3,8,68,D Oughton,M Kinane,6.8,132,--,1.01.40,344
41,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,02/02/1994,01,HV,Equitrack,1030,GF,3,3,62,D Oughton,D Gauci,6.1,125,--,1.01.30,286
42,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,21/12/1993,07,HV,"Turf""A""",975,G,3,7,64,D Oughton,M Kinane,9.9,131,--,0.58.40,202
43,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,28/11/1993,08,ST,"Turf""B""",1200,GF,3,8,65,D Oughton,M Kinane,13,131,--,1.12.10,149
44,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,06/11/1993,WX-A,ST,"Turf""A(N)""",1000,Y,3,--,65,D Oughton,M Kinane,--,128,--,--,103
45,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,29/09/1993,03,HV,Equitrack,1030,G,3,1,64,D Oughton,B Marcus,2.2,128,--,1.01.50,034
46,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,01/05/1993,03,ST,"Turf""C""",1000,Y,3,11,70,D Oughton,J Marshall,5.7,138,--,0.59.60,411
47,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,21/04/1993,02,HV,Equitrack,1030,GF,3,6,66,D Oughton,D Beadman,5.1,134,--,1.00.80,392
48,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,31/03/1993,01,HV,Equitrack,1030,GF,3,4,58,D Oughton,B Marcus,2.4,126,--,1.00.70,338
49,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,03/03/1993,09,HV,"Turf""B""",1235,G,3,6,58,D Oughton,M Kinane,41,126,--,1.16.60,283
50,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,03/02/1993,04,HV,"Turf""A""",975,G,3,5,58,D Oughton,M Kinane,3.4,126,--,0.58.10,228
51,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,25/01/1993,06,ST,"Turf""B""",1200,G,3,11,58,D Oughton,M Kinane,14,126,--,1.11.60,204
52,THIRD TIME LUCKY (BH003),GB,,Chestnut , Gelding,SG,2679569,Blushing Scribe,Cutler Heights,Galivanter,18/11/1992,01,HV,Equitrack,1030,GF,4,4,49,D Oughton,M Kinane,3.7,133,--,1.00.40,144
