,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,07/10/1995,09,ST,"Turf""A""",1000,G,5,2,36,P L Biancone,H K Yim,3.1,130,--,1.01.70,060
1,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,16/09/1995,01,ST,"Turf""B""",1200,G,5,5,29,P L Biancone,H K Yim,3,122,--,1.11.40,016
2,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,10/09/1995,02,ST,"Turf""A""",1200,GF,5,5,26,P L Biancone,H K Yim,7,119,--,1.11.30,002
3,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,29/04/1995,13,ST,"Turf""D""",1200,GF,4,2,37,P L Biancone,H K Yim,13,112,--,1.13.50,435
4,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,19/04/1995,05,ST,Equitrack,1050,RA,5,2,39,P L Biancone,H K Yim,6.4,132,--,1.03.50,413
5,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,15/04/1995,05,ST,"Turf""B""",1400,G,5,5,39,P L Biancone,H K Yim,13,132,--,1.26.10,403
6,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,29/03/1995,12,ST,Equitrack,1650,NW,4,3,40,P L Biancone,E Legrix,22,122,--,1.49.70,374
7,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,22/03/1995,12,ST,"Turf""D""",1200,G,4,11,42,P L Biancone,E Legrix,6,122,--,1.13.50,359
8,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,22/02/1995,03,HV,"Turf""A""",975,G,4,3,41,P L Biancone,H K Yim,4.4,112,--,0.58.00,310
9,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,08/02/1995,09,HV,"Turf""B""",1235,GF,4,9,43,P L Biancone,E Legrix,8.8,127,--,1.16.10,281
10,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,28/09/1994,02,HV,"Turf""B""",975,G,4,4,40,P L Biancone,H K Yim,7,111,--,0.57.50,032
11,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,14/09/1994,08,HV,"Turf""A""",975,G,5,10,40,P L Biancone,E Legrix,5.2,136,--,0.59.70,013
12,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,05/06/1994,06,ST,"Turf""B""",1200,GY,4,11,48,T K Ng,E Legrix,5.4,128,--,1.12.50,518
13,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,30/04/1994,08,ST,"Turf""A(N)""",1200,G,4,12,50,T K Ng,K H Ting,17,133,--,1.13.00,452
14,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,26/03/1994,08,ST,"Turf""A""",1000,G,4,5,52,T K Ng,W M Lai,35,125,--,0.59.80,382
15,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,02/02/1994,05,HV,Equitrack,1030,GF,4,5,54,T K Ng,A Munro,2.3,135,--,1.02.30,283
16,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,29/01/1994,10,ST,"Turf""D""",1200,G,3,11,54,T K Ng,W M Lai,15,107,--,1.12.80,278
17,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,20/10/1993,07,HV,"Turf""B""",975,G,3,8,54,P H Chan,D Lee,2,118,--,0.58.90,077
18,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,03/10/1993,03,ST,"Turf""B""",1200,G,4,6,52,P H Chan,D Lee,28,132,--,1.11.30,037
19,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,19/05/1993,06,HV,"Turf""A""",1235,G,3,5,58,P H Chan,D Lee,22,126,--,1.15.10,451
20,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,01/05/1993,07,ST,"Turf""C""",1000,S,3,6,59,P H Chan,D Lee,14,127,--,0.59.90,410
21,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,25/01/1993,04,ST,"Turf""B""",1200,G,3,2,58,D Cruz,A Munro,6.3,126,--,1.11.40,204
22,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,01/01/1993,01,HV,"Turf""A""",975,G,4,8,51,D Cruz,A Munro,2,135,--,0.57.80,159
23,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,18/11/1992,02,HV,Equitrack,1030,GF,4,7,48,D Cruz,A S Cruz,2.8,132,--,1.00.60,144
24,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,24/10/1992,02,ST,"Turf""C""",1000,GF,4,10,44,D Cruz,A S Cruz,4,128,--,0.59.10,094
25,GRACEFUL WIN (BJ003),IRE,,Bay , Gelding,SG,813808,Hatim,Tootsie Roll,Comedy Star,17/10/1992,06,ST,"Turf""C""",1200,GF,4,1,44,D Cruz,C K Chung,84,123,--,1.11.80,079
26,LUCKY DOUBLE SIX (BJ004),IRE,,Bay , Gelding,SG,10500,Soughaan,Lost Path,Sovereign Path,26/01/1994,08,HV,Equitrack,1400,GF,6,5,1,S T Wong,K C Chan,99,107,--,1.27.70,267
27,LUCKY DOUBLE SIX (BJ004),IRE,,Bay , Gelding,SG,10500,Soughaan,Lost Path,Sovereign Path,08/01/1994,11,ST,"Turf""B(N)""",1400,G,6,3,4,S T Wong,A Munro,43,120,--,1.27.70,236
28,LUCKY DOUBLE SIX (BJ004),IRE,,Bay , Gelding,SG,10500,Soughaan,Lost Path,Sovereign Path,10/11/1993,07,HV,"Turf""A""",1235,G,6,10,6,S T Wong,J K S Ho,96,120,--,1.15.90,107
29,LUCKY DOUBLE SIX (BJ004),IRE,,Bay , Gelding,SG,10500,Soughaan,Lost Path,Sovereign Path,27/10/1993,08,HV,Equitrack,1030,GF,6,1,6,S T Wong,K S Lam,30,109,--,1.03.70,083
30,LUCKY DOUBLE SIX (BJ004),IRE,,Bay , Gelding,SG,10500,Soughaan,Lost Path,Sovereign Path,09/06/1993,05,ST,"Turf""B(N)""",1400,Y,5,1,16,S T Wong,W L Ho,99,107,--,1.29.40,489
31,LUCKY DOUBLE SIX (BJ004),IRE,,Bay , Gelding,SG,10500,Soughaan,Lost Path,Sovereign Path,16/05/1993,12,ST,"Turf""B""",1400,G,5,3,16,S T Wong,W L Ho,99,107,--,1.27.60,439
32,LUCKY DOUBLE SIX (BJ004),IRE,,Bay , Gelding,SG,10500,Soughaan,Lost Path,Sovereign Path,27/03/1993,13,ST,"Turf""B""",1400,G,5,10,16,S T Wong,N Tiley,74,116,--,1.27.50,334
33,LUCKY DOUBLE SIX (BJ004),IRE,,Bay , Gelding,SG,10500,Soughaan,Lost Path,Sovereign Path,27/02/1993,11,ST,"Turf""D""",1400,G,5,11,16,S T Wong,W L Ho,99,108,--,1.26.80,277
34,LUCKY DOUBLE SIX (BJ004),IRE,,Bay , Gelding,SG,10500,Soughaan,Lost Path,Sovereign Path,20/01/1993,09,HV,"Turf""B""",1650,GY,5,3,20,S T Wong,W L Ho,99,110,--,1.46.00,197
35,LUCKY DOUBLE SIX (BJ004),IRE,,Bay , Gelding,SG,10500,Soughaan,Lost Path,Sovereign Path,01/01/1993,11,HV,"Turf""A""",1800,G,5,6,24,S T Wong,W L Ho,99,114,--,1.56.70,163
36,LUCKY DOUBLE SIX (BJ004),IRE,,Bay , Gelding,SG,10500,Soughaan,Lost Path,Sovereign Path,17/10/1992,12,ST,"Turf""C""",1400,GF,5,10,27,S T Wong,N Tiley,80,127,--,1.27.50,080
37,LUCKY DOUBLE SIX (BJ004),IRE,,Bay , Gelding,SG,10500,Soughaan,Lost Path,Sovereign Path,27/09/1992,11,ST,"Turf""B(N)""",1600,G,5,13,29,S T Wong,N Tiley,96,129,--,1.39.90,036
38,LUCKY DOUBLE SIX (BJ004),IRE,,Bay , Gelding,SG,10500,Soughaan,Lost Path,Sovereign Path,13/09/1992,10,ST,"Turf""A""",1200,G,5,7,29,S T Wong,N Tiley,93,129,--,1.13.20,006
39,LUCKY DOUBLE SIX (BJ004),IRE,,Bay , Gelding,SG,10500,Soughaan,Lost Path,Sovereign Path,23/05/1992,06,ST,"Turf""B""",1000,Y,GRIFFIN,4,--,S T Wong,N Tiley,99,117,--,1.01.40,460
40,LUCKY DOUBLE SIX (BJ004),IRE,,Bay , Gelding,SG,10500,Soughaan,Lost Path,Sovereign Path,07/03/1992,12,ST,"Turf""B""",1400,Y,GRIFFIN,2,--,S T Wong,N Tiley,99,127,--,1.29.80,327
41,LUCKY DOUBLE SIX (BJ004),IRE,,Bay , Gelding,SG,10500,Soughaan,Lost Path,Sovereign Path,22/02/1992,12,ST,"Turf""C""",1200,G,GRIFFIN,8,--,S T Wong,N Tiley,85,126,--,1.14.90,299
42,LUCKY DOUBLE SIX (BJ004),IRE,,Bay , Gelding,SG,10500,Soughaan,Lost Path,Sovereign Path,06/02/1992,06,ST,"Turf""A""",1200,G,GRIFFIN,1,--,S T Wong,N Tiley,49,126,--,1.14.40,262
43,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,10/06/1998,01,HV,"Turf""B""",1200,Y,5,4,22,G Lane,K S Yu,10,113,1091,1.12.30,598
44,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,13/05/1998,01,HV,"Turf""B+2""",1200,G,6,5,14,G Lane,K S Yu,13,119,1106,1.12.90,539
45,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,01/03/1998,08,ST,"Turf""A""",1400,G,6,3,16,G Lane,E Legrix,25,126,1100,1.25.60,373
46,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,14/02/1998,04,ST,"Turf""C""",1200,GY,6,10,16,G Lane,B Marcus,7.2,122,1095,1.12.90,340
47,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,10/01/1998,06,ST,"Turf""C""",1200,GF,6,7,18,G Lane,B Marcus,8.3,124,1103,1.11.70,267
48,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,06/12/1997,10,ST,AWT,1150,NW,6,1,20,G Lane,B Marcus,4.3,121,1093,1.10.90,199
49,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,08/11/1997,09,ST,"Turf""B(N)""",1000,GF,6,7,20,G Lane,D Harrison,7.7,119,1095,0.59.80,136
50,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,11/06/1997,04,HV,"Turf""C""",1200,G,5,12,27,G Lane,D Whyte,3.8,121,1097,1.13.00,580
51,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,21/05/1997,06,ST,AWT,1150,NW,5,1,27,G Lane,P Strydom,8.1,123,1086,1.08.60,535
52,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,29/03/1997,03,HV,"Turf""B""",1200,G,5,11,26,G Lane,P Strydom,4.4,121,1106,1.13.50,417
53,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,26/02/1997,05,HV,"Turf""C""",1200,G,5,10,28,G Lane,P Strydom,3.7,121,1102,1.13.30,351
54,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,29/01/1997,02,HV,"Turf""C+3""",1000,GF,5,10,26,G Lane,P Strydom,9.9,118,1119,0.59.10,302
55,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,01/01/1997,05,ST,"Turf""C""",1200,GF,5,2,26,G Lane,D Oliver,32,119,--,1.12.00,238
56,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,25/05/1996,08,ST,"Turf""C""",1400,GF,4,6,34,D Cruz,H K Cheung,41,113,--,1.27.10,511
57,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,11/05/1996,11,ST,"Turf""A""",1200,GY,4,7,36,D Cruz,H K Cheung,40,111,--,1.13.30,488
58,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,14/04/1996,14,ST,"Turf""A+2""",1400,G,5,14,38,D Cruz,H K Cheung,78,133,--,1.28.90,427
59,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,06/01/1996,13,ST,"Turf""C""",1600,GF,4,6,38,D Cruz,H K Yim,58,117,--,1.40.10,221
60,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,13/12/1995,04,ST,Equitrack,1150,NW,4,7,38,D Cruz,H K Yim,24,119,--,1.08.70,188
61,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,15/11/1995,08,ST,"Turf""B(N)""",1200,G,4,6,40,D Cruz,P Strydom,16,119,--,1.13.50,127
62,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,13/09/1995,11,ST,"Turf""A+2""",1200,GF,4,9,40,D Cruz,J Fortune,38,119,--,1.12.30,013
63,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,11/06/1995,07,ST,"Turf""A""",1200,Y,4,6,49,D Cruz,P Payne,20,133,--,1.14.70,514
64,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,29/04/1995,07,ST,"Turf""D""",1200,GF,4,11,50,D Cruz,C K Tsang,99,123,--,1.12.40,435
65,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,27/11/1994,12,ST,"Turf""C""",1200,G,4,9,50,D Cruz,A S Cruz,21,130,--,1.14.40,153
66,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,05/11/1994,11,ST,"Turf""B(N)""",1200,GF,4,5,51,D Cruz,A S Cruz,7,131,--,1.12.20,106
67,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,15/10/1994,07,ST,"Turf""C""",1000,F,4,4,52,D Cruz,A S Cruz,10,129,--,0.59.20,073
68,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,24/09/1994,03,ST,"Turf""B""",1200,GY,4,2,50,D Cruz,H K Yim,17,121,--,1.12.20,026
69,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,28/05/1994,10,ST,"Turf""B(N)""",1200,G,3,9,54,D Cruz,A S Cruz,5.1,119,--,1.14.00,506
70,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,30/04/1994,01,ST,"Turf""A(N)""",1200,G,4,10,45,D Cruz,A S Cruz,4.2,128,--,1.12.00,452
71,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,04/12/1993,10,HV,"Turf""A""",1235,G,4,2,45,D Cruz,G Carter,3.4,127,--,1.19.30,165
72,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,13/11/1993,09,ST,"Turf""A""",1400,GF,4,8,45,D Cruz,G Carter,10,125,--,1.25.30,117
73,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,03/10/1993,01,ST,"Turf""B""",1200,G,4,5,38,D Cruz,G Carter,12,118,--,1.11.40,044
74,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,09/06/1993,03,ST,"Turf""B(N)""",1200,S,4,6,46,D Cruz,G Childs,3.1,130,--,1.15.10,491
75,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,22/05/1993,02,ST,"Turf""A(N)""",1200,G,4,1,43,D Cruz,G Childs,6.3,127,--,1.12.70,457
76,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,01/05/1993,06,ST,"Turf""C""",1400,Y,4,6,45,D Cruz,G Childs,23,129,--,1.28.00,412
77,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,30/01/1993,10,ST,"Turf""B(N)""",1400,G,4,2,46,D Cruz,B Marcus,3.4,130,--,1.26.40,216
78,ROCKETEER (BJ005),GB,,Bay , Gelding,SG,1340575,Myjinski,Playtex,Be Friendly,01/01/1993,04,HV,"Turf""A""",975,G,4,3,46,D Cruz,C K Chung,5,125,--,0.58.00,161
