,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,08/04/1998,06,ST,AWT,1800,NW,5,11,39,D Cruz,D Nikolic,34,135,1080,1.54.80,455
1,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,15/03/1998,12,ST,"Turf""C""",1400,G,4,1,41,D Cruz,D Nikolic,54,120,1083,1.27.10,411
2,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,04/02/1998,13,HV,"Turf""B""",1650,G,4,5,43,D Cruz,E Legrix,21,120,1089,1.46.60,321
3,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,07/01/1998,09,HV,"Turf""B+2""",1650,GF,4,6,45,D Cruz,J Weaver,21,122,1080,1.43.50,261
4,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,03/12/1997,09,HV,"Turf""A""",1650,GF,4,14,46,D Cruz,K M Chin,33,121,1060,1.43.90,197
5,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,23/11/1997,12,ST,"Turf""A+2""",1600,GF,4,4,46,D Cruz,B Doyle,10,122,1073,1.37.90,168
6,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,04/11/1997,01,HV,"Turf""A""",1650,GF,4,12,39,D Cruz,B Doyle,12,115,1059,1.42.00,128
7,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,08/10/1997,06,HV,"Turf""C+3""",1200,GF,4,12,40,D Cruz,B Doyle,24,115,1040,1.12.60,072
8,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,20/09/1997,03,ST,"Turf""C""",1400,G,4,4,39,D Cruz,R Fradd,37,114,1031,1.23.80,029
9,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,15/06/1997,12,ST,"Turf""B""",1400,GY,3,13,51,D Cruz,K H Ting,60,113,1042,1.27.20,591
10,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,28/05/1997,09,HV,"Turf""B""",1650,G,4,5,53,D Cruz,C M Au,44,124,1047,1.46.00,554
11,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,07/05/1997,07,HV,"Turf""C+3""",1200,G,3,6,55,D Cruz,C M Au,80,106,1035,1.13.50,502
12,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,27/04/1997,11,ST,"Turf""C""",1600,GF,3,5,57,D Cruz,H K Cheung,42,118,1045,1.38.90,483
13,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,29/03/1997,08,HV,"Turf""B""",2200,G,3,1,59,D Cruz,P Strydom,40,122,1030,2.22.30,415
14,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,01/03/1997,08,ST,"Turf""A+2(N)""",1400,GF,3,11,61,D Cruz,P Strydom,13,121,1032,1.24.20,360
15,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,15/02/1997,07,ST,"Turf""D""",1600,GY,3,8,63,D Cruz,P Strydom,9.8,127,1032,1.38.90,328
16,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,22/01/1997,03,HV,"Turf""B+2""",1200,GF,3,4,63,D Cruz,P Strydom,19,126,--,1.12.00,286
17,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,30/11/1996,06,HV,"Turf""A""",1800,GF,3,6,65,D A Hayes,D Oliver,8.4,127,--,1.53.20,187
18,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,23/10/1996,06,ST,AWT,1650,NW,3,11,67,D A Hayes,D Oliver,7.4,128,--,1.44.20,105
19,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,25/09/1996,05,HV,"Turf""B+2""",1650,G,3,10,68,D A Hayes,D Oliver,21,128,--,1.44.10,046
20,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,14/09/1996,10,ST,"Turf""B(N)""",1600,Y,2,4,68,D A Hayes,P Strydom,15,115,--,1.39.60,022
21,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,08/05/1996,06,HV,"Turf""B+2""",1800,G,3,1,72,D A Hayes,S M Tam,21,131,--,1.53.60,483
22,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,24/04/1996,06,HV,"Turf""B""",2200,G,1&2,7,72,D A Hayes,C H Ko,47,106,--,2.20.10,447
23,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,10/04/1996,11,HV,"Turf""A""",2200,G,2&3,7,74,D A Hayes,B Marcus,11,137,--,2.24.50,419
24,FUN AND SMILE (BK003),GB,,Bay , Gelding,SG,2293871,Petoski,Florentynna Bay,Aragon,23/03/1996,05,ST,"Turf""A""",1800,GY,2,4,74,D A Hayes,C H Ko,67,111,--,1.50.70,388
