,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,MALAYAN TREASURE (BL003),GB,,Bay , Gelding,SG,261191,Primo Dominie,Snub,Steel Heart,05/03/1997,11,ST,AWT,1150,NW,6,13,13,T K Ng,H K Yim,6.6,126,1083,1.13.00,368
1,MALAYAN TREASURE (BL003),GB,,Bay , Gelding,SG,261191,Primo Dominie,Snub,Steel Heart,18/12/1996,04,HV,"Turf""C+3""",1000,G,6,7,13,T K Ng,H K Yim,29,121,--,0.59.60,221
2,MALAYAN TREASURE (BL003),GB,,Bay , Gelding,SG,261191,Primo Dominie,Snub,Steel Heart,19/10/1996,10,HV,"Turf""B""",1200,G,6,10,13,T K Ng,P Strydom,14,121,--,1.13.20,094
3,MALAYAN TREASURE (BL003),GB,,Bay , Gelding,SG,261191,Primo Dominie,Snub,Steel Heart,25/05/1996,07,ST,"Turf""C""",1200,GF,6,6,19,T K Ng,W M Lai,30,128,--,1.14.20,509
4,MALAYAN TREASURE (BL003),GB,,Bay , Gelding,SG,261191,Primo Dominie,Snub,Steel Heart,02/03/1996,12,ST,"Turf""B""",1200,G,6,6,20,T K Ng,A Munro,14,133,--,1.14.50,334
5,MALAYAN TREASURE (BL003),GB,,Bay , Gelding,SG,261191,Primo Dominie,Snub,Steel Heart,10/02/1996,08,HV,"Turf""A""",1200,GF,6,12,20,T K Ng,H K Yim,16,133,--,1.13.40,292
6,MALAYAN TREASURE (BL003),GB,,Bay , Gelding,SG,261191,Primo Dominie,Snub,Steel Heart,24/01/1996,01,ST,Equitrack,1150,NW,6,7,10,T K Ng,H K Yim,16,123,--,1.09.00,255
7,MALAYAN TREASURE (BL003),GB,,Bay , Gelding,SG,261191,Primo Dominie,Snub,Steel Heart,06/01/1996,08,ST,"Turf""C""",1200,GF,6,2,12,T K Ng,F Coetzee,12,126,--,1.13.40,214
8,MALAYAN TREASURE (BL003),GB,,Bay , Gelding,SG,261191,Primo Dominie,Snub,Steel Heart,02/12/1995,04,HV,"Turf""B""",1000,GF,6,3,12,T K Ng,H K Yim,8.6,122,--,0.59.20,161
9,MALAYAN TREASURE (BL003),GB,,Bay , Gelding,SG,261191,Primo Dominie,Snub,Steel Heart,25/10/1995,05,ST,Equitrack,1150,NW,6,13,13,T K Ng,H K Yim,52,121,--,1.09.10,095
