,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,SHINNECOCK HILLS (BN003),AUS,,Bay , Gelding,PP,2654527,Danehill,Break Dancer,Three Legs,03/03/1999,04,ST,AWT,1650,NW,2,7,80,D Hill,F Coetzee,7.9,125,1027,1.42.80,385
1,SHINNECOCK HILLS (BN003),AUS,,Bay , Gelding,PP,2654527,Danehill,Break Dancer,Three Legs,19/12/1998,09,ST,"Turf""C""",1600,GY,1&2,3,82,D Hill,F Coetzee,17,125,1030,1.37.10,245
2,SHINNECOCK HILLS (BN003),AUS,,Bay , Gelding,PP,2654527,Danehill,Break Dancer,Three Legs,18/11/1998,02,ST,AWT,1650,NW,2,13,80,D Hill,F Coetzee,21,127,1028,1.43.10,169
3,SHINNECOCK HILLS (BN003),AUS,,Bay , Gelding,PP,2654527,Danehill,Break Dancer,Three Legs,31/10/1998,10,HV,"Turf""A""",1650,GF,1&2,13,82,D Hill,F Coetzee,20,119,1026,1.42.20,129
4,SHINNECOCK HILLS (BN003),AUS,,Bay , Gelding,PP,2654527,Danehill,Break Dancer,Three Legs,17/10/1998,04,ST,"Turf""C+3""",1400,F,1&2,13,82,D Hill,F Coetzee,11,125,1018,1.22.40,104
5,SHINNECOCK HILLS (BN003),AUS,,Bay , Gelding,PP,2654527,Danehill,Break Dancer,Three Legs,06/09/1998,08,ST,"Turf""A(N)""",1400,Y,2,13,82,D Hill,F Coetzee,33,127,1032,1.25.20,009
6,SHINNECOCK HILLS (BN003),AUS,,Bay , Gelding,PP,2654527,Danehill,Break Dancer,Three Legs,14/06/1998,11,ST,"Turf""B""",1800,GF,1&2,3,91,D A Hayes,Y S Wong,24,129,1039,1.50.50,613
7,SHINNECOCK HILLS (BN003),AUS,,Bay , Gelding,PP,2654527,Danehill,Break Dancer,Three Legs,06/06/1998,06,ST,"Turf""A(N)""",1400,GY,1&2,7,93,D A Hayes,D Nikolic,16,132,1045,1.24.90,595
8,SHINNECOCK HILLS (BN003),AUS,,Bay , Gelding,PP,2654527,Danehill,Break Dancer,Three Legs,16/05/1998,08,ST,"Turf""B+2""",1400,GF,1&2,10,95,D A Hayes,B Marcus,13,115,1043,1.23.10,547
9,SHINNECOCK HILLS (BN003),AUS,,Bay , Gelding,PP,2654527,Danehill,Break Dancer,Three Legs,15/04/1998,10,HV,"Turf""C""",1200,G,1,7,97,D A Hayes,D Nikolic,23,129,1050,1.12.00,476
