,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,16/06/2002,06,ST,"Turf""A""",1800,Y,3,3,63,A T Millard,B Fayd'herbe,20,124,1005,1.52.40,671
1,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,29/05/2002,03,ST,"Turf""A""",1600,G,3,6,61,A T Millard,B Fayd'herbe,99,128,1006,1.37.40,629
2,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,19/05/2002,12,ST,"Turf""B""",1800,S,3,11,63,A T Millard,D Whyte,22,131,1005,1.57.70,603
3,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,06/04/2002,06,HV,"Turf""B""",1800,G,3,11,65,A T Millard,K K Lai,99,111,1004,1.52.20,494
4,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,24/03/2002,07,ST,"Turf""C+3""",1600,S,3,11,67,A T Millard,D Whyte,69,129,1007,1.42.20,465
5,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,23/01/2002,08,HV,"Turf""A""",1650,G,3,12,68,A T Millard,M W Leung,99,124,1013,1.43.10,325
6,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,12/01/2002,14,ST,"Turf""C+3""",1600,G,3,13,69,A T Millard,F Coetzee,99,129,1028,1.37.60,298
7,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,12/12/2001,08,HV,"Turf""A""",1800,G,2,6,70,A T Millard,F Coetzee,32,120,1030,1.52.80,236
8,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,05/12/2001,13,ST,AWT,1800,FT,3,9,70,A T Millard,R Fradd,27,133,1019,1.52.20,219
9,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,21/11/2001,06,HV,"Turf""B""",1800,GF,2,6,70,A T Millard,A Marcus,13,115,1024,1.51.40,185
10,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,27/10/2001,07,HV,"Turf""B""",1800,GF,2,3,70,A T Millard,R Fradd,6,121,1008,1.50.80,126
11,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,01/10/2001,02,ST,"Turf""A""",1800,GF,3,8,59,A T Millard,J Egan,10,127,1011,1.48.70,070
12,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,26/09/2001,01,HV,"Turf""C+3""",1650,GF,3,11,59,A T Millard,R Fradd,14,122,1012,1.42.90,061
13,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,17/06/2001,01,ST,"Turf""A""",1800,G,3,6,48,A T Millard,R Fradd,5.5,115,989,1.49.90,663
14,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,13/06/2001,03,HV,"Turf""A""",1800,S,4,8,48,A T Millard,R Fradd,4.8,133,1025,1.53.70,653
15,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,06/05/2001,01,ST,"Turf""C""",1800,GF,4,5,42,A T Millard,R Fradd,5.4,127,1005,1.49.40,567
16,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,18/04/2001,01,HV,"Turf""C""",1800,G,4,1,34,A T Millard,D Whyte,4.3,120,1000,1.53.00,523
17,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,21/03/2001,08,HV,"Turf""C+3""",1800,GF,4,11,36,A T Millard,F Coetzee,5.5,120,1009,1.52.00,460
18,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,06/01/2001,08,ST,"Turf""C+3""",1800,GF,4,2,39,B Hutchison,C Brown,24,123,1002,1.50.50,295
19,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,02/12/2000,05,ST,"Turf""C+3""",2000,GF,4,3,40,B Hutchison,C Brown,19,127,990,2.05.10,217
20,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,04/11/2000,08,ST,"Turf""C+3""",2000,GF,4,1,42,B Hutchison,C Brown,22,125,995,2.04.90,150
21,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,14/10/2000,06,ST,"Turf""A""",1800,GY,4,4,43,B Hutchison,E Saint-Martin,13,120,991,1.51.30,107
22,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,27/09/2000,05,HV,"Turf""C""",1650,GF,4,1,45,B Hutchison,D Whyte,5.1,123,987,1.41.00,064
23,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,17/09/2000,07,ST,"Turf""C+3""",1800,GF,4,12,47,B Hutchison,D Whyte,8.4,133,992,1.50.00,041
24,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,06/09/2000,08,HV,"Turf""A""",1650,G,3,5,47,B Hutchison,D Whyte,5.8,123,988,1.43.30,015
25,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,21/06/2000,06,HV,"Turf""B""",1800,G,4,11,55,B Hutchison,D Whyte,4.6,132,993,1.52.40,647
26,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,31/05/2000,03,HV,"Turf""C""",1650,GF,4,12,54,B Hutchison,D Whyte,10,129,992,1.41.80,595
27,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,13/05/2000,06,ST,"Turf""B""",2000,GF,3&4,6,56,B Hutchison,C Brown,11,126,984,2.04.40,560
28,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,07/05/2000,07,ST,"Turf""A""",1600,GF,3,12,58,B Hutchison,C Brown,39,120,998,1.37.30,545
29,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,16/04/2000,10,ST,"Turf""A""",1400,GF,3,5,58,B Hutchison,C Brown,34,116,1009,1.23.20,502
30,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,06/11/1999,05,ST,"Turf""B""",1800,GF,3,13,59,B Hutchison,D Whyte,22,120,983,1.48.70,140
31,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,03/10/1999,04,HV,"Turf""A""",1800,G,3,9,59,B Hutchison,D Whyte,6.1,116,986,1.52.60,067
32,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,22/09/1999,01,HV,"Turf""C+3""",1800,GF,4,7,53,B Hutchison,D Whyte,3.4,129,988,1.52.20,047
33,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,05/09/1999,03,ST,"Turf""A""",1400,G,4,12,52,B Hutchison,D Whyte,5.9,128,984,1.24.70,006
34,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,05/06/1999,08,ST,"Turf""A""",1800,GF,3,13,62,B Hutchison,D Whyte,10,122,981,1.49.90,595
35,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,10/04/1999,06,HV,"Turf""B+3""",1800,GF,3,8,64,B Hutchison,D Whyte,4.8,127,988,1.52.30,476
36,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,31/03/1999,06,HV,"Turf""C+3""",1800,GF,3,7,64,B Hutchison,D Whyte,4.1,128,999,1.52.10,446
37,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,07/03/1999,11,ST,"Turf""A""",2000,GF,2&3,10,66,B Hutchison,B Doyle,12,122,997,2.04.00,392
38,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,18/02/1999,02,ST,"Turf""B+2""",2000,GF,3,1,63,B Hutchison,K Fallon,11,125,1002,2.05.20,355
39,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,03/02/1999,12,ST,"Turf""C+3""",1600,GF,1&2,7,65,B Hutchison,K C Tsang,11,106,1006,1.35.90,328
40,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,09/01/1999,11,ST,"Turf""C""",1800,GF,1&2,6,67,B Hutchison,S King,13,115,995,1.49.90,267
41,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,16/12/1998,03,HV,"Turf""C+3""",1800,GF,2,4,67,B Hutchison,S King,6.2,114,989,1.52.20,231
42,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,05/12/1998,09,HV,"Turf""A""",1800,GF,3,12,69,B Hutchison,S King,10,131,987,1.52.00,208
43,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,11/11/1998,03,HV,"Turf""B""",1800,GF,2,7,69,B Hutchison,D Whyte,5,117,987,1.50.70,155
44,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,31/10/1998,03,HV,"Turf""A""",1650,GF,1&2,6,68,B Hutchison,S King,6.8,116,980,1.42.70,127
45,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,01/10/1998,06,ST,"Turf""A""",1400,F,1&2,10,69,B Hutchison,S King,31,114,996,1.23.00,061
46,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,16/09/1998,07,HV,"Turf""B+2""",1200,GF,2,7,69,B Hutchison,S King,17,113,996,1.11.50,027
47,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,14/06/1998,10,ST,"Turf""B""",1800,GF,1&2,13,78,B Hutchison,B Marcus,5.5,121,982,1.50.30,613
48,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,03/05/1998,02,ST,"Turf""A(N)""",1900,Y,2,3,75,B Hutchison,G Boss,6,118,967,1.59.10,518
49,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,11/03/1998,02,ST,"Turf""B(N)""",2000,G,2&3,2,72,B Hutchison,B Marcus,6.2,124,981,2.04.50,403
50,ASPIRATION (BP003),IRE,,Bay , Horse,PP,3922890,Danehill,Angor,Lorenzaccio,11/02/1998,02,HV,"Turf""C""",1800,GF,1&2,8,70,B Hutchison,S King,5.2,115,990,1.50.70,337
