,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,YOYO EXPRESS (BT003),IRE,,Bay , Gelding,PPG,77205,Bluebird,That's Swiss,Thatching,22/03/2000,12,ST,"Turf""C+3""",1600,GF,5,14,34,K W Lui,E Legrix,19,126,1102,1.37.90,445
1,YOYO EXPRESS (BT003),IRE,,Bay , Gelding,PPG,77205,Bluebird,That's Swiss,Thatching,12/02/2000,12,ST,"Turf""A""",1400,GF,5,13,37,K W Lui,S K Sit,33,127,1113,1.26.00,350
2,YOYO EXPRESS (BT003),IRE,,Bay , Gelding,PPG,77205,Bluebird,That's Swiss,Thatching,08/01/2000,09,ST,"Turf""C+3""",1400,GF,5,11,37,K W Lui,S K Sit,20,123,1117,1.24.40,275
3,YOYO EXPRESS (BT003),IRE,,Bay , Gelding,PPG,77205,Bluebird,That's Swiss,Thatching,05/06/1999,03,ST,"Turf""A""",1400,GF,5,10,40,I W Allan,D Whyte,3.6,137,1117,1.24.70,593
4,YOYO EXPRESS (BT003),IRE,,Bay , Gelding,PPG,77205,Bluebird,That's Swiss,Thatching,23/05/1999,05,ST,"Turf""C""",1200,GF,4,1,40,I W Allan,D Whyte,8.4,116,1128,1.10.20,559
5,YOYO EXPRESS (BT003),IRE,,Bay , Gelding,PPG,77205,Bluebird,That's Swiss,Thatching,31/03/1999,11,HV,"Turf""C+3""",1000,GF,4,8,43,I W Allan,D Whyte,27,120,1131,0.59.90,448
6,YOYO EXPRESS (BT003),IRE,,Bay , Gelding,PPG,77205,Bluebird,That's Swiss,Thatching,13/03/1999,11,ST,"Turf""B(N)""",1400,G,4,5,45,I W Allan,D Whyte,9.6,118,1126,1.24.80,408
7,YOYO EXPRESS (BT003),IRE,,Bay , Gelding,PPG,77205,Bluebird,That's Swiss,Thatching,21/02/1999,07,HV,"Turf""A""",1000,GF,4,10,47,I W Allan,D Whyte,14,124,1148,0.59.20,356
8,YOYO EXPRESS (BT003),IRE,,Bay , Gelding,PPG,77205,Bluebird,That's Swiss,Thatching,20/01/1999,07,HV,"Turf""B""",1000,GF,4,8,49,I W Allan,D Whyte,32,126,1147,0.58.70,290
9,YOYO EXPRESS (BT003),IRE,,Bay , Gelding,PPG,77205,Bluebird,That's Swiss,Thatching,06/01/1999,07,HV,"Turf""A""",1200,GF,4,8,51,I W Allan,D Lee,99,128,1149,1.11.50,256
10,YOYO EXPRESS (BT003),IRE,,Bay , Gelding,PPG,77205,Bluebird,That's Swiss,Thatching,11/11/1998,09,HV,"Turf""B""",1200,GF,4,8,51,I W Allan,D Lee,99,122,1141,1.12.40,150
11,CONCERT STAR (BT004),USA,,Bay , Gelding,PPG,841600,Dehere,Minett,Fappiano,28/02/2001,WV,HV,"Turf""C""",1200,G,2,--,69,A S Cruz,C H Tse,--,117,--,--,419
12,CONCERT STAR (BT004),USA,,Bay , Gelding,PPG,841600,Dehere,Minett,Fappiano,07/02/2001,07,ST,AWT,1150,GD,3,4,71,A S Cruz,C H Tse,17,129,1253,1.08.00,366
13,CONCERT STAR (BT004),USA,,Bay , Gelding,PPG,841600,Dehere,Minett,Fappiano,10/01/2001,11,HV,"Turf""A""",1650,GF,2,4,73,A S Cruz,F Coetzee,7.7,129,1239,1.43.60,308
14,CONCERT STAR (BT004),USA,,Bay , Gelding,PPG,841600,Dehere,Minett,Fappiano,06/12/2000,07,ST,AWT,1650,GD,2,7,75,A S Cruz,F Coetzee,4.6,123,1251,1.42.40,228
