,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,BRILLIANT YEARS (BV003),IRE,,Bay , Gelding,PPG,0,Bering,Aste Nagusia,Storm Bird,08/12/1999,FE,HV,"Turf""B+2""",1650,GF,4,10,52,I W Allan,D Whyte,32,131,1113,--,209
1,BRILLIANT YEARS (BV003),IRE,,Bay , Gelding,PPG,0,Bering,Aste Nagusia,Storm Bird,21/11/1999,12,ST,"Turf""A+2""",1000,GF,3,1,54,I W Allan,A Munro,46,116,1131,0.59.10,171
2,BRILLIANT YEARS (BV003),IRE,,Bay , Gelding,PPG,0,Bering,Aste Nagusia,Storm Bird,16/10/1999,14,ST,"Turf""C""",1400,GF,4,14,54,I W Allan,K S Yu,85,128,1129,1.24.90,092
3,TRUSTY STEED (BV004),GB,,Bay , Gelding,PPG,19705,Brief Truce,Shimmering,Royal Academy,27/02/2002,12,HV,"Turf""A""",2200,G,5,10,16,T P Wong,M W Leung,99,106,1161,--,398
4,TRUSTY STEED (BV004),GB,,Bay , Gelding,PPG,19705,Brief Truce,Shimmering,Royal Academy,05/01/2002,14,ST,AWT,1650,FT,5,2,19,T P Wong,K H Ting,74,116,1159,1.45.00,276
5,TRUSTY STEED (BV004),GB,,Bay , Gelding,PPG,19705,Brief Truce,Shimmering,Royal Academy,18/11/2001,12,ST,"Turf""A""",1600,GF,5,11,21,T P Wong,K H Ting,23,115,1154,1.38.00,170
6,TRUSTY STEED (BV004),GB,,Bay , Gelding,PPG,19705,Brief Truce,Shimmering,Royal Academy,10/11/2001,09,ST,"Turf""C""",1400,GF,5,10,22,T P Wong,R Fradd,20,117,1155,1.24.30,154
7,TRUSTY STEED (BV004),GB,,Bay , Gelding,PPG,19705,Brief Truce,Shimmering,Royal Academy,21/10/2001,08,ST,"Turf""A""",1000,GF,5,5,23,T P Wong,R Fradd,84,118,1160,0.59.10,109
8,TRUSTY STEED (BV004),GB,,Bay , Gelding,PPG,19705,Brief Truce,Shimmering,Royal Academy,10/10/2001,12,HV,"Turf""A""",1200,GF,5,12,28,T P Wong,K S Yu,99,119,1164,1.13.20,086
9,TRUSTY STEED (BV004),GB,,Bay , Gelding,PPG,19705,Brief Truce,Shimmering,Royal Academy,22/09/2001,13,ST,"Turf""C+3""",1400,GF,5,4,30,T P Wong,K S Yu,99,121,1156,1.25.40,053
10,TRUSTY STEED (BV004),GB,,Bay , Gelding,PPG,19705,Brief Truce,Shimmering,Royal Academy,02/12/2000,12,ST,"Turf""C+3""",1200,GF,4,4,40,T P Wong,K S Yu,84,124,1130,--,214
11,TRUSTY STEED (BV004),GB,,Bay , Gelding,PPG,19705,Brief Truce,Shimmering,Royal Academy,15/11/2000,13,HV,"Turf""B""",1000,GF,4,3,42,T P Wong,C Brown,99,123,1130,1.00.40,176
12,TRUSTY STEED (BV004),GB,,Bay , Gelding,PPG,19705,Brief Truce,Shimmering,Royal Academy,20/02/2000,11,ST,"Turf""C""",1000,G,GRIFFIN,4,--,T P Wong,D Whyte,9.6,125,1130,0.59.00,363
13,TRUSTY STEED (BV004),GB,,Bay , Gelding,PPG,19705,Brief Truce,Shimmering,Royal Academy,29/01/2000,05,ST,"Turf""B""",1000,GF,GRIFFIN,2,--,T P Wong,K S Yu,8.8,125,1116,0.59.70,321
14,TRUSTY STEED (BV004),GB,,Bay , Gelding,PPG,19705,Brief Truce,Shimmering,Royal Academy,15/01/2000,09,ST,"Turf""B+2""",1200,GF,GRIFFIN,6,--,T P Wong,C W Mok,11,118,1112,1.13.00,287
15,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,01/02/2004,07,ST,"Turf""C""",1000,GF,3YO+,2,117,J Size,S Dye,15,126,1125,0.57.90,366
16,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,23/02/2003,01,ST,"Turf""B""",1200,GF,P,4,112,J Size,S Dye,4.3,123,1094,1.08.70,413
17,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,03/02/2003,01,ST,"Turf""B""",1400,GF,P,12,105,J Size,S Dye,2.4,114,1097,1.22.00,364
18,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,19/01/2003,03,ST,"Turf""A""",1400,GF,1,4,102,J Size,S Dye,2.1,128,1089,1.22.80,336
19,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,01/01/2003,01,ST,"Turf""A+2""",1400,GF,1,3,94,J Size,S Dye,3.3,116,1095,1.22.60,295
20,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,16/11/2002,01,ST,"Turf""A+2""",1400,GY,2,11,84,J Size,S Dye,3.7,126,1083,1.22.80,184
21,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,16/06/2002,02,ST,"Turf""A""",1400,Y,2,8,83,J Size,S Dye,12,128,1050,1.24.30,674
22,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,01/06/2002,05,ST,"Turf""B+2""",1400,G,2,2,83,J Size,S Dye,4.5,126,1053,1.23.90,641
23,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,19/05/2002,01,ST,"Turf""B""",1400,H,2,2,75,J Size,S Dye,2.6,126,1046,1.27.70,606
24,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,27/04/2002,01,ST,AWT,1650,FT,3,3,69,J Size,S Dye,3.4,127,1042,1.40.50,551
25,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,13/04/2002,01,ST,"Turf""C+3""",1400,G,3,13,64,J Size,S Dye,1.9,128,1051,1.23.00,515
26,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,30/03/2002,01,ST,"Turf""B""",1400,Y,4,4,53,J Size,S Dye,3,125,1051,1.24.20,476
27,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,10/11/2001,14,ST,"Turf""C""",1800,GF,4,7,53,K C Lo,H K Yim,7.9,128,1044,1.51.40,156
28,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,22/09/2001,02,ST,"Turf""C+3""",1800,GF,4,11,52,K C Lo,H K Yim,28,131,1022,1.49.60,052
29,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,08/09/2001,12,ST,"Turf""B""",1400,GF,4,11,52,K C Lo,H K Yim,8.8,128,1022,1.25.40,023
30,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,02/09/2001,03,ST,"Turf""A""",1400,Y,4,7,50,K C Lo,H K Yim,13,126,1031,1.23.80,003
31,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,30/05/2001,08,ST,"Turf""B+2""",1400,Y,3,13,54,K C Lo,H K Yim,24,118,1000,1.25.70,619
32,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,20/05/2001,07,ST,"Turf""A""",1600,G,3,12,55,K C Lo,E Saint-Martin,25,117,1011,1.37.30,592
33,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,12/05/2001,05,ST,"Turf""C+3""",1400,GF,3,8,55,K C Lo,E Saint-Martin,12,117,1009,1.23.40,583
34,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,22/04/2001,08,ST,"Turf""A""",1400,GY,3,14,55,K C Lo,W C Marwing,10,119,1013,1.24.90,532
35,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,25/03/2001,02,ST,"Turf""A""",1400,GY,4,3,52,K C Lo,K S Yu,19,128,1022,1.25.40,466
36,CENTURY STAR (BV005),GB,,Bay , Gelding,PPG,6753835,Exit To Nowhere,Nonpareil,Pharly,10/02/2001,04,ST,"Turf""A""",1400,GF,4,5,54,K C Lo,Y T Cheng,8.2,128,1021,1.23.90,371
