,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,FULL OF BEAUTY (C003),AUS,,Bay , Gelding,PPG,9539000,Darci Brahma,Pennacchio,Align,26/04/2020,09,ST,"Turf""A""",1200,G,G1,6,120,J Size,C Schofield,85,126,1155,1.08.90,606
1,FULL OF BEAUTY (C003),AUS,,Bay , Gelding,PPG,9539000,Darci Brahma,Pennacchio,Align,05/04/2020,07,ST,"Turf""B+2""",1200,G,G2,6,122,J Size,C Schofield,46,123,1156,1.10.15,551
2,FULL OF BEAUTY (C003),AUS,,Bay , Gelding,PPG,9539000,Darci Brahma,Pennacchio,Align,08/03/2020,06,ST,"Turf""C""",1200,G,1,1,123,J Size,C Schofield,19,131,1167,1.09.03,475
3,FULL OF BEAUTY (C003),AUS,,Bay , Gelding,PPG,9539000,Darci Brahma,Pennacchio,Align,19/01/2020,06,ST,"Turf""A+3""",1200,G,G1,6,123,J Size,Z Purton,8.5,126,1165,1.08.97,348
4,FULL OF BEAUTY (C003),AUS,,Bay , Gelding,PPG,9539000,Darci Brahma,Pennacchio,Align,08/12/2019,05,ST,"Turf""A""",1200,G,G1,4,116,J Size,C Y Ho,23,126,1153,1.08.32,231
5,FULL OF BEAUTY (C003),AUS,,Bay , Gelding,PPG,9539000,Darci Brahma,Pennacchio,Align,17/11/2019,04,ST,"Turf""B""",1200,GF,G2,14,113,J Size,C Y Ho,30,123,1175,1.08.16,177
6,FULL OF BEAUTY (C003),AUS,,Bay , Gelding,PPG,9539000,Darci Brahma,Pennacchio,Align,20/10/2019,02,ST,"Turf""A""",1200,GF,G2,3,111,J Size,J Moreira,2.3,120,1164,1.08.85,107
7,FULL OF BEAUTY (C003),AUS,,Bay , Gelding,PPG,9539000,Darci Brahma,Pennacchio,Align,01/10/2019,01,ST,"Turf""A+3""",1000,GF,G3,1,103,J Size,J Moreira,2.4,115,1163,0.55.16,060
8,FULL OF BEAUTY (C003),AUS,,Bay , Gelding,PPG,9539000,Darci Brahma,Pennacchio,Align,26/05/2019,04,ST,"Turf""A""",1200,GY,G3,9,103,J Size,J Moreira,1.9,116,1153,1.09.16,689
9,FULL OF BEAUTY (C003),AUS,,Bay , Gelding,PPG,9539000,Darci Brahma,Pennacchio,Align,28/04/2019,02,ST,"Turf""A""",1200,G,2,4,101,J Size,J Moreira,2,130,1148,1.08.84,620
10,FULL OF BEAUTY (C003),AUS,,Bay , Gelding,PPG,9539000,Darci Brahma,Pennacchio,Align,07/04/2019,02,ST,"Turf""B+2""",1200,GF,2,2,97,J Size,J Moreira,1.5,126,1165,1.08.45,563
11,FULL OF BEAUTY (C003),AUS,,Bay , Gelding,PPG,9539000,Darci Brahma,Pennacchio,Align,17/03/2019,01,ST,"Turf""A""",1200,G,2,10,89,J Size,J Moreira,1.3,126,1157,1.09.22,503
12,FULL OF BEAUTY (C003),AUS,,Bay , Gelding,PPG,9539000,Darci Brahma,Pennacchio,Align,24/02/2019,01,ST,"Turf""B+2""",1200,G,3,5,78,J Size,Z Purton,1.2,131,1139,1.09.49,450
13,FULL OF BEAUTY (C003),AUS,,Bay , Gelding,PPG,9539000,Darci Brahma,Pennacchio,Align,07/02/2019,01,ST,"Turf""C+3""",1200,G,3,11,68,J Size,J Moreira,1.8,121,1153,1.09.46,400
14,FULL OF BEAUTY (C003),AUS,,Bay , Gelding,PPG,9539000,Darci Brahma,Pennacchio,Align,20/01/2019,01,ST,"Turf""A+3""",1200,GF,4,11,58,J Size,J Moreira,2.4,127,1163,1.09.54,351
15,FULL OF BEAUTY (C003),AUS,,Bay , Gelding,PPG,9539000,Darci Brahma,Pennacchio,Align,01/01/2019,01,ST,"Turf""C""",1200,G,4,4,52,J Size,J Moreira,2.5,125,1176,1.09.88,304
16,WHAT A LEGEND (C004),AUS,5,Brown , Gelding,PPG,1645330,Duporth,What An Impact,More Than Ready,29/04/20,06,HV,"Turf""A""",1200,GF,3,5,64,K H Ting,C Schofield,9.2,117,1067,1.10.10,620
