,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,FIRST A COUNT (CA003),AUS,,Grey , Gelding,PPG,324900,Bletcharm,Swalk,Godswalk,14/01/2001,01,ST,"Turf""A""",1200,GF,4,6,49,D Hill,C Brown,7.9,129,1073,1.10.30,310
1,CHIEF IVOR (CA004),AUS,,Chestnut , Gelding,PPG,1911850,Chief's Crown,Tristram's Pet,Sir Tristram,13/11/2002,05,ST,AWT,1200,FT,3,4,75,J Moore,M W Leung,4.3,128,1176,1.10.40,176
2,CHIEF IVOR (CA004),AUS,,Chestnut , Gelding,PPG,1911850,Chief's Crown,Tristram's Pet,Sir Tristram,20/10/2002,11,ST,"Turf""C+3""",1400,GF,3,10,75,J Moore,A Marcus,3.1,133,1173,1.24.10,115
3,CHIEF IVOR (CA004),AUS,,Chestnut , Gelding,PPG,1911850,Chief's Crown,Tristram's Pet,Sir Tristram,01/10/2002,05,ST,"Turf""A""",1400,GF,3,13,75,J Moore,A Marcus,5.1,130,1168,1.23.80,070
4,CHIEF IVOR (CA004),AUS,,Chestnut , Gelding,PPG,1911850,Chief's Crown,Tristram's Pet,Sir Tristram,05/06/2002,01,ST,AWT,1200,FT,2,5,70,J Moore,A Marcus,4.1,123,1165,1.09.30,647
5,CHIEF IVOR (CA004),AUS,,Chestnut , Gelding,PPG,1911850,Chief's Crown,Tristram's Pet,Sir Tristram,22/05/2002,01,HV,"Turf""C+3""",1650,Y,3,6,63,J Moore,A Marcus,3.8,126,1181,1.45.70,614
6,CHIEF IVOR (CA004),AUS,,Chestnut , Gelding,PPG,1911850,Chief's Crown,Tristram's Pet,Sir Tristram,01/05/2002,02,ST,"Turf""C""",1400,G,3,9,62,J Moore,A Marcus,5.8,125,1190,1.24.30,559
7,CHIEF IVOR (CA004),AUS,,Chestnut , Gelding,PPG,1911850,Chief's Crown,Tristram's Pet,Sir Tristram,13/04/2002,05,ST,AWT,1200,FT,3,4,62,J Moore,M Cahill,8.2,123,1208,1.09.40,514
8,CHIEF IVOR (CA004),AUS,,Chestnut , Gelding,PPG,1911850,Chief's Crown,Tristram's Pet,Sir Tristram,17/10/2001,01,ST,"Turf""C+3""",1400,GF,4,3,55,J Moore,A Marcus,3.2,129,1171,1.23.20,105
9,CHIEF IVOR (CA004),AUS,,Chestnut , Gelding,PPG,1911850,Chief's Crown,Tristram's Pet,Sir Tristram,07/02/2001,01,ST,"Turf""C+3""",1400,GF,4,1,51,J Moore,J Egan,5.2,125,1158,1.23.50,367
10,CHIEF IVOR (CA004),AUS,,Chestnut , Gelding,PPG,1911850,Chief's Crown,Tristram's Pet,Sir Tristram,14/01/2001,03,ST,"Turf""A""",1200,GF,4,1,49,J Moore,J Egan,2.7,129,1171,1.10.70,310
11,SMILEY WIN (CA005),AUS,,Brown , Gelding,PPG,1273250,Clay Hero,Cinquefoilette,Canny Lad,02/03/2005,WV,HV,"Turf""A""",1200,GY,5,--,24,D Hill,C Williams,--,114,--,--,429
12,SMILEY WIN (CA005),AUS,,Brown , Gelding,PPG,1273250,Clay Hero,Cinquefoilette,Canny Lad,26/01/2005,09,ST,"Turf""B+2""",1200,G,5,8,26,D Hill,D Holland,35,118,1191,1.11.70,347
13,SMILEY WIN (CA005),AUS,,Brown , Gelding,PPG,1273250,Clay Hero,Cinquefoilette,Canny Lad,08/12/2004,04,HV,"Turf""A""",1200,G,5,10,28,D Hill,F Coetzee,15,119,1185,1.10.80,230
14,SMILEY WIN (CA005),AUS,,Brown , Gelding,PPG,1273250,Clay Hero,Cinquefoilette,Canny Lad,27/10/2004,08,HV,"Turf""C""",1000,GF,5,2,30,D Hill,P H Lo,11,112,1171,0.58.90,123
15,SMILEY WIN (CA005),AUS,,Brown , Gelding,PPG,1273250,Clay Hero,Cinquefoilette,Canny Lad,11/09/2004,07,ST,"Turf""A+3""",1200,GF,5,6,30,D Hill,P H Lo,46,112,1213,1.11.00,019
16,SMILEY WIN (CA005),AUS,,Brown , Gelding,PPG,1273250,Clay Hero,Cinquefoilette,Canny Lad,09/06/2004,04,HV,"Turf""C""",1200,GF,5,8,32,D Hill,C Williams,15,121,1207,1.11.60,664
