,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,DANAMITE (CB003),NZ,,Bay , Gelding,PP,1356000,Danasinga,Imposing Choice,Imposing,12/06/2004,10,ST,"Turf""C+3""",1800,GF,2,3,88,D Hill,J Holder,24,130,1133,1.49.30,678
1,DANAMITE (CB003),NZ,,Bay , Gelding,PP,1356000,Danasinga,Imposing Choice,Imposing,30/05/2004,10,ST,"Turf""A+3""",1600,GF,2,4,90,D Hill,R Fradd,16,132,1129,1.36.90,644
2,DANAMITE (CB003),NZ,,Bay , Gelding,PP,1356000,Danasinga,Imposing Choice,Imposing,16/05/2004,12,ST,AWT,1650,GD,2,5,93,D Hill,P H Lo,21,124,1143,1.39.70,603
3,DANAMITE (CB003),NZ,,Bay , Gelding,PP,1356000,Danasinga,Imposing Choice,Imposing,01/05/2004,07,ST,"Turf""A+3""",1200,GF,2,4,93,D Hill,P H Lo,59,119,1139,1.10.00,566
4,DANAMITE (CB003),NZ,,Bay , Gelding,PP,1356000,Danasinga,Imposing Choice,Imposing,14/12/2003,05,ST,"Turf""A""",2000,GF,1,13,97,D Hill,M Kinane,23,123,1133,2.02.70,254
5,DANAMITE (CB003),NZ,,Bay , Gelding,PP,1356000,Danasinga,Imposing Choice,Imposing,06/12/2003,10,HV,"Turf""C""",1200,GF,2,4,98,D Hill,P H Lo,39,120,1124,1.12.00,242
6,DANAMITE (CB003),NZ,,Bay , Gelding,PP,1356000,Danasinga,Imposing Choice,Imposing,26/11/2003,11,HV,"Turf""B""",1650,GF,1,4,98,D Hill,R Fradd,8.5,126,1127,1.41.40,217
7,DANAMITE (CB003),NZ,,Bay , Gelding,PP,1356000,Danasinga,Imposing Choice,Imposing,15/11/2003,04,ST,"Turf""A""",1400,GF,2,12,98,D Hill,R Fradd,33,127,1134,1.22.20,191
8,DANAMITE (CB003),NZ,,Bay , Gelding,PP,1356000,Danasinga,Imposing Choice,Imposing,25/10/2003,08,HV,"Turf""C""",1800,GF,1,6,100,D Hill,P H Lo,13,115,1126,1.50.20,137
9,DANAMITE (CB003),NZ,,Bay , Gelding,PP,1356000,Danasinga,Imposing Choice,Imposing,11/10/2003,05,ST,"Turf""A""",1600,G,1,9,101,D Hill,P H Lo,25,113,1109,1.36.20,108
10,DANAMITE (CB003),NZ,,Bay , Gelding,PP,1356000,Danasinga,Imposing Choice,Imposing,05/10/2003,04,ST,"Turf""C+3""",1800,GF,1,9,101,D Hill,P H Lo,19,116,1109,1.47.80,091
11,DANAMITE (CB003),NZ,,Bay , Gelding,PP,1356000,Danasinga,Imposing Choice,Imposing,13/09/2003,08,ST,"Turf""C""",1600,GF,1,8,103,D Hill,W C Marwing,22,126,1122,1.35.60,035
12,DANAMITE (CB003),NZ,,Bay , Gelding,PP,1356000,Danasinga,Imposing Choice,Imposing,31/08/2003,12,ST,"Turf""A""",1200,GF,1,4,103,D Hill,M W Leung,99,117,1136,1.10.70,008
13,DANAMITE (CB003),NZ,,Bay , Gelding,PP,1356000,Danasinga,Imposing Choice,Imposing,06/04/2003,WV,ST,"Turf""C""",1800,G,P,--,107,D Hill,B Prebble,--,121,--,--,516
14,DANAMITE (CB003),NZ,,Bay , Gelding,PP,1356000,Danasinga,Imposing Choice,Imposing,23/03/2003,03,ST,"Turf""A""",1600,G,1,11,105,D Hill,B Prebble,11,129,1158,1.35.60,480
15,DANAMITE (CB003),NZ,,Bay , Gelding,PP,1356000,Danasinga,Imposing Choice,Imposing,01/03/2003,02,ST,"Turf""B+2""",1800,GF,1,11,103,D Hill,M Kinane,13,131,1155,1.48.60,434
16,DANAMITE (CB003),NZ,,Bay , Gelding,PP,1356000,Danasinga,Imposing Choice,Imposing,16/02/2003,03,ST,"Turf""A""",1600,GF,1,9,102,D Hill,O Doleuze,30,126,1159,1.35.60,397
17,DANAMITE (CB003),NZ,,Bay , Gelding,PP,1356000,Danasinga,Imposing Choice,Imposing,01/01/2003,09,ST,"Turf""A+2""",1400,GF,1,4,105,D Hill,C Williams,99,127,1170,1.23.60,295
18,DANAMITE (CB003),NZ,,Bay , Gelding,PP,1356000,Danasinga,Imposing Choice,Imposing,15/12/2002,12,ST,"Turf""A""",1400,GF,P,4,107,D Hill,C Williams,43,115,1168,1.23.40,257
