,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,SERIOUS PLAY (CC003),IRE,,Bay , Gelding,PP,2414375,Brief Truce,Zing Ping,Thatching,27/05/2009,10,HV,"Turf""B""",1800,GY,5,4,36,L Ho,H W Lai,6.2,129,1116,1.54.20,639
1,SERIOUS PLAY (CC003),IRE,,Bay , Gelding,PP,2414375,Brief Truce,Zing Ping,Thatching,06/05/2009,02,HV,"Turf""C""",1650,G,5,2,34,L Ho,H W Lai,7.8,125,1110,1.41.12,586
2,SERIOUS PLAY (CC003),IRE,,Bay , Gelding,PP,2414375,Brief Truce,Zing Ping,Thatching,01/01/2009,12,ST,"Turf""B+2""",1600,GF,5,5,34,L Ho,H W Lai,32,126,1134,1.37.70,266
3,SERIOUS PLAY (CC003),IRE,,Bay , Gelding,PP,2414375,Brief Truce,Zing Ping,Thatching,03/12/2008,03,HV,"Turf""C+3""",2200,G,5,3,32,L Ho,E Saint-Martin,5.6,125,1116,2.19.95,200
4,SERIOUS PLAY (CC003),IRE,,Bay , Gelding,PP,2414375,Brief Truce,Zing Ping,Thatching,19/11/2008,04,HV,"Turf""A""",1800,G,5,9,32,L Ho,E Saint-Martin,8.9,125,1124,1.52.44,166
5,SERIOUS PLAY (CC003),IRE,,Bay , Gelding,PP,2414375,Brief Truce,Zing Ping,Thatching,15/10/2008,02,HV,"Turf""C+3""",1800,G,5,11,30,L Ho,E Saint-Martin,16,123,1108,1.51.73,086
6,SERIOUS PLAY (CC003),IRE,,Bay , Gelding,PP,2414375,Brief Truce,Zing Ping,Thatching,24/09/2008,09,HV,"Turf""B""",1650,GY,5,10,31,L Ho,K T Yeung,33,119,1090,1.42.66,032
7,SERIOUS PLAY (CC003),IRE,,Bay , Gelding,PP,2414375,Brief Truce,Zing Ping,Thatching,28/06/2008,14,ST,"Turf""A+3""",1600,YS,5,11,36,L Ho,H W Lai,17,127,1114,1.43.90,703
8,SERIOUS PLAY (CC003),IRE,,Bay , Gelding,PP,2414375,Brief Truce,Zing Ping,Thatching,18/06/2008,06,HV,"Turf""C+3""",1800,S,5,4,37,L Ho,H W Lai,4,130,1106,2.00.40,684
9,SERIOUS PLAY (CC003),IRE,,Bay , Gelding,PP,2414375,Brief Truce,Zing Ping,Thatching,28/05/2008,04,HV,"Turf""A""",1800,G,5,9,37,L Ho,H W Lai,6.9,128,1107,1.52.10,630
10,SERIOUS PLAY (CC003),IRE,,Bay , Gelding,PP,2414375,Brief Truce,Zing Ping,Thatching,07/05/2008,04,HV,"Turf""B""",1650,GF,5,12,37,L Ho,K T Yeung,25,123,1100,1.42.00,582
11,SERIOUS PLAY (CC003),IRE,,Bay , Gelding,PP,2414375,Brief Truce,Zing Ping,Thatching,23/04/2008,02,HV,"Turf""A""",1800,G,5,9,35,L Ho,H W Lai,7.8,125,1113,1.52.10,543
12,SERIOUS PLAY (CC003),IRE,,Bay , Gelding,PP,2414375,Brief Truce,Zing Ping,Thatching,09/03/2008,07,ST,"Turf""C+3""",1800,G,5,6,36,L Ho,H W Lai,16,128,1126,1.51.20,449
13,SERIOUS PLAY (CC003),IRE,,Bay , Gelding,PP,2414375,Brief Truce,Zing Ping,Thatching,20/02/2008,04,HV,"Turf""B""",1800,G,5,8,36,L Ho,H W Lai,10,127,1116,1.53.10,402
