,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,SANGREAL (CD004),NZ,,Brown , Horse,PP,0,Celtic Swing,Grosvenor Gardens,Grosvenor,01/02/2004,13,ST,"Turf""C""",1800,GF,2,7,87,I W Allan,K S Yu,21,123,1058,1.51.60,373
1,SANGREAL (CD004),NZ,,Brown , Horse,PP,0,Celtic Swing,Grosvenor Gardens,Grosvenor,24/01/2004,09,ST,"Turf""B""",2000,GF,GROUP-3,5,92,I W Allan,K S Yu,99,115,1081,2.03.80,353
2,SANGREAL (CD004),NZ,,Brown , Horse,PP,0,Celtic Swing,Grosvenor Gardens,Grosvenor,18/01/2004,11,ST,"Turf""A""",1600,Y,1,10,92,I W Allan,W Smith,99,114,1089,1.39.80,346
3,SANGREAL (CD004),NZ,,Brown , Horse,PP,0,Celtic Swing,Grosvenor Gardens,Grosvenor,15/11/2003,12,ST,"Turf""A""",2000,GF,3YO+,1,95,I W Allan,J Quinn,99,123,1045,2.04.10,188
4,SANGREAL (CD004),NZ,,Brown , Horse,PP,0,Celtic Swing,Grosvenor Gardens,Grosvenor,02/11/2003,13,ST,"Turf""B+2""",1400,GF,2,5,95,I W Allan,J Quinn,31,132,1044,1.23.60,152
5,KIDDY SING (CD005),FR,,Grey , Gelding,PP,530000,Linamix,Vadsa Honor,Highest Honor,04/06/2006,13,ST,AWT,1650,WS,4,14,44,C W Chang,K T Yeung,44,108,1022,1.45.80,645
6,KIDDY SING (CD005),FR,,Grey , Gelding,PP,530000,Linamix,Vadsa Honor,Highest Honor,17/05/2006,10,HV,"Turf""B""",1650,GY,4,4,48,C W Chang,D Dunn,13,121,1017,1.42.00,608
7,KIDDY SING (CD005),FR,,Grey , Gelding,PP,530000,Linamix,Vadsa Honor,Highest Honor,26/04/2006,12,HV,"Turf""C""",2200,GF,4,8,52,C W Chang,E Saint-Martin,14,125,1011,2.21.70,557
8,KIDDY SING (CD005),FR,,Grey , Gelding,PP,530000,Linamix,Vadsa Honor,Highest Honor,01/03/2006,11,HV,"Turf""A""",2200,G,4,10,55,J Size,F Coetzee,11,130,1015,2.21.70,428
9,KIDDY SING (CD005),FR,,Grey , Gelding,PP,530000,Linamix,Vadsa Honor,Highest Honor,15/02/2006,09,HV,"Turf""B""",2200,G,4,5,57,J Size,D Whyte,5.9,130,1034,2.21.00,392
