,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,DR HAENSLER (CE003),AUS,,Brown , Gelding,PPG,533700,Anabaa,Seersha,Kampala,14/02/2007,08,HV,"Turf""B""",1200,GF,5,12,28,A Lee,W M Lai,24,120,1155,1.11.60,384
1,DR HAENSLER (CE003),AUS,,Brown , Gelding,PPG,533700,Anabaa,Seersha,Kampala,17/01/2007,02,HV,"Turf""B""",1000,G,5,2,26,A Lee,H W Lai,6.1,114,1146,0.58.20,312
2,DR HAENSLER (CE003),AUS,,Brown , Gelding,PPG,533700,Anabaa,Seersha,Kampala,13/12/2006,04,HV,"Turf""B""",1200,G,5,4,26,A Lee,M Odendaal,11,119,1140,1.10.80,229
3,DR HAENSLER (CE003),AUS,,Brown , Gelding,PPG,533700,Anabaa,Seersha,Kampala,15/11/2006,07,ST,AWT,1200,WS,5,1,26,A Lee,M Odendaal,6.5,120,1151,1.11.80,157
4,DR HAENSLER (CE003),AUS,,Brown , Gelding,PPG,533700,Anabaa,Seersha,Kampala,01/11/2006,01,HV,"Turf""C+3""",1200,GF,5,5,21,A Lee,M Odendaal,15,115,1155,1.10.90,121
5,DR HAENSLER (CE003),AUS,,Brown , Gelding,PPG,533700,Anabaa,Seersha,Kampala,07/10/2006,09,ST,"Turf""A""",1200,GF,5,10,23,A Lee,M Odendaal,17,115,1140,1.10.70,066
6,DR HAENSLER (CE003),AUS,,Brown , Gelding,PPG,533700,Anabaa,Seersha,Kampala,24/09/2006,11,ST,"Turf""C""",1400,GF,5,2,24,A Lee,M Odendaal,14,116,1140,1.23.30,032
7,DR HAENSLER (CE003),AUS,,Brown , Gelding,PPG,533700,Anabaa,Seersha,Kampala,10/09/2006,05,ST,"Turf""A""",1200,G,5,14,24,A Lee,M Odendaal,35,116,1157,1.10.20,002
8,DR HAENSLER (CE003),AUS,,Brown , Gelding,PPG,533700,Anabaa,Seersha,Kampala,10/06/2006,07,ST,"Turf""C""",1200,S,5,8,32,A Lee,Y T Cheng,27,120,1134,1.12.30,662
9,DR HAENSLER (CE003),AUS,,Brown , Gelding,PPG,533700,Anabaa,Seersha,Kampala,30/04/2006,12,ST,"Turf""A+3""",1600,G,5,13,34,A Lee,K T Yeung,66,116,1121,1.38.50,563
