,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,PLIKCLONE (D003),NZ,4,Brown , Gelding,PPG,149885,Burgundy,Aventura,Rock Of Gibraltar,19/04/20,11,ST,"Turf""C+3""",1800,G,4,9,41,D J Hall,M Chadwick,14,114,1015,1.48.85,584
1,PLIKCLONE (D003),NZ,4,Brown , Gelding,PPG,149885,Burgundy,Aventura,Rock Of Gibraltar,05/04/20,04,ST,"Turf""B+2""",1600,G,4,10,43,D J Hall,M F Poon,45,114,1013,1.36.22,550
2,PLIKCLONE (D003),NZ,4,Brown , Gelding,PPG,149885,Burgundy,Aventura,Rock Of Gibraltar,25/03/20,08,HV,"Turf""A""",1650,G,4,7,45,D J Hall,M F Poon,19,118,1018,1.41.13,520
3,PLIKCLONE (D003),NZ,4,Brown , Gelding,PPG,149885,Burgundy,Aventura,Rock Of Gibraltar,04/03/20,07,HV,"Turf""B""",1650,G,4,12,47,D J Hall,M F Poon,46,118,1026,1.41.01,467
4,PLIKCLONE (D003),NZ,4,Brown , Gelding,PPG,149885,Burgundy,Aventura,Rock Of Gibraltar,12/02/20,09,HV,"Turf""C+3""",1200,GF,4,12,49,D J Hall,M F Poon,44,121,1033,1.10.56,411
5,PLIKCLONE (D003),NZ,4,Brown , Gelding,PPG,149885,Burgundy,Aventura,Rock Of Gibraltar,08/01/20,04,HV,"Turf""C""",1200,G,4,1,50,D J Hall,J Moreira,11,124,1015,1.10.18,315
6,PLIKCLONE (D003),NZ,4,Brown , Gelding,PPG,149885,Burgundy,Aventura,Rock Of Gibraltar,15/12/19,12,ST,"Turf""C+3""",1400,G,4,10,52,D J Hall,M F Poon,23,123,1027,1.22.74,250
7,PLIKCLONE (D003),NZ,4,Brown , Gelding,PPG,149885,Burgundy,Aventura,Rock Of Gibraltar,20/11/19,05,HV,"Turf""C+3""",1200,GF,4,10,52,D J Hall,M F Poon,73,123,1023,1.10.03,182
8,WIND PACIFIC (D004),AUS,4,Brown , Gelding,PPG,0,Dream Ahead,Great Cross,Cape Cross,11/12/19,10,HV,"Turf""C""",1200,G,4,1,52,C S Shum,A Badel,61,127,1190,1.11.12,239
9,SPARKLING STAR (D007),NZ,4,Bay , Gelding,PPG,280430,Jimmy Choux,Miss Faberge,Ustinov,16/02/20,04,ST,"Turf""A""",1200,G,4,8,52,W Y So,T Piccone,10,125,1088,1.10.67,417
10,SPARKLING STAR (D007),NZ,4,Bay , Gelding,PPG,280430,Jimmy Choux,Miss Faberge,Ustinov,19/01/20,03,ST,"Turf""A+3""",1200,G,4,10,52,W Y So,Z Purton,4.8,125,1086,1.09.71,343
11,SPARKLING STAR (D007),NZ,4,Bay , Gelding,PPG,280430,Jimmy Choux,Miss Faberge,Ustinov,29/12/19,06,ST,"Turf""B+2""",1200,G,4,8,52,W Y So,M F Poon,4.4,126,1104,1.10.81,286
12,SPARKLING STAR (D007),NZ,4,Bay , Gelding,PPG,280430,Jimmy Choux,Miss Faberge,Ustinov,23/11/19,03,ST,"Turf""C""",1200,G,4,9,52,W Y So,M F Poon,58,123,1103,1.09.39,189
13,TREASURE CHEST (D008),NZ,4,Chestnut , Gelding,PPG,101520,Ocean Park,Batroun,Danzero,09/05/20,04,ST,"Turf""C""",1600,GF,5,12,38,P F Yiu,C L Chau,7.8,121,1043,1.35.82,644
14,TREASURE CHEST (D008),NZ,4,Chestnut , Gelding,PPG,101520,Ocean Park,Batroun,Danzero,12/04/20,11,ST,"Turf""C""",1000,G,5,12,40,P F Yiu,H W Lai,11,133,1040,0.58.78,564
15,TREASURE CHEST (D008),NZ,4,Chestnut , Gelding,PPG,101520,Ocean Park,Batroun,Danzero,05/04/20,07,ST,"Turf""B+2""",1600,G,4,2,42,P F Yiu,H W Lai,11,115,1052,1.36.68,550
16,TREASURE CHEST (D008),NZ,4,Chestnut , Gelding,PPG,101520,Ocean Park,Batroun,Danzero,14/03/20,07,ST,"Turf""C+3""",1400,G,4,10,44,P F Yiu,H W Lai,36,119,1055,1.22.31,494
17,TREASURE CHEST (D008),NZ,4,Chestnut , Gelding,PPG,101520,Ocean Park,Batroun,Danzero,23/02/20,04,ST,"Turf""A+3""",1400,G,4,10,46,P F Yiu,H W Lai,107,121,1054,1.22.81,440
18,TREASURE CHEST (D008),NZ,4,Chestnut , Gelding,PPG,101520,Ocean Park,Batroun,Danzero,29/01/20,07,HV,"Turf""B""",1200,G,4,7,48,P F Yiu,H W Lai,51,121,1058,1.10.34,374
19,TREASURE CHEST (D008),NZ,4,Chestnut , Gelding,PPG,101520,Ocean Park,Batroun,Danzero,05/01/20,13,ST,"Turf""C+3""",1000,G,4,7,50,P F Yiu,K C Leung,23,125,1070,0.58.08,304
20,TREASURE CHEST (D008),NZ,4,Chestnut , Gelding,PPG,101520,Ocean Park,Batroun,Danzero,21/12/19,07,ST,"Turf""A+3""",1200,G,4,7,52,P F Yiu,R Bayliss,20,128,1079,1.10.92,266
