,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,HIGH CALIBRE (F010),AUS,,Grey , Mare,SG,48920,Piccadilly Lane,Darpol,,18/03/1981,06,ST,Sand,1800,RA,7,2,13,H M Cheung,C S Shum,15,124,--,1.01.90,311
1,HIGH CALIBRE (F010),AUS,,Grey , Mare,SG,48920,Piccadilly Lane,Darpol,,25/02/1981,05,HV,Sand,1400,RA,7,9,14,H M Cheung,C S Shum,18,125,--,1.35.70,275
2,HIGH CALIBRE (F010),AUS,,Grey , Mare,SG,48920,Piccadilly Lane,Darpol,,21/01/1981,03,HV,Sand,1400,NW,7,2,15,H M Cheung,P Paquet,8.5,131,--,1.36.00,206
3,HIGH CALIBRE (F010),AUS,,Grey , Mare,SG,48920,Piccadilly Lane,Darpol,,03/12/1980,03,ST,Sand,2000,NW,7,9,14,H M Cheung,P Paquet,13,130,--,2.14.90,117
4,HIGH CALIBRE (F010),AUS,,Grey , Mare,SG,48920,Piccadilly Lane,Darpol,,22/10/1980,07,ST,Sand,1800,NW,7,1,14,H M Cheung,C S Shum,15,123,--,2.02.60,049
5,HIGH CALIBRE (F010),AUS,,Grey , Mare,SG,48920,Piccadilly Lane,Darpol,,28/05/1980,04,ST,Sand,1800,NW,6,4,29,H M Cheung,C S Shum,2.1,122,--,2.01.30,445
6,HIGH CALIBRE (F010),AUS,,Grey , Mare,SG,48920,Piccadilly Lane,Darpol,,16/04/1980,02,ST,Sand,2000,NW,6,9,25,H M Cheung,C S Shum,5,118,--,2.14.20,362
7,HIGH CALIBRE (F010),AUS,,Grey , Mare,SG,48920,Piccadilly Lane,Darpol,,19/03/1980,02,ST,Sand,1650,NW,6,5,22,H M Cheung,C S Shum,32,115,--,1.49.90,328
8,HIGH CALIBRE (F010),AUS,,Grey , Mare,SG,48920,Piccadilly Lane,Darpol,,01/03/1980,12,ST,Grass,1400,GY,6,8,24,H M Cheung,C S Shum,99,118,--,1.29.00,288
9,HIGH CALIBRE (F010),AUS,,Grey , Mare,SG,48920,Piccadilly Lane,Darpol,,10/11/1979,09,ST,Grass,1800,G,6,12,26,H M Cheung,C S Shum,35,119,--,1.55.00,086
