,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,16/11/2011,07,HV,"Turf""B""",1800,G,4,12,53,L Ho,O Doleuze,39,126,1168,1.50.94,171
1,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,05/11/2011,03,ST,AWT,1800,GD,4,8,54,L Ho,Y T Cheng,99,125,1162,1.50.38,142
2,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,23/10/2011,12,HV,"Turf""B""",1650,G,4,6,56,L Ho,T H So,87,124,1165,1.44.19,113
3,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,30/01/2011,14,ST,"Turf""A+3""",1600,G,3,1,61,L Ho,T H So,99,108,1154,1.39.25,363
4,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,20/06/2010,09,HV,"Turf""B""",2200,GF,3,6,61,L Ho,J Lloyd,6.5,114,1114,2.16.89,705
5,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,26/05/2010,01,HV,"Turf""C""",2200,GF,4,3,55,L Ho,J Lloyd,8.3,129,1105,2.17.72,636
6,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,16/05/2010,02,ST,"Turf""C+3""",1800,G,4,8,55,L Ho,Y T Cheng,22,128,1115,1.48.77,609
7,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,25/04/2010,10,ST,"Turf""A""",1800,G,4,11,59,L Ho,M W Leung,52,130,1130,1.51.02,550
8,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,31/03/2010,12,HV,"Turf""C""",1800,GF,3,5,62,L Ho,M W Leung,36,112,1131,1.54.89,502
9,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,21/03/2010,13,ST,"Turf""A+3""",1400,G,4,13,65,L Ho,T H So,24,126,1139,1.25.69,472
10,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,13/12/2009,07,ST,"Turf""A""",1600,G,3,4,67,L Ho,M W Leung,32,117,1164,1.37.06,238
11,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,25/10/2009,06,ST,"Turf""B+2""",1600,GF,3,4,67,A Schutz,B Doyle,34,121,1172,1.36.09,120
12,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,04/10/2009,02,ST,"Turf""C+3""",1800,GF,3,1,67,A Schutz,J Lloyd,16,115,1161,1.48.46,059
13,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,20/09/2009,04,ST,"Turf""A+3""",1600,G,3,4,67,A Schutz,B Doyle,24,124,1164,1.36.13,025
14,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,07/06/2009,07,ST,"Turf""C""",1600,GF,3,1,73,A Schutz,B Doyle,21,128,1169,1.36.07,675
15,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,04/01/2009,07,ST,"Turf""C""",1800,G,3,9,75,A Schutz,E Saint-Martin,17,128,1164,1.48.74,283
16,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,14/12/2008,09,ST,"Turf""A""",1600,G,3,13,77,A Schutz,Z Purton,37,131,1149,1.35.98,234
17,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,23/11/2008,06,ST,"Turf""B""",1600,G,3,10,78,A Schutz,Z Purton,11,133,1155,1.35.78,176
18,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,02/11/2008,06,ST,"Turf""C""",1600,G,3,2,78,A Schutz,Z Purton,26,131,1164,1.35.76,133
19,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,30/01/2008,09,HV,"Turf""C+3""",2200,GY,2,3,84,C W Chang,Z Purton,19,124,1155,2.22.20,356
20,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,20/01/2008,10,ST,"Turf""B+2""",1600,G,4YO,4,84,C W Chang,Z Purton,62,126,1156,1.35.20,332
21,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,01/01/2008,11,ST,"Turf""A""",1600,GF,2,6,86,C W Chang,Z Purton,11,118,1167,1.35.50,285
22,STOLEN THUNDER (J003),NZ,,Brown , Gelding,PP,846125,Thunder Gulch,Just Love Me,Spectacular Love,17/11/2007,05,ST,"Turf""A+3""",1400,GF,2,8,86,C W Chang,Z Purton,64,119,1160,1.22.00,177
23,BELIEVE ME (J004),NZ,,Bay , Gelding,PPG,0,Al Akbar,Ragtime Belle,Honor Grades,03/07/2008,10,HV,"Turf""A""",1200,G,4,8,50,P F Yiu,G Mosse,32,123,1036,1.11.40,726
24,BELIEVE ME (J004),NZ,,Bay , Gelding,PPG,0,Al Akbar,Ragtime Belle,Honor Grades,24/02/2008,11,ST,"Turf""B+2""",1600,G,4,13,52,D Cruz,O Doleuze,60,124,1068,1.37.90,413
25,BELIEVE ME (J004),NZ,,Bay , Gelding,PPG,0,Al Akbar,Ragtime Belle,Honor Grades,27/01/2008,12,ST,"Turf""C""",1400,G,4,7,52,D Cruz,P H Lo,99,117,1063,1.24.10,349
26,HOT SUN (J005),NZ,,Brown , Gelding,PPG,842725,Align,Charming Camilla,Khozaam,06/01/2010,11,HV,"Turf""A""",1200,G,5,6,39,Y S Tsui,Y T Cheng,24,131,1131,1.12.42,286
27,HOT SUN (J005),NZ,,Brown , Gelding,PPG,842725,Align,Charming Camilla,Khozaam,16/12/2009,11,HV,"Turf""C""",1000,G,5,8,39,Y S Tsui,K L Chui,41,128,1138,0.58.89,239
28,HOT SUN (J005),NZ,,Brown , Gelding,PPG,842725,Align,Charming Camilla,Khozaam,24/05/2009,13,ST,"Turf""A""",1200,YS,5,12,39,Y S Tsui,T H So,11,122,1085,1.15.22,633
29,HOT SUN (J005),NZ,,Brown , Gelding,PPG,842725,Align,Charming Camilla,Khozaam,17/05/2009,02,ST,"Turf""C+3""",1400,GF,5,8,37,Y S Tsui,S K Sit,10,128,1087,1.22.98,614
30,HOT SUN (J005),NZ,,Brown , Gelding,PPG,842725,Align,Charming Camilla,Khozaam,03/05/2009,03,ST,"Turf""B+2""",1400,G,5,1,37,Y S Tsui,M L Yeung,5.4,120,1093,1.23.36,579
31,HOT SUN (J005),NZ,,Brown , Gelding,PPG,842725,Align,Charming Camilla,Khozaam,19/04/2009,10,HV,"Turf""A""",1000,GY,5,9,37,Y S Tsui,K C Leung,6.7,120,1105,0.58.49,537
32,HOT SUN (J005),NZ,,Brown , Gelding,PPG,842725,Align,Charming Camilla,Khozaam,01/04/2009,06,HV,"Turf""C""",1650,G,5,1,37,Y S Tsui,K C Leung,5.1,120,1090,1.42.28,502
