,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,MR CELERITY (L003),AUS,,Bay , Gelding,PP,2063750,Fusaichi Pegasus,Quinsigimond,Formidable,03/04/2011,07,ST,"Turf""C""",1000,G,2,4,92,A T Millard,G Cheyne,7.1,127,1155,0.56.48,522
1,MR CELERITY (L003),AUS,,Bay , Gelding,PP,2063750,Fusaichi Pegasus,Quinsigimond,Formidable,16/03/2011,04,HV,"Turf""B""",1000,G,2,6,92,A T Millard,G Cheyne,4.9,124,1178,0.57.22,476
2,MR CELERITY (L003),AUS,,Bay , Gelding,PP,2063750,Fusaichi Pegasus,Quinsigimond,Formidable,20/02/2011,01,ST,"Turf""A""",1000,G,2,13,82,A T Millard,G Cheyne,17,115,1175,0.57.00,410
3,MR CELERITY (L003),AUS,,Bay , Gelding,PP,2063750,Fusaichi Pegasus,Quinsigimond,Formidable,30/01/2011,06,ST,"Turf""A+3""",1200,G,2,1,83,A T Millard,M Guyon,6.4,117,1182,1.09.97,367
4,MR CELERITY (L003),AUS,,Bay , Gelding,PP,2063750,Fusaichi Pegasus,Quinsigimond,Formidable,23/12/2010,08,HV,"Turf""C+3""",1200,G,3,12,83,A T Millard,M Guyon,6.6,131,1189,1.10.79,271
5,MR CELERITY (L003),AUS,,Bay , Gelding,PP,2063750,Fusaichi Pegasus,Quinsigimond,Formidable,21/11/2010,03,ST,"Turf""B+2""",1200,GF,2,6,83,A T Millard,M L Yeung,2.6,114,1177,1.10.71,194
6,MR CELERITY (L003),AUS,,Bay , Gelding,PP,2063750,Fusaichi Pegasus,Quinsigimond,Formidable,10/10/2010,01,ST,"Turf""A""",1200,G,3,10,76,A T Millard,B Doyle,2.4,130,1211,1.09.91,093
7,MR CELERITY (L003),AUS,,Bay , Gelding,PP,2063750,Fusaichi Pegasus,Quinsigimond,Formidable,10/01/2010,02,ST,"Turf""C""",1400,G,3,14,76,A T Millard,G Cheyne,6.2,130,1169,1.22.73,303
8,MR CELERITY (L003),AUS,,Bay , Gelding,PP,2063750,Fusaichi Pegasus,Quinsigimond,Formidable,13/12/2009,01,ST,"Turf""A""",1200,G,3,3,68,A T Millard,G Cheyne,3.3,121,1176,1.09.62,229
9,MR CELERITY (L003),AUS,,Bay , Gelding,PP,2063750,Fusaichi Pegasus,Quinsigimond,Formidable,07/11/2009,04,ST,"Turf""C+3""",1200,G,3,11,68,A T Millard,G Cheyne,6.4,121,1191,1.10.52,147
10,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,01/02/2012,09,HV,"Turf""A""",1650,G,3,1,75,K L Man,Z Purton,2.9,131,1160,1.51.43,365
11,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,11/01/2012,03,HV,"Turf""B""",1650,G,3,11,76,K L Man,T Clark,38,130,1145,1.40.96,309
12,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,21/12/2011,06,HV,"Turf""C""",1650,G,3,9,77,K L Man,T Angland,15,130,1141,1.40.67,263
13,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,23/11/2011,04,HV,"Turf""C""",1650,G,3,1,77,K L Man,Z Purton,8.5,130,1145,1.41.37,192
14,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,26/10/2011,09,HV,"Turf""C""",1650,G,3,11,77,K L Man,Z Purton,30,133,1145,1.41.30,127
15,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,06/07/2011,11,HV,"Turf""A""",1650,GF,3,11,77,K L Man,Z Purton,9.6,130,1155,1.46.59,753
16,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,01/06/2011,02,HV,"Turf""C+3""",1650,G,3,2,75,K L Man,Z Purton,7.5,123,1139,1.41.57,672
17,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,18/05/2011,03,HV,"Turf""B""",1650,G,3,2,75,K L Man,Z Purton,6.4,129,1144,1.40.38,634
18,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,04/05/2011,09,HV,"Turf""A""",1650,G,3,11,75,K L Man,Z Purton,26,130,1147,1.41.50,595
19,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,27/03/2011,08,ST,"Turf""B""",1600,G,3,9,75,K L Man,Z Purton,18,131,1128,1.37.19,502
20,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,09/02/2011,01,HV,"Turf""A""",1650,G,3,4,68,K L Man,Z Purton,6.6,122,1127,1.41.05,385
21,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,26/01/2011,06,HV,"Turf""C+3""",1650,G,3,6,68,K L Man,H W Lai,4.1,120,1149,1.41.67,356
22,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,05/01/2011,01,HV,"Turf""A""",1650,G,3,7,61,K L Man,H W Lai,8.6,112,1150,1.40.26,303
23,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,12/12/2010,05,ST,"Turf""A""",1400,G,3,9,63,K L Man,H W Lai,12,116,1133,1.23.54,244
24,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,14/11/2010,08,ST,"Turf""A""",1400,GF,4,10,63,K L Man,J Lloyd,9,131,1129,1.24.52,170
25,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,20/10/2010,03,HV,"Turf""C""",1650,GF,3,1,63,K L Man,J Lloyd,3.6,116,1140,1.40.64,120
26,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,26/09/2010,02,ST,"Turf""B+2""",1400,G,3,3,61,K L Man,J Lloyd,4,114,1156,1.21.99,065
27,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,07/07/2010,04,HV,"Turf""A""",1650,GF,3,5,63,K L Man,J Lloyd,15,116,1148,1.40.17,748
28,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,18/04/2010,05,HV,"Turf""A""",1650,G,4,8,64,Y S Tsui,K W Leung,7,123,1127,1.42.41,534
29,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,28/03/2010,04,ST,"Turf""B+2""",1600,G,3,12,64,Y S Tsui,D Whyte,4.4,119,1119,1.36.10,493
30,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,03/03/2010,06,HV,"Turf""C+3""",1650,G,3,4,64,Y S Tsui,K C Leung,3.7,114,1099,1.40.64,431
31,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,28/02/2010,03,ST,"Turf""B+2""",1600,G,3,13,64,Y S Tsui,M Chadwick,9.6,117,1121,1.35.86,423
32,MY MATE ADRIC (L004),NZ,,Bay , Gelding,PP,2096125,Istidaad,Nassipour Gem,Nassipour,16/02/2010,04,ST,"Turf""A""",1600,G,3,2,63,Y S Tsui,G Cheyne,51,116,1121,1.36.07,394
