,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,EXCEED WITH ME (M003),AUS,,Bay , Gelding,PP,0,Exceed And Excel,Mehitabel,Tale Of The Cat,01/01/2011,13,ST,"Turf""B+2""",1400,G,3,12,79,A Lee,Z Purton,53,132,1143,1.24.86,293
1,EXCEED WITH ME (M003),AUS,,Bay , Gelding,PP,0,Exceed And Excel,Mehitabel,Tale Of The Cat,19/12/2010,13,ST,"Turf""C+3""",1000,G,3,7,79,A Lee,Z Purton,23,133,1155,0.58.59,263
2,POCKET ROCKETS (M004),AUS,,Bay , Gelding,PP,1241000,Invincible Spirit,Get Down,El Moxie,06/06/2012,09,HV,"Turf""A""",1000,G,3,12,77,J Size,D Whyte,12,133,1153,0.58.07,670
3,POCKET ROCKETS (M004),AUS,,Bay , Gelding,PP,1241000,Invincible Spirit,Get Down,El Moxie,09/05/2012,05,HV,"Turf""B""",1000,G,3,10,79,J Size,D Whyte,19,133,1149,0.57.87,605
4,POCKET ROCKETS (M004),AUS,,Bay , Gelding,PP,1241000,Invincible Spirit,Get Down,El Moxie,25/04/2012,10,HV,"Turf""C+3""",1200,G,3,7,79,J Size,W Pike,11,132,1144,1.11.50,570
5,POCKET ROCKETS (M004),AUS,,Bay , Gelding,PP,1241000,Invincible Spirit,Get Down,El Moxie,15/04/2012,03,HV,"Turf""B""",1000,GF,3,9,79,J Size,M L Yeung,29,129,1156,0.57.46,541
6,POCKET ROCKETS (M004),AUS,,Bay , Gelding,PP,1241000,Invincible Spirit,Get Down,El Moxie,21/03/2012,08,ST,AWT,1200,GD,3,4,81,J Size,B Prebble,22,129,1162,1.10.88,493
7,POCKET ROCKETS (M004),AUS,,Bay , Gelding,PP,1241000,Invincible Spirit,Get Down,El Moxie,29/02/2012,07,HV,"Turf""A""",1200,G,3,1,82,J Size,M Du Plessis,10,121,1160,1.10.34,441
8,POCKET ROCKETS (M004),AUS,,Bay , Gelding,PP,1241000,Invincible Spirit,Get Down,El Moxie,05/02/2012,09,ST,AWT,1200,GD,3,1,82,J Size,D Whyte,15,130,1166,1.10.02,377
9,POCKET ROCKETS (M004),AUS,,Bay , Gelding,PP,1241000,Invincible Spirit,Get Down,El Moxie,21/12/2011,08,HV,"Turf""C""",1200,G,3,9,82,J Size,D Whyte,11,130,1159,1.11.22,264
10,POCKET ROCKETS (M004),AUS,,Bay , Gelding,PP,1241000,Invincible Spirit,Get Down,El Moxie,23/11/2011,01,HV,"Turf""C""",1200,G,3,11,77,J Size,D Whyte,24,130,1175,1.10.24,190
11,POCKET ROCKETS (M004),AUS,,Bay , Gelding,PP,1241000,Invincible Spirit,Get Down,El Moxie,09/11/2011,03,HV,"Turf""A""",1000,GY,3,5,77,J Size,D Whyte,15,133,1178,0.58.21,153
12,POCKET ROCKETS (M004),AUS,,Bay , Gelding,PP,1241000,Invincible Spirit,Get Down,El Moxie,19/10/2011,11,ST,AWT,1200,GD,3,7,79,J Size,T Angland,12,125,1173,1.10.07,106
13,POCKET ROCKETS (M004),AUS,,Bay , Gelding,PP,1241000,Invincible Spirit,Get Down,El Moxie,01/10/2011,08,ST,"Turf""C""",1000,G,3,8,80,J Size,D Whyte,14,133,1159,0.58.15,059
14,POCKET ROCKETS (M004),AUS,,Bay , Gelding,PP,1241000,Invincible Spirit,Get Down,El Moxie,18/09/2011,11,ST,"Turf""A+3""",1200,G,2,10,81,J Size,M Du Plessis,13,114,1175,1.11.59,026
15,POCKET ROCKETS (M004),AUS,,Bay , Gelding,PP,1241000,Invincible Spirit,Get Down,El Moxie,11/09/2011,07,ST,"Turf""A""",1000,G,2,12,81,J Size,D Whyte,14,117,1187,0.57.40,008
16,POCKET ROCKETS (M004),AUS,,Bay , Gelding,PP,1241000,Invincible Spirit,Get Down,El Moxie,09/02/2011,12,HV,"Turf""A""",1200,G,2,12,81,J Size,G Cheyne,36,118,1163,1.10.38,386
17,POCKET ROCKETS (M004),AUS,,Bay , Gelding,PP,1241000,Invincible Spirit,Get Down,El Moxie,01/01/2011,01,ST,"Turf""B+2""",1200,G,3,2,72,J Size,D Whyte,2.4,126,1148,1.09.99,288
18,POCKET ROCKETS (M004),AUS,,Bay , Gelding,PP,1241000,Invincible Spirit,Get Down,El Moxie,19/12/2010,05,ST,"Turf""C+3""",1000,G,3,13,73,J Size,D Whyte,17,127,1150,0.57.38,263
19,POCKET ROCKETS (M004),AUS,,Bay , Gelding,PP,1241000,Invincible Spirit,Get Down,El Moxie,14/11/2010,07,ST,"Turf""A""",1000,GF,3,2,73,J Size,G Mosse,11,121,1128,0.58.17,172
20,MARK GOOD (M005),NZ,,Bay , Gelding,PP,23625,Zabeel,Danasia,Danehill,26/02/2012,14,ST,"Turf""A+3""",1600,G,4,12,47,L Ho,T H So,18,116,1162,1.39.42,426
21,MARK GOOD (M005),NZ,,Bay , Gelding,PP,23625,Zabeel,Danasia,Danehill,04/01/2012,12,HV,"Turf""A""",1800,G,4,12,49,S Woods,M Guyon,14,123,1193,1.55.25,290
22,MARK GOOD (M005),NZ,,Bay , Gelding,PP,23625,Zabeel,Danasia,Danehill,30/11/2011,11,HV,"Turf""C+3""",2200,G,4,11,51,S Woods,D Whyte,16,124,1159,2.19.11,207
23,MARK GOOD (M005),NZ,,Bay , Gelding,PP,23625,Zabeel,Danasia,Danehill,23/11/2011,07,HV,"Turf""C""",1650,G,4,4,53,S Woods,T Clark,11,127,1166,1.40.87,187
24,MARK GOOD (M005),NZ,,Bay , Gelding,PP,23625,Zabeel,Danasia,Danehill,16/11/2011,05,HV,"Turf""B""",1650,G,4,8,53,S Woods,T Clark,51,128,1177,1.42.09,169
25,MARK GOOD (M005),NZ,,Bay , Gelding,PP,23625,Zabeel,Danasia,Danehill,16/10/2011,12,ST,"Turf""A+3""",1800,G,4,1,56,S Woods,T Clark,99,131,1154,1.51.02,094
26,MARK GOOD (M005),NZ,,Bay , Gelding,PP,23625,Zabeel,Danasia,Danehill,09/10/2011,11,ST,"Turf""A""",1600,G,4,12,58,S Woods,T Clark,27,131,1157,1.38.26,077
27,MARK GOOD (M005),NZ,,Bay , Gelding,PP,23625,Zabeel,Danasia,Danehill,25/09/2011,11,ST,AWT,1650,GD,4,3,58,S Woods,B Doyle,19,132,1152,1.42.71,041
28,MARK GOOD (M005),NZ,,Bay , Gelding,PP,23625,Zabeel,Danasia,Danehill,06/07/2011,07,HV,"Turf""A""",1650,GF,3,4,63,S Woods,M L Yeung,17,111,1148,1.41.98,753
29,MARK GOOD (M005),NZ,,Bay , Gelding,PP,23625,Zabeel,Danasia,Danehill,05/06/2011,06,ST,"Turf""B+2""",1400,GF,3,2,65,S Woods,B Doyle,99,118,1131,1.23.26,682
30,MARK GOOD (M005),NZ,,Bay , Gelding,PP,23625,Zabeel,Danasia,Danehill,15/05/2011,09,ST,"Turf""C+3""",1400,G,3,6,65,S Woods,B Doyle,99,118,1137,1.23.68,625
31,JOLLY GOOD CHAMP (M006),AUS,,Bay , Gelding,PPG,0,Al Maher,Miraclea,Rodrigo de Triano,19/05/2012,13,ST,"Turf""C+3""",1400,GY,4,8,47,K W Lui,M Du Plessis,81,122,1046,1.28.64,631
32,JOLLY GOOD CHAMP (M006),AUS,,Bay , Gelding,PPG,0,Al Maher,Miraclea,Rodrigo de Triano,25/04/2012,11,HV,"Turf""C+3""",1200,G,4,9,50,K W Lui,M Du Plessis,69,123,1062,1.12.05,568
33,JOLLY GOOD CHAMP (M006),AUS,,Bay , Gelding,PPG,0,Al Maher,Miraclea,Rodrigo de Triano,25/03/2012,09,ST,"Turf""A+3""",1200,G,4,6,52,K W Lui,M Du Plessis,99,126,1069,1.11.43,499
34,JOLLY GOOD CHAMP (M006),AUS,,Bay , Gelding,PPG,0,Al Maher,Miraclea,Rodrigo de Triano,26/02/2012,09,ST,"Turf""A+3""",1200,G,4,2,52,K W Lui,M Du Plessis,99,127,1065,1.11.92,429
35,BRIGHT SPIRITS (M007),AUS,,Grey , Gelding,PPG,0,Al Samer,Al Safa,Hennessy,04/07/2012,07,HV,"Turf""A""",1650,GF,5,5,20,B K Ng,M Du Plessis,19,115,1059,1.41.66,732
