,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,SUPER MARSHAL (N003),IRE,,Bay , Gelding,PP,54000,Acclamation,Pearl Egg,Mukaddamah,19/05/2012,WV,ST,"Turf""C+3""",1400,Y,2,--,85,K L Man,M L Yeung,--,118,--,--,636
1,SUPER MARSHAL (N003),IRE,,Bay , Gelding,PP,54000,Acclamation,Pearl Egg,Mukaddamah,16/05/2012,04,ST,AWT,1200,SL,3,5,85,K L Man,M L Yeung,18,130,1119,1.10.40,625
2,SUPER MARSHAL (N003),IRE,,Bay , Gelding,PP,54000,Acclamation,Pearl Egg,Mukaddamah,25/04/2012,10,HV,"Turf""C+3""",1200,G,3,2,85,K L Man,M L Yeung,15,130,1128,1.11.72,571
3,TOPSPIN EXPRESS (N004),GB,,Bay , Gelding,PP,0,Cadeaux Genereux,Ile Deserte,Green Desert,19/02/2014,09,HV,"Turf""C""",1200,G,3,10,60,A T Millard,K Teetan,99,113,1085,1.11.40,414
4,TOPSPIN EXPRESS (N004),GB,,Bay , Gelding,PP,0,Cadeaux Genereux,Ile Deserte,Green Desert,15/01/2014,12,HV,"Turf""C""",1000,G,3,3,61,A T Millard,C Y Ho,40,115,1078,0.57.89,329
5,TOPSPIN EXPRESS (N004),GB,,Bay , Gelding,PP,0,Cadeaux Genereux,Ile Deserte,Green Desert,04/07/2013,12,HV,"Turf""A""",1200,GF,3,5,71,D Cruz,C Y Lui,71,117,1075,1.11.14,748
6,TOPSPIN EXPRESS (N004),GB,,Bay , Gelding,PP,0,Cadeaux Genereux,Ile Deserte,Green Desert,25/11/2012,10,ST,"Turf""C""",1200,G,3,8,76,D Cruz,R Fourie,99,130,1076,1.11.12,187
7,TOPSPIN EXPRESS (N004),GB,,Bay , Gelding,PP,0,Cadeaux Genereux,Ile Deserte,Green Desert,07/11/2012,09,HV,"Turf""A""",1200,G,3,8,79,D Cruz,G Mosse,35,132,1075,1.11.94,145
8,TOPSPIN EXPRESS (N004),GB,,Bay , Gelding,PP,0,Cadeaux Genereux,Ile Deserte,Green Desert,21/10/2012,10,HV,"Turf""B""",1200,GF,3,11,80,D Cruz,K C Leung,99,131,1088,1.10.92,108
9,TOPSPIN EXPRESS (N004),GB,,Bay , Gelding,PP,0,Cadeaux Genereux,Ile Deserte,Green Desert,01/07/2012,13,ST,"Turf""B""",1400,GF,2,2,86,D Cruz,W M Lai,99,112,1056,1.23.72,728
10,TOPSPIN EXPRESS (N004),GB,,Bay , Gelding,PP,0,Cadeaux Genereux,Ile Deserte,Green Desert,09/06/2012,09,ST,"Turf""C""",1400,G,2,11,86,D Cruz,M Du Plessis,54,114,1047,1.23.32,683
11,NEW DEERFIELD (N005),GB,,Bay , Gelding,PP,1913400,Choisir,Verbal Intrigue,Dahar,10/12/2014,WV,HV,"Turf""A""",1200,G,3,--,78,D Cruz,U Rispoli,--,131,--,--,232
