,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,WIN ALONG (P003),NZ,,Bay , Gelding,PP,1781850,Handsome Ransom,Mawasi,The Commander,26/06/2016,12,ST,"Turf""A""",2000,GF,4,9,43,K W Lui,H W Lai,41,116,1153,2.04.56,748
1,WIN ALONG (P003),NZ,,Bay , Gelding,PP,1781850,Handsome Ransom,Mawasi,The Commander,14/05/2016,WV,ST,AWT,1650,WS,4,--,43,K W Lui,H W Lai,--,116,--,--,639
2,WIN ALONG (P003),NZ,,Bay , Gelding,PP,1781850,Handsome Ransom,Mawasi,The Commander,16/04/2016,11,ST,"Turf""C+3""",1800,GF,4,13,45,K W Lui,H W Lai,26,119,1159,1.49.75,571
3,WIN ALONG (P003),NZ,,Bay , Gelding,PP,1781850,Handsome Ransom,Mawasi,The Commander,20/03/2016,10,ST,"Turf""A""",2000,G,4,12,47,K W Lui,H W Lai,41,120,1183,2.06.02,494
4,WIN ALONG (P003),NZ,,Bay , Gelding,PP,1781850,Handsome Ransom,Mawasi,The Commander,28/02/2016,09,ST,"Turf""B""",2000,G,4,6,49,K W Lui,H W Lai,31,123,1185,2.03.62,436
5,WIN ALONG (P003),NZ,,Bay , Gelding,PP,1781850,Handsome Ransom,Mawasi,The Commander,14/02/2016,08,ST,"Turf""C+3""",1800,G,4,2,50,K W Lui,H W Lai,30,124,1187,1.49.09,401
6,WIN ALONG (P003),NZ,,Bay , Gelding,PP,1781850,Handsome Ransom,Mawasi,The Commander,09/01/2016,03,ST,"Turf""C""",1800,G,4,13,50,K W Lui,H W Lai,40,123,1182,1.48.31,315
7,WIN ALONG (P003),NZ,,Bay , Gelding,PP,1781850,Handsome Ransom,Mawasi,The Commander,18/11/2015,14,ST,AWT,1800,GD,4,10,50,K W Lui,H W Lai,59,122,1185,1.49.49,183
8,WIN ALONG (P003),NZ,,Bay , Gelding,PP,1781850,Handsome Ransom,Mawasi,The Commander,05/07/2015,13,ST,"Turf""A+3""",1600,GF,4,2,50,K W Lui,H W Lai,25,123,1154,1.36.71,752
9,WIN ALONG (P003),NZ,,Bay , Gelding,PP,1781850,Handsome Ransom,Mawasi,The Commander,21/06/2015,01,ST,"Turf""C""",1800,Y,4,7,44,K W Lui,H W Lai,26,117,1151,1.51.80,713
