,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,YOUNG WATCHMAN (T003),AUS,,Bay , Gelding,PP,741925,Street Hero,Black Widow,Rancho Ruler,22/10/2015,01,HV,"Turf""C+3""",1650,G,3,7,62,C S Shum,J Moreira,7.8,116,1106,1.41.40,126
1,YOUNG WATCHMAN (T003),AUS,,Bay , Gelding,PP,741925,Street Hero,Black Widow,Rancho Ruler,04/10/2015,10,ST,"Turf""B+2""",1400,GY,3,11,64,C S Shum,K C Leung,18,118,1093,1.23.76,082
2,YOUNG WATCHMAN (T003),AUS,,Bay , Gelding,PP,741925,Street Hero,Black Widow,Rancho Ruler,19/09/2015,06,ST,"Turf""C+3""",1400,GF,3,11,66,C S Shum,N Callan,17,121,1098,1.22.49,046
3,YOUNG WATCHMAN (T003),AUS,,Bay , Gelding,PP,741925,Street Hero,Black Widow,Rancho Ruler,06/09/2015,05,ST,"Turf""B""",1200,G,3,9,66,C S Shum,N Callan,73,120,1111,1.09.84,009
4,YOUNG WATCHMAN (T003),AUS,,Bay , Gelding,PP,741925,Street Hero,Black Widow,Rancho Ruler,29/03/2015,05,ST,"Turf""A+3""",1400,G,3,1,67,C S Shum,B Prebble,99,124,1108,1.22.71,501
5,YOUNG WATCHMAN (T003),AUS,,Bay , Gelding,PP,741925,Street Hero,Black Widow,Rancho Ruler,15/02/2015,14,ST,"Turf""A""",1400,G,3,14,67,C S Shum,M Chadwick,99,121,1103,1.24.21,398
6,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,25/06/2017,11,ST,"Turf""A""",1400,GF,5,7,25,C W Chang,J Moreira,4.4,118,1069,1.24.04,751
7,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,30/04/2017,12,ST,"Turf""A""",1400,GF,5,13,27,C W Chang,O Doleuze,28,121,1071,1.23.66,607
8,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,02/04/2017,07,ST,"Turf""B+2""",1400,GF,5,1,27,C W Chang,O Doleuze,5.3,120,1063,1.23.44,536
9,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,26/02/2017,02,ST,"Turf""B""",1400,G,5,8,26,C W Chang,K Teetan,12,119,1068,1.23.13,445
10,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,08/01/2017,04,ST,"Turf""C""",1600,GF,5,8,25,C W Chang,O Doleuze,7.7,120,1064,1.35.60,316
11,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,27/12/2016,06,ST,"Turf""A+3""",1600,G,5,13,27,C W Chang,O Doleuze,11,120,1058,1.36.41,287
12,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,27/11/2016,09,ST,"Turf""C""",1400,G,5,14,29,C W Chang,O Doleuze,11,122,1061,1.23.65,213
13,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,02/11/2016,12,ST,AWT,1650,GD,5,12,30,C W Chang,O Doleuze,13,124,1058,1.42.42,151
14,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,16/10/2016,03,ST,"Turf""C""",1400,GF,5,8,30,C W Chang,C Y Ho,10,121,1057,1.23.19,106
15,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,08/10/2016,04,ST,"Turf""B+2""",1200,GF,5,10,31,C W Chang,O Doleuze,8.4,125,1067,1.10.35,085
16,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,03/09/2016,04,ST,"Turf""B""",1200,G,5,14,31,C W Chang,O Doleuze,76,120,1054,1.09.84,001
17,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,14/05/2016,11,ST,"Turf""C+3""",1400,G,5,3,36,W Y So,O Bosson,17,129,1025,1.23.63,638
18,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,06/03/2016,12,ST,AWT,1650,GD,5,13,39,W Y So,C K Tong,53,131,1029,1.41.34,453
19,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,14/02/2016,14,ST,AWT,1650,GD,4,5,41,W Y So,C K Tong,400,112,1036,1.42.61,403
20,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,24/01/2016,13,ST,AWT,1800,WS,4,14,44,W Y So,C K Tong,88,115,1065,1.56.21,349
21,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,19/12/2015,06,ST,"Turf""C+3""",1400,G,4,12,46,W Y So,C K Tong,402,118,1059,1.23.04,266
22,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,01/10/2015,14,ST,"Turf""A+3""",1400,G,4,4,48,W Y So,C K Tong,51,119,1053,1.25.29,069
23,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,19/09/2015,06,ST,"Turf""C+3""",1200,GF,4,10,48,W Y So,C K Tong,174,120,1056,1.10.37,041
24,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,01/07/2015,13,ST,AWT,1650,GD,4,11,52,W Y So,C K Tong,226,123,1041,1.39.73,741
25,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,07/02/2015,WV-A,ST,"Turf""C+3""",1000,GF,4,--,52,W Y So,C K Tong,--,123,--,--,374
26,LUCKY PLACE (T004),AUS,,Bay , Gelding,PPG,324450,Danewin,Tapestry,Sandpit,18/01/2015,11,ST,"Turf""A+3""",1200,GF,4,9,52,W Y So,N Rawiller,58,126,1039,1.11.76,319
27,FABULOUS ONE (T005),NZ,,Bay , Gelding,PPG,7217650,Elusive City,Beautiful Unicorn,Faltaat,11/05/2019,09,ST,"Turf""C""",1000,G,2,7,85,R Gibson,C Wong,41,108,1139,0.55.92,656
28,FABULOUS ONE (T005),NZ,,Bay , Gelding,PPG,7217650,Elusive City,Beautiful Unicorn,Faltaat,27/03/2019,03,HV,"Turf""C+3""",1000,GF,2,6,85,R Gibson,H T Mo,35,117,1139,0.57.09,536
29,FABULOUS ONE (T005),NZ,,Bay , Gelding,PPG,7217650,Elusive City,Beautiful Unicorn,Faltaat,24/02/2019,10,ST,"Turf""B+2""",1000,G,2,4,87,R Gibson,C Schofield,37,124,1137,0.57.57,448
30,FABULOUS ONE (T005),NZ,,Bay , Gelding,PPG,7217650,Elusive City,Beautiful Unicorn,Faltaat,30/01/2019,05,HV,"Turf""A""",1200,G,2,10,89,R Gibson,M Chadwick,93,127,1141,1.10.36,383
