,names,country_of_origin,age,colour,sex,import_type,total_stakes,sire,dam,dam_sire,race_date,race_place,race_RC,race_track,race_distance,track_going,race_class,race_draw,rating,trainer,jockey,win_odds,actual_weight,declared_weight,finishing_position,race_index
0,MONEY TALKS (Z009),NZ,,Chestnut , Gelding,SG,0,Even Stevens,Little Sheba,,21/04/1980,11,ST,Grass,1400,GF,2,6,89,M K Tam,L Fox,39,125,--,1.25.60,381
1,MONEY TALKS (Z009),NZ,,Chestnut , Gelding,SG,0,Even Stevens,Little Sheba,,27/02/1980,11,ST,Sand,1150,RA,2,2,92,M K Tam,L Fox,25,128,--,1.14.30,281
2,MONEY TALKS (Z009),NZ,,Chestnut , Gelding,SG,0,Even Stevens,Little Sheba,,20/01/1980,08,ST,Grass,1200,F,2,4,95,M K Tam,L Fox,34,131,--,1.12.40,217
3,MONEY TALKS (Z009),NZ,,Chestnut , Gelding,SG,0,Even Stevens,Little Sheba,,01/12/1979,10,ST,Grass,1200,F,2,2,98,M K Tam,L Fox,28,134,--,1.12.40,120
4,MONEY TALKS (Z009),NZ,,Chestnut , Gelding,SG,0,Even Stevens,Little Sheba,,20/10/1979,05,HV,Grass,1235,F,2,1,100,M K Tam,L Fox,27,136,--,1.14.20,051
5,JUBILEE (Z011),AUS,,Brown , Mare,SG,0,Stipulate,Colybird,,13/10/1979,07,HV,Grass,1650,F,7,3,5,G Moore,G W Moore,5.4,121,--,1.46.20,044
6,WALLINS (Z012),AUS,,Bay , Gelding,SG,17110,Farquhar,Came Back,,05/03/1980,05,ST,Sand,2000,RA,7,2,3,H M Cheung,R Staples,6.4,119,--,2.18.80,294
7,WALLINS (Z012),AUS,,Bay , Gelding,SG,17110,Farquhar,Came Back,,05/01/1980,06,ST,Grass,1600,F,7,5,6,H M Cheung,W T Leung,6,122,--,1.40.30,184
8,WALLINS (Z012),AUS,,Bay , Gelding,SG,17110,Farquhar,Came Back,,09/12/1979,02,ST,Grass,1400,F,7,8,5,H M Cheung,W T Leung,7.1,121,--,1.27.60,135
9,WALLINS (Z012),AUS,,Bay , Gelding,SG,17110,Farquhar,Came Back,,04/11/1979,09,ST,Grass,1200,Y,7,8,6,H M Cheung,R Staples,17,122,--,1.17.80,077
10,WALLINS (Z012),AUS,,Bay , Gelding,SG,17110,Farquhar,Came Back,,13/10/1979,04,HV,Grass,1650,F,7,5,6,H M Cheung,R Staples,61,122,--,1.44.90,039
